a19491e2c9900d5f359a22733e89a86e0a17a1ac5b29148f93df52441903eda1,7196e34e272f8acf52cc395931907c655ae665eebc4cf506e4c3f31261168579,6cde82c6e440203e87fef24682022e1483c5bb1f2953c47a56fb40c3dc0134e3,71e192701c96cdd2277601e0fdc1599b4726dc00f43e49ac4818548e544ed514
"0","戦闘不能になったキャラが0人以下で勝利","100101","1001"
"1","戦闘不能になったキャラが1人以下で勝利","100102","1001"
"2","戦闘不能になったキャラが2人以下で勝利","100103","1001"
"74001","バトルの残り時間が1:15以上で勝利","100201","1002"
"69001","バトルの残り時間が1:10以上で勝利","100202","1002"
"59001","バトルの残り時間が1:00以上で勝利","100203","1002"
"49001","バトルの残り時間が0:50以上で勝利","100204","1002"
"44001","バトルの残り時間が0:45以上で勝利","100205","1002"
"39001","バトルの残り時間が0:40以上で勝利","100206","1002"
"29001","バトルの残り時間が0:30以上で勝利","100207","1002"
"1000","味方のTotal HPが100%以上で勝利","100301","1003"
"900","味方のTotal HPが90%以上で勝利","100302","1003"
"800","味方のTotal HPが80%以上で勝利","100303","1003"
"700","味方のTotal HPが70%以上で勝利","100304","1003"
"600","味方のTotal HPが60%以上で勝利","100305","1003"
"500","味方のTotal HPが50%以上で勝利","100306","1003"
"990","味方のTotal HPが99%以上で勝利","100307","1003"
