f5a71c19fde054bf73c536be18d15bc110ed8411fd6297276434045389b3baed,d46ad4e23fc96590f2299d828d792e1b548b22e9fa72ea626c89f2911cb33255,236173fefa85131064d1da7d78fbcea023cecad250ad369e90fb44a82e1a3db1,d0f693392bf385844575d0f117b62a9000909568c88336a97a6221452e78b0fd,0ae11b1fab47aabb6b7c483032748c9419cdc492a74306748cbe0a5b51b27649,984d55e30692de160ae3ded1519eabb0fa69988a82624e8390d525b51b3eb862,b50035af24f4490ffc2ce6ec323767526dc1c85b624dfa7d66a3a4d8b27e9c68,4b734279abc02e4c97b4ad134a96f9c6e875bd316bd567aad203676f268c7013,f21425bb22acd6a71f915873cd0efcad8df13a500e8aeb2eb0cbd508180f971b,ef2e2e9a1563a6fa8e84c541a70147e1577b005c546f0d686384df600a6fb1fb,594f832bc71eb0ebba630637b31000f2826f49fb9b8f6887aedda3b6de1d693f
"250","10101","0","1010100","1","オムレツ","110","0","1","8","1"
"222","10101","0","1010101","1","オムレツ","110","0","1","9","1"
"200","10101","0","1010102","1","オムレツ","110","0","1","10","1"
"400","10102","0","1010200","1","オムレツ","110","0","2","9","1"
"367","10102","0","1010201","1","オムレツ","110","0","2","10","1"
"338","10102","0","1010202","1","オムレツ","110","0","2","11","1"
"640","10103","0","1010300","1","オムレツ","110","0","3","10","1"
"597","10103","0","1010301","1","オムレツ","110","0","3","11","1"
"560","10103","0","1010302","1","オムレツ","110","0","3","12","1"
"275","10201","0","1020100","1","ギョーザ","115","0","1","9","2"
"248","10201","0","1020101","1","ギョーザ","115","0","1","10","2"
"225","10201","0","1020102","1","ギョーザ","115","0","1","11","2"
"440","10202","0","1020200","1","ギョーザ","115","0","2","10","2"
"406","10202","0","1020201","1","ギョーザ","115","0","2","11","2"
"377","10202","0","1020202","1","ギョーザ","115","0","2","12","2"
"704","10203","0","1020300","1","ギョーザ","115","0","3","11","2"
"660","10203","0","1020301","1","ギョーザ","115","0","3","12","2"
"621","10203","0","1020302","1","ギョーザ","115","0","3","13","2"
"200","10301","0","1030100","1","タコヤキ","100","0","1","8","3"
"175","10301","0","1030101","1","タコヤキ","100","0","1","9","3"
"156","10301","0","1030102","1","タコヤキ","100","0","1","10","3"
"320","10302","0","1030200","1","タコヤキ","100","0","2","9","3"
"291","10302","0","1030201","1","タコヤキ","100","0","2","10","3"
"267","10302","0","1030202","1","タコヤキ","100","0","2","11","3"
"512","10303","0","1030300","1","タコヤキ","100","0","3","10","3"
"475","10303","0","1030301","1","タコヤキ","100","0","3","11","3"
"444","10303","0","1030302","1","タコヤキ","100","0","3","12","3"
"225","10401","0","1040100","1","オニギリ","115","0","1","9","4"
"200","10401","0","1040101","1","オニギリ","115","0","1","10","4"
"180","10401","0","1040102","1","オニギリ","115","0","1","11","4"
"360","10402","0","1040200","1","オニギリ","115","0","2","10","4"
"330","10402","0","1040201","1","オニギリ","115","0","2","11","4"
"305","10402","0","1040202","1","オニギリ","115","0","2","12","4"
"576","10403","0","1040300","1","オニギリ","115","0","3","11","4"
"538","10403","0","1040301","1","オニギリ","115","0","3","12","4"
"504","10403","0","1040302","1","オニギリ","115","0","3","13","4"
"300","10501","0","1050100","1","ケバブ","150","0","1","10","5"
"273","10501","0","1050101","1","ケバブ","150","0","1","11","5"
"250","10501","0","1050102","1","ケバブ","150","0","1","12","5"
"480","10502","0","1050200","1","ケバブ","150","0","2","11","5"
"446","10502","0","1050201","1","ケバブ","150","0","2","12","5"
"416","10502","0","1050202","1","ケバブ","150","0","2","13","5"
"768","10503","0","1050300","1","ケバブ","150","0","3","12","5"
"723","10503","0","1050301","1","ケバブ","150","0","3","13","5"
"683","10503","0","1050302","1","ケバブ","150","0","3","14","5"
"160","20101","0","2010100","2","タイヤ（特大）","60","0","1","0","1"
"256","20102","0","2010200","2","タイヤ（特大）","60","0","2","0","1"
"410","20103","0","2010300","2","タイヤ（特大）","60","0","3","0","1"
"145","20201","0","2020100","2","タイヤ（大）","45","0","1","0","2"
"232","20202","0","2020200","2","タイヤ（大）","45","0","2","0","2"
"371","20203","0","2020300","2","タイヤ（大）","45","0","3","0","2"
"120","20301","0","2030100","2","タイヤ（中）","30","0","1","0","3"
"192","20302","0","2030200","2","タイヤ（中）","30","0","2","0","3"
"307","20303","0","2030300","2","タイヤ（中）","30","0","3","0","3"
"100","20401","0","2040100","2","タイヤ（小）","15","0","1","0","4"
"160","20402","0","2040200","2","タイヤ（小）","15","0","2","0","4"
"256","20403","0","2040300","2","タイヤ（小）","15","0","3","0","4"
"0","30101","125","3010100","3","キャノン","1","4","1","0","1"
"0","30101","195","3010101","3","キャノン","1","5","1","0","1"
"0","30101","234","3010102","3","キャノン","1","6","1","0","1"
"0","30102","200","3010200","3","キャノン","1","4","2","0","1"
"0","30102","313","3010201","3","キャノン","1","5","2","0","1"
"0","30102","375","3010202","3","キャノン","1","6","2","0","1"
"0","30103","320","3010300","3","キャノン","1","4","3","0","1"
"0","30103","500","3010301","3","キャノン","1","5","3","0","1"
"0","30103","600","3010302","3","キャノン","1","6","3","0","1"
"0","30201","75","3020100","3","スライサー","1","6","1","0","2"
"0","30201","112","3020101","3","スライサー","1","7","1","0","2"
"0","30201","135","3020102","3","スライサー","1","8","1","0","2"
"0","30202","120","3020200","3","スライサー","1","6","2","0","2"
"0","30202","180","3020201","3","スライサー","1","7","2","0","2"
"0","30202","216","3020202","3","スライサー","1","8","2","0","2"
"0","30203","192","3020300","3","スライサー","1","6","3","0","2"
"0","30203","288","3020301","3","スライサー","1","7","3","0","2"
"0","30203","345","3020302","3","スライサー","1","8","3","0","2"
"0","30301","72","3030100","3","ドリル","1","5","1","0","3"
"0","30301","108","3030101","3","ドリル","1","6","1","0","3"
"0","30301","129","3030102","3","ドリル","1","7","1","0","3"
"0","30302","115","3030200","3","ドリル","1","5","2","0","3"
"0","30302","172","3030201","3","ドリル","1","6","2","0","3"
"0","30302","207","3030202","3","ドリル","1","7","2","0","3"
"0","30303","184","3030300","3","ドリル","1","5","3","0","3"
"0","30303","276","3030301","3","ドリル","1","6","3","0","3"
"0","30303","331","3030302","3","ドリル","1","7","3","0","3"
"0","30401","101","3040100","3","ハンマー","1","6","1","0","4"
"0","30401","139","3040101","3","ハンマー","1","7","1","0","4"
"0","30401","177","3040102","3","ハンマー","1","8","1","0","4"
"0","30402","162","3040200","3","ハンマー","1","6","2","0","4"
"0","30402","222","3040201","3","ハンマー","1","7","2","0","4"
"0","30402","283","3040202","3","ハンマー","1","8","2","0","4"
"0","30403","259","3040300","3","ハンマー","1","6","3","0","4"
"0","30403","356","3040301","3","ハンマー","1","7","3","0","4"
