7426276b7f3ebc117f41ca6048ae1f8dc386fbe6f3fba48e0c7156a04cc21fa3,45f0bfeb9c4ca44823b3e05fc9eca54a9a6e45c2f5b77b8d13defe3820127b0a,7652ea0a1e38a90760feec338fe339c3bb91de54dffb476e2b73634693bdfa6b,92e89699ec989021228e5cf1117883c575d92de0190afd44e600b8d3c7a74c0a,4b1a897a6efc16748e19801e64f32a555133173bd07686929e423bee541b36f5,220b9ac835929db7d3c94f623a70f27b68c314a2b340d2cd104c7cf273217006,e2fa4b5a037c69736318230c860b7aed03369384a6bdb75d354e6f714c537026,bd3a48ba8e4f70106013298e691ac0093e9fd4f9a9ee3fbdef6dd55866094675
"0","1005","ＴＰ250アップ","1005","バトル開始時、味方のＴＰが250アップ","2","0","1005"
"0","1006","ＴＰ250アップ","1006","バトル開始時、味方のＴＰが250アップ","2","0","1006"
"0","1007","ＴＰ250アップ","1007","バトル開始時、味方のＴＰが250アップ","2","0","1007"
"0","1008","ＴＰ250アップ","1008","バトル開始時、味方のＴＰが250アップ","2","0","1008"
"36000","100501","物理攻撃ダウン90秒","1005","バトル開始から90秒間、敵の物理攻撃力がダウン","1","27160000000000","100501"
"36000","100502","物理攻撃ダウン90秒","1005","バトル開始から90秒間、敵の物理攻撃力がダウン","1","26040000000000","100502"
"36000","100503","物理防御ダウン90秒","1005","バトル開始から90秒間、敵の物理防御力がダウン","1","25200000000000","100503"
"36000","100504","魔法防御ダウン90秒","1005","バトル開始から90秒間、敵の魔法防御力がダウン","1","24360000000000","100504"
"36000","100505","物理攻撃ダウン90秒","1005","バトル開始から90秒間、敵の物理攻撃力がダウン","1","23520000000000","100505"
"36000","100506","物理攻撃ダウン90秒","1005","バトル開始から90秒間、敵の物理攻撃力がダウン","1","22400000000000","100506"
"36000","100507","物理防御ダウン90秒","1005","バトル開始から90秒間、敵の物理防御力がダウン","1","21560000000000","100507"
"36000","100508","魔法防御ダウン90秒","1005","バトル開始から90秒間、敵の魔法防御力がダウン","1","20720000000000","100508"
"36000","100509","物理攻撃ダウン90秒","1005","バトル開始から90秒間、敵の物理攻撃力がダウン","1","19600000000000","100509"
"36000","100510","物理攻撃ダウン90秒","1005","バトル開始から90秒間、敵の物理攻撃力がダウン","1","18760000000000","100510"
