fea32eb4a07866f7d33b0e90ae5fc8305bd821548f1ce3d25935f0cd38c95d0b,ee66c36fad049620834103fc947c257d980af05a5b4465a8a19e86f80c93dd99,702c9dc6cb253e064b545f3b3f8ce8d2cceffbfd08c608d0514ad0c982a062e5,492eb1bd3c2e0798c0fbebbd6b57b2562c2066f1e09763c46f477ee7c53f7fb6,34b6c21b92407a78210e2d6b74dae8d49b6afeda4db00945d57669d4db908ae3,b8cf575b300f8f69b1e9d4e232280016aeb4d672a176eaf39d90bae233bde44b,49cb367620b5a0faab29debfc1903ccfb4c9bcdd4fc4452b8e202a3e79ed03a1,52c3abbc2b0e7b1ee13f0c020b66b5567966330e31b712e1ad04c5278ac9ad40,a9e82c2880a050fd943a29d8cf615ee827765b7c5b4e96e4a5c076612e010498,56735b786fedcf5cd73178c5322f6a0ea347e8647156a4ac6f120c2b8859d65b,322e34c5721e5193eba346af0f518d1607db794878745dc1a2daaeb5413a1b3e,c48e915903abc313cc46cdd99316473c3dfb73ad6d904ac54bd317e45324f236,c4e363e1dc110586d4162655fa86464a55d89ae2507374f92c2f760b89eb99a4,f1936358846df8b4eda2c6908d42200ad1b202b59362877aca16448586d5865a
"1","-416.5","2020/03/31 12:00:00","0","カリン","2","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","190801","53","3.414","1","10038","2020/04/18 14:59:59","10038001"
"2","-416.5","2020/03/31 12:00:00","0","カリン","2","ミッションをクリアして、\n報酬をゲットしましょう！","190801","53","3.099","1","10038","2020/04/18 14:59:59","10038002"
"3","-416.5","2020/03/31 12:00:00","0","カリン","2","受け取ることができる\n報酬があるようです\n確認してみてください","190801","54","2.801","1","10038","2020/04/18 14:59:59","10038003"
"4","-416.5","2020/03/31 12:00:00","0","カリン","2","報酬がもらえますよ！\nチェックしてみてください","190801","54","0","2","10038","2020/04/18 14:59:59","10038004"
"5","-416.5","2020/03/31 12:00:00","0","カリン","1","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","190801","57","0","1","10038","2020/04/18 14:59:59","10038005"
"1","-363","2020/03/31 12:00:00","0","カリン","2","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","190801","55","5.506","1","10038","2020/04/18 14:59:59","10038006"
"2","-363","2020/03/31 12:00:00","0","カリン","1","お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","190801","55","1.216","2","10038","2020/04/18 14:59:59","10038007"
"3","-363","2020/03/31 12:00:00","0","カリン","1","お疲れ様でした\n討伐証の交換、\nお忘れないように！","190801","56","1.539","2","10038","2020/04/18 14:59:59","10038008"
"4","-363","2020/03/31 12:00:00","0","カリン","1","終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","190801","56","1.875","2","10038","2020/04/18 14:59:59","10038009"
"101","-285","2020/03/31 12:00:00","8","チエル","7","","110901","51","9.376","1","10038","2020/04/18 14:59:59","10038101"
"201","-285","2020/03/31 12:00:00","8","クロエ","7","","110801","51","11.12","1","10038","2020/04/18 14:59:59","10038102"
"301","-285","2020/03/31 12:00:00","8","ユニ","4","","111001","51","15.936","1","10038","2020/04/18 14:59:59","10038103"
"102","-285","2020/03/31 12:00:00","8","チエル","3","","110901","51","8.78","1","10038","2020/04/18 14:59:59","10038104"
"202","-285","2020/03/31 12:00:00","8","クロエ","6","","110801","51","9.573","1","10038","2020/04/18 14:59:59","10038105"
"302","-285","2020/03/31 12:00:00","8","ユニ","1","","111001","51","0","1","10038","2020/04/18 14:59:59","10038106"
"103","-285","2020/03/31 12:00:00","8","チエル","2","","110901","51","12.005","1","10038","2020/04/18 14:59:59","10038107"
"203","-285","2020/03/31 12:00:00","8","クロエ","1","","110801","51","5.22","2","10038","2020/04/18 14:59:59","10038108"
"303","-285","2020/03/31 12:00:00","8","ユニ","4","","111001","51","6.41","1","10038","2020/04/18 14:59:59","10038109"
"104","-285","2020/03/31 12:00:00","8","チエル","1","","110901","52","10.08","4","10038","2020/04/18 14:59:59","10038110"
"204","-285","2020/03/31 12:00:00","8","クロエ","3","","110801","52","9.208","7","10038","2020/04/18 14:59:59","10038111"
"304","-285","2020/03/31 12:00:00","8","ユニ","1","","111001","52","0","1","10038","2020/04/18 14:59:59","10038112"
"105","-285","2020/03/31 12:00:00","8","チエル","4","","110901","52","0","4","10038","2020/04/18 14:59:59","10038113"
"205","-285","2020/03/31 12:00:00","8","クロエ","2","","110801","52","10.982","1","10038","2020/04/18 14:59:59","10038114"
"305","-285","2020/03/31 12:00:00","8","ユニ","2","","111001","52","0","2","10038","2020/04/18 14:59:59","10038115"
"106","-285","2020/03/31 12:00:00","8","チエル","7","","110901","52","14.69","1","10038","2020/04/18 14:59:59","10038116"
"206","-285","2020/03/31 12:00:00","8","クロエ","5","","110801","52","14.72","1","10038","2020/04/18 14:59:59","10038117"
"306","-285","2020/03/31 12:00:00","8","ユニ","1","","111001","52","0","1","10038","2020/04/18 14:59:59","10038118"
"1","-416.5","2020/04/17 12:00:00","0","カリン","2","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","190801","53","3.414","1","10039","2020/04/26 14:59:59","10039001"
"2","-416.5","2020/04/17 12:00:00","0","カリン","2","ミッションをクリアして、\n報酬をゲットしましょう！","190801","53","3.099","1","10039","2020/04/26 14:59:59","10039002"
"3","-416.5","2020/04/17 12:00:00","0","カリン","2","受け取ることができる\n報酬があるようです\n確認してみてください","190801","54","2.801","1","10039","2020/04/26 14:59:59","10039003"
"4","-416.5","2020/04/17 12:00:00","0","カリン","2","報酬がもらえますよ！\nチェックしてみてください","190801","54","0","2","10039","2020/04/26 14:59:59","10039004"
"5","-416.5","2020/04/17 12:00:00","0","カリン","1","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","190801","57","0","1","10039","2020/04/26 14:59:59","10039005"
"1","-363","2020/04/17 12:00:00","0","カリン","2","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","190801","55","5.506","1","10039","2020/04/26 14:59:59","10039006"
