9cb10ebc4efbfc24bc7ca56d3b0f9468368e4e25e6750f8c334f445656e3cb3a,c2d4d88340cd134309300833360564b63ee146822228e2e3c8a147fa4797d52c,475927f0972858fcfd4d669c18a490b1d74126eba140565ce0e33893f823460c,d1b45502098bde3b5bb8da7837a42402b79e3733ddef06c1be4b3776c654b9bd,cbda6253c73cee38ef3fb450370b99cf79610771367039513f5e87190bd521e2,6d79fac8d6c74341a555b7a87b937a03a85b7a20f5d397471d7c4d1451bbe577,babce3b7301445daa663ffefd0290ba57054ed9acf1c171e1954b6e013b2d430,a047615a315d563bdf10fa4b3dd6357c0ca106f94883e0a91296c9ff6cab7ba3,c4ae34e8122f7c57bcceed18f9025b5850fa5af4c1f89a22721431361f183e03,5f4da5a2d0e55f93f32d0d73d78167fe197a966f861c2fd15986a0c4b3a574a0,1d684e9240c85a825d3343ac4496f4176ca35277d54d5adea66571b26f2862c1
"31","281001001","1","2","8","91002","25011","2","25021","8","10"
"31","281001002","2","2","8","91002","25011","2","25021","8","10"
"32","281001003","3","2","8","91002","25011","2","25021","8","10"
"32","281001004","4","2","8","91002","25011","2","25021","8","10"
"33","281001005","5","2","8","91002","25011","2","25021","8","10"
"33","281001006","6","2","8","91002","25011","2","25021","9","10"
"34","281001007","7","2","8","91002","25011","2","25021","9","10"
"35","281001008","8","2","8","91002","25011","2","25021","9","10"
"35","281001009","9","2","8","91002","25011","2","25021","9","10"
"37","281001010","10","2","8","91002","25011","2","25021","10","30"
"41","281001011","11","2","8","91002","25011","2","25021","10","10"
"43","281001012","12","2","8","91002","25011","2","25021","11","10"
"46","281001013","13","2","8","91002","25011","2","25021","11","10"
"48","281001014","14","2","8","91002","25011","2","25021","12","10"
"50","281001015","15","2","8","91002","25011","2","25021","12","10"
"53","281001016","16","2","8","91002","25011","2","25021","13","10"
"55","281001017","17","2","8","91002","25011","2","25021","14","10"
"58","281001018","18","2","8","91002","25011","2","25021","14","10"
"60","281001019","19","2","8","91002","25011","2","25021","15","10"
"62","281001020","20","2","8","91002","25011","2","25021","15","30"
"68","281001021","21","2","8","91002","25011","2","25021","16","10"
"70","281001022","22","2","8","91002","25011","2","25021","16","10"
"72","281001023","23","2","8","91002","25011","2","25021","16","10"
"75","281001024","24","2","8","91002","25011","2","25021","17","10"
"77","281001025","25","2","8","91002","25011","2","25021","18","10"
"79","281001026","26","2","8","91002","25011","2","25021","18","10"
"82","281001027","27","2","8","91002","25011","2","25021","19","10"
"84","281001028","28","2","8","91002","25011","2","25021","19","10"
"86","281001029","29","2","8","91002","25011","2","25021","19","10"
"89","281001030","30","2","8","91002","25011","2","25021","20","30"
"94","281001031","31","2","8","91002","25011","2","25021","20","10"
"96","281001032","32","2","8","91002","25011","2","25021","21","10"
"99","281001033","33","2","8","91002","25011","2","25021","21","10"
"101","281001034","34","2","8","91002","25011","2","25021","22","10"
"103","281001035","35","2","8","91002","25011","2","25021","22","10"
"106","281001036","36","2","8","91002","25011","2","25021","23","10"
"108","281001037","37","2","8","91002","25011","2","25021","23","10"
"111","281001038","38","2","8","91002","25011","2","25021","24","10"
"113","281001039","39","2","8","91002","25011","2","25021","25","10"
"115","281001040","40","2","8","91002","25011","2","25021","25","30"
"121","281001041","41","2","8","91002","25011","2","25021","26","10"
"123","281001042","42","2","8","91002","25011","2","25021","27","10"
"125","281001043","43","2","8","91002","25011","2","25021","28","10"
"128","281001044","44","2","8","91002","25011","2","25021","28","10"
"130","281001045","45","2","8","91002","25011","2","25021","29","10"
"132","281001046","46","2","8","91002","25011","2","25021","30","10"
"135","281001047","47","2","8","91002","25011","2","25021","30","10"
"137","281001048","48","2","8","91002","25011","2","25021","31","10"
"139","281001049","49","2","8","91002","25011","2","25021","31","10"
"142","281001050","50","2","8","91002","25011","2","25021","31","30"
