e9ff2e3041090d88e59809b17a163c5ad2f71f86f8d88c1657fe548e4aac3b5b,8c5c9723802bca4f9e0a1920ae445ffc49575c253df4e4ad81ad225324a94701,925c549ac9f09d7609b2dbb5db3da4f6fa74592db3c1ef918ffac74a287b15c8,684fbe2f162b16fbf7129bf21a74ab5ca0668ebcd610cdcda07ce8a1b2096378,fd40c71aa03eabdc727749169799f5238136b83d7c59e7046136fa3c5e35333d,a4f70dcf13559371ff50d36d976bec73c48afa94fd88411fcd156dd43ccc3c2c,a8d72bc4c8433804ea83770518f2947c5ebb2efaf86c281a7701c9a344c489ae
"1","1","3","2","105","105","105"
"2","1","3","2","105","120","120"
"3","1","3","2","100","100","120"
"4","1","3","2","105","120","120"
"5","1","3","2","105","105","120"
"6","1","3","2","100","100","105"
"7","1","3","2","120","100","105"
"8","1","3","2","100","100","105"
"9","1","3","2","105","120","120"
"10","1","3","2","120","100","105"
"11","1","3","2","100","105","100"
"12","1","3","2","105","120","120"
"13","1","3","2","105","105","105"
"14","1","3","2","105","120","105"
"15","1","3","2","120","120","120"
"16","1","3","2","100","100","100"
"17","1","3","2","120","105","120"
"18","1","3","2","120","120","105"
"19","1","3","2","105","105","100"
"20","1","3","2","100","105","105"
"21","1","3","2","100","105","100"
"22","1","3","2","120","120","120"
"23","1","3","2","105","100","100"
"24","1","3","2","120","120","120"
"25","1","3","2","105","105","120"
"26","1","3","2","100","100","100"
"27","1","3","2","100","100","100"
"28","1","3","2","100","100","100"
"29","1","3","2","120","120","120"
"30","1","3","2","105","120","105"
