0499bc9616524c4a0abaf9fe29f712c48843eb4506bb6bc76b18f4569b758c47,8571d487813b7e01affe00ebdafddd9ffada353907151f763bdc1fe19ebc0a75,8cf21b2bc3146ba3394659fbc9f627ff765ab6099830b0c5910cb704851ab3e3,18cc49cbff80913d426b0d86c0075fd6b170c141d40bdb6a12bbe1cf50b26f88,1539fbff4ff51202431a10fcfe65f21f12581a1254f0cc990cdfe85a04b758b1,5acd6d4f60996ffe8796cca23dc32cd51e10079b54a9718f8d979fa0e1b6c561,9fc76a9caffea383668a7345e349edeb066c840b3b274fb372afac34fed1f20f,41af25aa315b6922060c3c129d1cf28d5a9baad9a7b362965de5a4e0b7ee7648,a71ea23f9f035eac0157ae5c7562e6ca9a515bbc79e2bf57f7af2bd1bb2158dc,b34a67451da6ec59bd4b8f443dd98d8bcdc7e69632a7dc98acabc1d528a34f7c,4b0e362f6fc767ae4b7ab51e93c8769567a4d2eaa83194e7f1c8ab6e965544f3,2efcf231a1c01c6b68f3ff08277081d51540031e4a7481ef0bfc8ec5eaad07b0,3b59d4ec639fc87539a75b05fed43a4916a4f3cec8a92dfdc002c777297383f6,9837070c484d80e2267ebc0dca3e9798d0774834c3bd5a2377b9c9801b6ad6b0,34d166dbd4e0edfa9710f8a078af5e7411f6f7e0fbf798dcd46520ecda270c15,4762d4e9049b8cba1094cd50362a55f2b9d155387aad80d605007e5cb39aa821,8773fa388728976a6ca66ce219234a11a276d549aeac1b0859a338843881a29b,e2e304e9c5ddc11206a8c0ce58910177cffc38dd657fcf77d81b0a8e87cbdfaa,4c98a0ea924b5c9c2b08f475844ad8951750889cfee2cbd5e9bd64ad23eaafbc,f2149c802e0f0f3a178768b07b714afa6efdb83cddfc4abe28441f2887be4a12,b957ed05efda24c1a6d9771dc6559be71b2b58da42339e4287e831215dbfce7f,92ae0ee3dcd3606a3baa428b3d54c123ef0a2fb73fc2b36ebe3efe608f3b1fd3,90d37035d662d6d9678c9db0ca74223721863d47c609d5064c547e879341355d,dc30780bb74862703e17c32579fdefb96f2854813452e68425621b4d4888fb53,7a2a7b981439932e1d37eca61cbaad5f767b61050dab6a9a50fbb3e2ebe4e5fd,5cbd21f7621ab93514bb666ff126d24a4a976f7fa6e90cfa69841bbb7f019822,632d1b01b5e65c5369ac6b133e539f9314a3884aa09f2ba8f33b31f0cb85663c,50272328d41afe2f8a6370c1f37e462c595679c187296a8d36009ed19c63eb3c,d978c1dc7bb0defe7225c2177b0b329d7af5f8ddc7934db9831e81c6f9ff7e61,250e39bedaf5ede5966144ff2933bbe4b0f668eb0013d692658a0f973033d6a1,c7377084c33c54fb21252f48f86def47174c8125ce5dcc4c8c239860aa5b8297,db99062af941636f5c0400e2bd55dabc1e1f2f1c438ce2be64635446395bbcfc,37a83f1e24d8cbba509c8ef4a30fbfc8fe6e776e7c5c80697e824ea9e8d6094f,42b2b6fa8e23b6d85d9fda951a7b279fa99250c76fac9508285afd5fda3da444,2eb808e5949f77864850052b2febcc57389f094cf6e537014d5c8366f75f2070,78c03ba6c9186b88257900755558c4a23554d3e61fb4dd0bcaf11bc99bc54ed1,a942798fbd3e1b79603b92d8d2b3159a59803d09c04cc067015b87cf792ace2b,a109eb860f241761182bf2f4f87fa1cfee65f38776a404c89d5234bc6fcbbed7
"650002011","0","61001004","0","1","0","0","1","36","0","0","1","1","61001005","30","0","670090110","0","61001007","670300010","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","273","0","670110010"
"650002012","0","10011002","0","1","0","0","2","66","0","0","1","1","10011003","66","4","670120008","0","10011001","670300010","0","0","0","0","0","0","1","0","0","66","101011","0","0","0","0","273","0","670390010"
"650002013","0","10011005","0","1","101011","0","3","66","0","0","1","1","10011006","66","0","670380009","0","10011004","670050009","0","0","0","0","0","0","1","670230010","0","66","0","0","0","0","0","273","4","670420010"
"650002021","0","61001004","0","1","0","0","1","36","0","0","1","1","61001005","30","0","670370011","0","61001007","670060011","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","281","0","670440011"
"650002022","0","10011002","0","1","0","0","2","66","0","0","1","1","10011003","66","4","670330009","0","10011001","670210111","0","0","0","0","0","0","1","0","0","66","101011","0","0","0","0","281","0","670080011"
"650002023","0","10011005","0","1","101011","0","3","66","0","0","1","1","10011006","66","0","670290111","0","10011004","670380110","0","0","0","0","0","0","1","670340011","0","66","0","0","0","0","0","281","4","670160011"
"650002031","0","61001004","0","1","0","0","1","36","0","0","1","1","61001005","30","0","670060012","0","61001007","670090012","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","288","0","670130012"
"650002032","0","10011002","0","1","0","0","2","66","0","0","1","1","10011003","66","4","670090012","0","10011001","670300112","0","0","0","0","0","0","1","0","0","66","101011","0","0","0","0","288","0","670070012"
"650002033","0","10011005","0","1","101011","0","3","66","0","0","1","1","10011006","66","0","670040011","0","10011004","670030012","0","0","0","0","0","0","1","670210112","0","66","0","0","0","0","0","288","4","670100012"
"650002041","0","61001004","0","1","0","0","1","36","0","0","1","1","61001005","30","0","670030013","0","61001007","670280013","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","298","0","670020013"
"650002042","0","10011002","0","1","0","0","2","66","0","0","1","1","10011003","66","4","670120011","0","10011001","670300013","0","0","0","0","0","0","1","0","0","66","101011","0","0","0","0","298","0","670390013"
"650002043","0","10011005","0","1","101011","0","3","66","0","0","1","1","10011006","66","0","670270013","0","10011004","670380112","0","0","0","0","0","0","1","670160013","0","66","0","0","0","0","0","298","4","670420013"
"650002051","0","61001004","0","1","0","0","1","36","0","0","1","1","61001005","30","0","670090114","0","61001007","670300014","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","309","0","670110014"
"650002052","0","10011002","0","1","0","0","2","66","0","0","1","1","10011003","66","4","670090014","0","10011001","670300114","0","0","0","0","0","0","1","0","0","66","101011","0","0","0","0","309","0","670070014"
"650002053","0","10011005","0","1","101011","0","3","66","0","0","1","1","10011006","66","0","670330012","0","10011004","670290214","0","0","0","0","0","0","1","670130114","0","66","0","0","0","0","0","309","4","670250014"
"650002061","0","61001004","0","1","0","0","1","36","0","0","1","1","61001005","30","0","670370015","0","61001007","670060015","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","313","0","670440015"
"650002062","0","10011002","0","1","0","0","2","66","0","0","1","1","10011003","66","4","670050014","0","10011001","670300015","0","0","0","0","0","0","1","0","0","66","101011","0","0","0","0","313","0","670140015"
