cb72065bcc162127df45d8ff9a5ef14d5204400e220d3c809ae6a9ac82f71ee5,bde7dec555486a48b95fd836945a8ad966f6067692345ead6df544cb9f0b3c2a,ab6e862ebccb6bafa685126cca8f94e090462a0ec55f7a07ae4c1a2fddc23b0e
"1","1","32025"
"2","1","32046"
"3","1","32048"
"4","1","32016"
"5","1","32060"
"5","2","32078"
"6","1","32031"
"7","1","32007"
"8","1","32050"
"9","1","32033"
"10","1","32058"
"10","2","32075"
"11","1","32042"
"12","1","32021"
"13","1","32023"
"14","1","32027"
"15","1","32049"
"16","1","32011"
"17","1","32045"
"18","1","32030"
"19","1","32013"
"20","1","32040"
"21","1","32018"
"22","1","32028"
"23","1","32043"
"24","1","32017"
"25","1","32010"
