96facc7e6872875e0d0a5805762b8bd3a890f6c0bda42a7548dbf520a0227976,8c7c792d36a4e59d3cccb927d07dd55117e00117808ceb59bba80193d04e197c,94f73d212c19fb7eb47d3a791693445a97fc778a62091b319642c4cf4db1e012,db2ff5c3a837e9845da7bad9c1d933f311616205afbd2e5c7cc67000a49b7e15,d3a082422358143d9f059f979b0b2e2cc4aa9c3a424f31e713b8e7ad2b56cd9b,8c6041e8a72028d0a055ed5bbcbacb0868dc2662dacacd80681131974037d62b,ef50fd1d76bad6691a34d0dadabdab5b247b4a3d59f5b8bfab8233297f2954ca,3cc8b9a18e49dc3b5ab41cc33910776bf5405ab6218913ad54d707c8f0618391,d627f0f0b5ca0e6f953faa683249c2062f4a534b55c1cc2a4c921637106c4131
"30000","20000","0","5000","50","0","0","0","100111"
"30000","20000","0","5000","50","0","0","0","100112"
"30000","20000","0","5000","50","0","0","0","100113"
"45000","30000","0","12500","125","0","0","0","100121"
"45000","30000","0","12500","125","0","0","0","100122"
"45000","30000","0","12500","125","0","0","0","100123"
"60000","40000","0","20000","200","0","0","0","100131"
"60000","40000","0","20000","200","0","0","0","100132"
"60000","40000","0","20000","200","0","0","0","100133"
"30000","20000","0","5000","50","0","0","0","100211"
"30000","20000","0","5000","50","0","0","0","100212"
"30000","20000","0","5000","50","0","0","0","100213"
"45000","30000","0","12500","125","0","0","0","100221"
"45000","30000","0","12500","125","0","0","0","100222"
"45000","30000","0","12500","125","0","0","0","100223"
"60000","40000","0","20000","200","0","0","0","100231"
"60000","40000","0","20000","200","0","0","0","100232"
"60000","40000","0","20000","200","0","0","0","100233"
"30000","20000","0","5000","50","0","0","0","100311"
"30000","20000","0","5000","50","0","0","0","100312"
"30000","20000","0","5000","50","0","0","0","100313"
"45000","30000","0","12500","125","0","0","0","100321"
"45000","30000","0","12500","125","0","0","0","100322"
"45000","30000","0","12500","125","0","0","0","100323"
"60000","40000","0","20000","200","0","0","0","100331"
"60000","40000","0","20000","200","0","0","0","100332"
"60000","40000","0","20000","200","0","0","0","100333"
"30000","20000","0","5000","50","0","0","0","100411"
"30000","20000","0","5000","50","0","0","0","100412"
"30000","20000","0","5000","50","0","0","0","100413"
"45000","30000","0","12500","125","0","0","0","100421"
"45000","30000","0","12500","125","0","0","0","100422"
"45000","30000","0","12500","125","0","0","0","100423"
"60000","40000","0","20000","200","0","0","0","100431"
"60000","40000","0","20000","200","0","0","0","100432"
"60000","40000","0","20000","200","0","0","0","100433"
"30000","20000","0","5000","50","0","0","0","100511"
"30000","20000","0","5000","50","0","0","0","100512"
"30000","20000","0","5000","50","0","0","0","100513"
"45000","30000","0","12500","125","0","0","0","100521"
"45000","30000","0","12500","125","0","0","0","100522"
"45000","30000","0","12500","125","0","0","0","100523"
"60000","40000","0","20000","200","0","0","0","100531"
"60000","40000","0","20000","200","0","0","0","100532"
"60000","40000","0","20000","200","0","0","0","100533"
"30000","20000","0","5000","50","0","0","0","100611"
"30000","20000","0","5000","50","0","0","0","100612"
"30000","20000","0","5000","50","0","0","0","100613"
"45000","30000","0","12500","125","0","0","0","100621"
"45000","30000","0","12500","125","0","0","0","100622"
"45000","30000","0","12500","125","0","0","0","100623"
"60000","40000","0","20000","200","0","0","0","100631"
"60000","40000","0","20000","200","0","0","0","100632"
"60000","40000","0","20000","200","0","0","0","100633"
"30000","20000","0","5000","50","0","0","0","100711"
"30000","20000","0","5000","50","0","0","0","100712"
"30000","20000","0","5000","50","0","0","0","100713"
"45000","30000","0","12500","125","0","0","0","100721"
"45000","30000","0","12500","125","0","0","0","100722"
"45000","30000","0","12500","125","0","0","0","100723"
"60000","40000","0","20000","200","0","0","0","100731"
"60000","40000","0","20000","200","0","0","0","100732"
"60000","40000","0","20000","200","0","0","0","100733"
"30000","20000","0","5000","50","0","0","0","100811"
"30000","20000","0","5000","50","0","0","0","100812"
"30000","20000","0","5000","50","0","0","0","100813"
"45000","30000","0","12500","125","0","0","0","100821"
"45000","30000","0","12500","125","0","0","0","100822"
"45000","30000","0","12500","125","0","0","0","100823"
"60000","40000","0","20000","200","0","0","0","100831"
"60000","40000","0","20000","200","0","0","0","100832"
"60000","40000","0","20000","200","0","0","0","100833"
"30000","20000","0","5000","50","0","0","0","100911"
"30000","20000","0","5000","50","0","0","0","100912"
"30000","20000","0","5000","50","0","0","0","100913"
"45000","30000","0","12500","125","0","0","0","100921"
"45000","30000","0","12500","125","0","0","0","100922"
"45000","30000","0","12500","125","0","0","0","100923"
"60000","40000","0","20000","200","0","0","0","100931"
"60000","40000","0","20000","200","0","0","0","100932"
"60000","40000","0","20000","200","0","0","0","100933"
