307f97452e1c4b8606b8d2458c1cd48f0a7b2139c2250379adeb4eb84bb64329,0c7c582059591026d29a88248f75b2bde9104c8e6f2d5a229f769b92545509ec,4486eb24ecf96894eb9d675c30b24eb1e000c0f5680a7a446c655714dcb58ecb,9e7b3dfef3d0f1d64ac23908219c3f5fbb04ded15800dcef8d583f41cb2b45ee,807e52f62c907b166f65ab71ffee9a88d2c0479dc41556f5eabf1fd47716a05c,6cc687140683be89949d3cf538d2923f8eccdb77167c7f20c8f1d905347adb2b,4d01abe19b6d9a98aa3a1abd88ec57928903d0c0f2ac22e4d9516af4dd2438b7,e9c09d9b3b8e07cc28fb26571a44a3ac70bd19f12262b3f3414d469ab2c9eb45,29bc73daf7bac237c974c8de5e31c31f7e2768759a5137b1a7e7035ca9c0fece,cfed201d344b24d10d6b5219462e41f6c95f683b0aa726a0057210a386482cfe,92614989473cca7801420fedf0d7758a0422835091a4a58bafd795bbe6edc8dd
"1500","1","1.8","1","-190","omp_talk_worry","-140","112511","1","0","1010001"
"1500","1","1.8","1","-190","omp_idle_normal","140","112411","1","1","1010002"
"0","1","1","1","1","","0","1","31","","1010003"
"","1","","1","","","","","93","","1010004"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_000","21","","1010005"
"10","112511","","1","1","","1","ウヅキ、大丈夫？\n夜営続きで疲れてない？","11","","1010006"
"","0","","1","","","","","91","","1010007"
"1","112511","0","1","","","","omp_idle_worry","3","","1010008"
"1","112411","0","1","","","","omp_talk_joy1","3","","1010009"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_001","21","","1010010"
"10","112411","","1","1","","1","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","11","","1010011"
"","0","","1","","","","","91","","1010012"
"1","112411","0","1","","","","omp_psn_20","3","","1010013"
"1","112511","0","1","","","","omp_talk_normal","3","","1010014"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_002","21","","1010015"
"10","112511","","1","1","","1","そっか\nウヅキはどんなときも楽しそうだよね","11","","1010016"
"","0","","1","","","","","91","","1010017"
"1","112511","0","1","","","","omp_idle_normal","3","","1010018"
"1","112411","0","1","","","","omp_talk_sad","3","","1010019"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_003","21","","1010020"
"10","112411","","1","1","","1","もしかして…\nリンちゃんは楽しくないですか？","11","","1010021"
"","0","","1","","","","","91","","1010022"
"1","112411","0","1","","","","omp_idle_sad","3","","1010023"
"0","112511","0","1","1","","omp_idle_surprise1","omp_surprise","3","0.1","1010024"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_004","21","","1010025"
"10","112511","","1","1","","1","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","11","","1010026"
"","2.5","","1","","","","1","93","","1010027"
"1","112511","0.2","1","","","","omp_talk_normal","3","","1010028"
"","1010026","","1","","","","","91","","1010029"
"1","112511","0","1","","","","omp_idle_normal","3","","1010030"
"1","112411","0","1","","","","omp_talk_joy2","3","","1010031"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_005","21","","1010032"
"10","112411","","1","1","","1","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","11","","1010033"
"","0","","1","","","","","91","","1010034"
"1","112511","","1","","","","0","4","","1010035"
"1","112411","0","1","","","","omp_psn_20","3","","1010036"
"1","112511","0","1","","","","omp_idle_normal","3","","1010037"
"0","vo_omp_7001","","1","","","0","vo_omp_7001_006","21","","1010038"
"10","112511","","1","1","","1","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","11","","1010039"
"","0","","1","","","","","91","","1010040"
"","0.4","","1","","","","","93","","1010041"
"1600","1","1.8","2","-195","omp_idle_normal","-180","112511","1","0","1020001"
"1500","1","1.8","2","-190","omp_talk_normal","20","112411","1","1","1020002"
"1600","1","1.8","2","-205","omp_idle_normal","220","112611","1","1","1020003"
"0","1","1","2","1","","0","1","31","","1020004"
"","1","","2","","","","","93","","1020005"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_000","21","","1020006"
"10","112411","","2","1","","1","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","11","","1020007"
"","0","","2","","","","","91","","1020008"
"","112411","","2","","","","0","4","","1020009"
"1","112411","0","2","","","","omp_idle_normal","3","","1020010"
"1","112611","0","2","","","","omp_talk_joy1","3","","1020011"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_001","21","","1020012"
"10","112611","","2","1","","1","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","11","","1020013"
"","0","","2","","","","","91","","1020014"
"1","112611","0","2","","","","omp_idle_joy1","3","","1020015"
"1","112411","0","2","","","","omp_talk_surprise1","3","","1020016"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_002","21","","1020017"
"10","112411","","2","1","","1","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","11","","1020018"
"","0","","2","","","","","91","","1020019"
"","112411","","2","","","","1","4","","1020020"
"1","112411","0","2","","","","omp_idle_surprise1","3","","1020021"
"1","112511","0","2","","","","omp_talk_normal","3","","1020022"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_003","21","","1020023"
"10","112511","","2","1","","1","全然想像できない味だったね\nいい意味で","11","","1020024"
"","0","","2","","","","","91","","1020025"
"1","112511","0","2","","","","omp_talk_sad","3","","1020026"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_004","21","","1020027"
"10","112511","","2","1","","1","でも魔物が調理されてるところは\nまあ、何て言うか…","11","","1020028"
"","0","","2","","","","","91","","1020029"
"1","112511","0","2","","","","omp_idle_sad","3","","1020030"
"1","112411","0","2","","","","omp_talk_bitter","3","","1020031"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_005","21","","1020032"
"10","112411","","2","1","","1","…す、すごかったですよね","11","","1020033"
"","0","","2","","","","","91","","1020034"
"1","112411","0","2","","","","omp_idle_bitter","3","","1020035"
"1","112611","0","2","","","","omp_talk_joy1","3","","1020036"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_006","21","","1020037"
"10","112611","","2","1","","1","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","11","","1020038"
"","0","","2","","","","","91","","1020039"
"1","112611","0","2","","","","omp_idle_joy1","3","","1020040"
"1","112511","0","2","","","","omp_talk_bitter","3","","1020041"
"0","vo_omp_7002","","2","","","0","vo_omp_7002_007","21","","1020042"
"10","112511","","2","1","","1","冒険って、奥が深いね…","11","","1020043"
"","0","","2","","","","","91","","1020044"
"","0.4","","2","","","","","93","","1020045"
"1500","1","1.8","3","-190","omp_talk_joy1","-140","112411","1","0","1030001"
"1500","1","1.8","3","-190","omp_idle_normal","140","112611","1","1","1030002"
"0","1","1","3","1","","0","1","31","","1030003"
"","1","","3","","","","","93","","1030004"
