f5804de18f1c02420468e1010efd87c1dbd26af520cd923f2aab4604c7cd9f7b,4e0f0a586089155bf953e363d66b907a2792d8102fa9a1736e47aa8b8c6dc855,71f2c8d7e3b9ce3ce2c92e4d44fa212ba623e7b2913e8233ff2859175cd469e8,b4418fe38865980c05cc0aa318e9042b7b7f38ef8b55e453ea1ff78ca9bdb571,d7de4f3bb6c2dc4bb9d433463afab65c119c71585742edc442af5b2c7a3d0da3,cc438846ef8a90935c999b96cac468e66024db9d0d8bf03e5e28728753b5d5f2,52ea445ce6c6ea15422fdc97adc37a806dc80f510408f0416b19dc52edd1da2d,3f9bba425d3ffbfefacc2dd6d33da7702403e9c38cf5197126b1c99acb0c4dcb,a409495fc7fb9f179dde9355db825dee60f6c1d1a43110772f2234f52a1c79df,01bd974dfa118fc22d0083ff5bf70e5ba10580f6f59ce4bea81c24ba2b254d25,4ff5d5f9da309b67aa59536bcd2cacef798d7b792b0b47ea46838e592c887dfa,efd94d12b7652b78b1686e5afb45759b689927a7e608e49110e4883ece4a7b1c
"100101","100","3","1","1","1","1","1","1","-1","13","-1"
"100201","130","4","1","1","1","1","1","1","-1","15","-1"
"100301","160","4","1","1","1","1","1","1","-1","17","-1"
"100401","180","4","1","1","1","1","1","1","-1","19","120"
"100402","180","4","1","1","1","1","1","1","-1","19","-1"
"100501","200","4","1","1","1","1","1","1","-1","21","150"
"100502","200","4","1","1","1","1","1","1","-1","21","-1"
"100601","220","5","1","1","1","1","1","1","-1","23","180"
"100602","220","5","1","1","1","1","1","1","-1","23","-1"
"100701","240","5","1","1","1","1","1","1","-1","25","210"
"100702","240","5","1","1","1","1","1","1","-1","25","-1"
"100801","260","5","1","1","1","1","1","1","-1","27","240"
"100802","260","5","1","1","1","1","1","1","-1","27","-1"
"100901","280","5","1","1","1","1","1","1","-1","29","270"
"100902","280","5","1","1","1","1","1","1","-1","29","-1"
"101001","300","6","1","1","1","1","1","1","1","32","300"
"101002","300","6","1","1","1","1","1","1","-1","32","300"
"101003","300","6","1","1","1","1","1","1","-1","32","-1"
"101004","300","5","1","1","1","1","1","1","1","32","300"
"101005","300","5","1","1","1","1","1","1","-1","32","300"
"101006","300","5","1","1","1","1","1","1","-1","32","-1"
"101101","310","6","1","1","1","1","1","1","1","32","300"
"101102","310","6","1","1","1","1","1","1","-1","32","300"
"101103","310","6","1","1","1","1","1","1","-1","32","-1"
"101104","310","5","1","1","1","1","1","1","1","32","300"
"101105","310","5","1","1","1","1","1","1","-1","32","300"
"101106","310","5","1","1","1","1","1","1","-1","32","-1"
"101201","320","6","1","1","1","1","1","1","1","32","300"
"101202","320","6","1","1","1","1","1","1","-1","32","300"
"101203","320","6","1","1","1","1","1","1","-1","32","-1"
"101204","320","5","1","1","1","1","1","1","1","32","300"
"101205","320","5","1","1","1","1","1","1","-1","32","300"
"101206","320","5","1","1","1","1","1","1","-1","32","-1"
"101301","330","6","1","1","1","1","1","1","3","32","300"
"101302","330","6","1","1","1","1","1","1","-1","32","300"
"101303","330","6","1","1","1","1","1","1","-1","32","-1"
"101304","330","5","1","1","1","1","1","1","3","32","300"
"101305","330","5","1","1","1","1","1","1","-1","32","300"
"101306","330","5","1","1","1","1","1","1","-1","32","-1"
"101401","340","6","1","1","1","1","1","1","3","32","300"
"101402","340","6","1","1","1","1","1","1","-1","32","300"
"101403","340","6","1","1","1","1","1","1","-1","32","-1"
"101404","340","5","1","1","1","1","1","1","3","32","300"
"101405","340","5","1","1","1","1","1","1","-1","32","300"
"101406","340","5","1","1","1","1","1","1","-1","32","-1"
"101501","350","6","1","1","1","1","1","1","3","32","300"
"101502","350","6","1","1","1","1","1","1","-1","32","300"
"101503","350","6","1","1","1","1","1","1","-1","32","-1"
"101504","350","5","1","1","1","1","1","1","3","32","300"
"101505","350","5","1","1","1","1","1","1","-1","32","300"
"101506","350","5","1","1","1","1","1","1","-1","32","-1"
"101601","360","6","1","1","1","1","1","1","5","32","310"
"101602","360","6","1","1","1","1","1","1","-1","32","310"
"101603","360","6","1","1","1","1","1","1","-1","32","-1"
"101604","360","5","1","1","1","1","1","1","5","32","310"
"101605","360","5","1","1","1","1","1","1","-1","32","310"
"101606","360","5","1","1","1","1","1","1","-1","32","-1"
"101701","380","6","1","1","1","1","1","1","5","32","310"
"101702","380","6","1","1","1","1","1","1","-1","32","310"
"101703","380","6","1","1","1","1","1","1","-1","32","-1"
"101704","380","5","1","1","1","1","1","1","5","32","310"
"101705","380","5","1","1","1","1","1","1","-1","32","310"
"101706","380","5","1","1","1","1","1","1","-1","32","-1"
"101801","400","6","1","1","1","1","1","1","5","32","310"
"101802","400","6","1","1","1","1","1","1","-1","32","310"
"101803","400","6","1","1","1","1","1","1","-1","32","-1"
"101804","400","5","1","1","1","1","1","1","5","32","310"
"101805","400","5","1","1","1","1","1","1","-1","32","310"
"101806","400","5","1","1","1","1","1","1","-1","32","-1"
"101901","510","6","1","1","1","1","1","1","5","34","310"
"101902","510","6","1","1","1","1","1","1","-1","34","310"
"101903","510","6","1","1","1","1","1","1","-1","34","-1"
"101904","510","5","1","1","1","1","1","1","5","34","310"
"101905","510","5","1","1","1","1","1","1","-1","34","310"
"101906","510","5","1","1","1","1","1","1","-1","34","-1"
"102001","520","6","1","1","1","1","1","1","5","34","310"
"102002","520","6","1","1","1","1","1","1","-1","34","310"
"102003","520","6","1","1","1","1","1","1","-1","34","-1"
"102004","520","5","1","1","1","1","1","1","5","34","310"
"102005","520","5","1","1","1","1","1","1","-1","34","310"
"102006","520","5","1","1","1","1","1","1","-1","34","-1"
"102101","530","6","1","1","1","1","1","1","5","34","310"
"102102","530","6","1","1","1","1","1","1","-1","34","310"
"102103","530","6","1","1","1","1","1","1","-1","34","-1"
"102104","530","5","1","1","1","1","1","1","5","34","310"
"102105","530","5","1","1","1","1","1","1","-1","34","310"
"102106","530","5","1","1","1","1","1","1","-1","34","-1"
"111601","400","6","1","1","1","1","1","1","5","33","310"
"111602","400","6","1","1","1","1","1","1","-1","33","310"
"111603","400","6","1","1","1","1","1","1","-1","33","-1"
"111604","400","5","1","1","1","1","1","1","5","33","310"
"111605","400","5","1","1","1","1","1","1","-1","33","310"
"111606","400","5","1","1","1","1","1","1","-1","33","-1"
"111701","450","6","1","1","1","1","1","1","5","33","310"
"111702","450","6","1","1","1","1","1","1","-1","33","310"
"111703","450","6","1","1","1","1","1","1","-1","33","-1"
"111704","450","5","1","1","1","1","1","1","5","33","310"
"111705","450","5","1","1","1","1","1","1","-1","33","310"
"111706","450","5","1","1","1","1","1","1","-1","33","-1"
"111801","500","6","1","1","1","1","1","1","5","33","310"
"111802","500","6","1","1","1","1","1","1","-1","33","310"
"111803","500","6","1","1","1","1","1","1","-1","33","-1"
"111804","500","5","1","1","1","1","1","1","5","33","310"
"111805","500","5","1","1","1","1","1","1","-1","33","310"
"111806","500","5","1","1","1","1","1","1","-1","33","-1"
