7778cf5e1b7d4267dd87ee3ce6c20a3e65d199486d2daccbc69abb2f8b3f4520,5ae6e910f47fc24a9a37b5152c523c61d4d733169f5deb874aa4c7ad3451f601,23fe9a93d57eb5d7634c5f4d98f3dcaadb220eac75cf106e6dfadede7e36c62d,3ea8ad9040f971c917d548b4cf1c60f06bd2986161864194e605c03456c55408
"0","戦闘不能になったキャラが0人以下で勝利","100101","1001"
"1","戦闘不能になったキャラが1人以下で勝利","100102","1001"
"2","戦闘不能になったキャラが2人以下で勝利","100103","1001"
"74001","バトルの残り時間が1:15以上で勝利","100201","1002"
"69001","バトルの残り時間が1:10以上で勝利","100202","1002"
"59001","バトルの残り時間が1:00以上で勝利","100203","1002"
"49001","バトルの残り時間が0:50以上で勝利","100204","1002"
"44001","バトルの残り時間が0:45以上で勝利","100205","1002"
"39001","バトルの残り時間が0:40以上で勝利","100206","1002"
"29001","バトルの残り時間が0:30以上で勝利","100207","1002"
"1000","味方のTotal HPが100%以上で勝利","100301","1003"
"900","味方のTotal HPが90%以上で勝利","100302","1003"
"800","味方のTotal HPが80%以上で勝利","100303","1003"
"700","味方のTotal HPが70%以上で勝利","100304","1003"
"600","味方のTotal HPが60%以上で勝利","100305","1003"
"500","味方のTotal HPが50%以上で勝利","100306","1003"
"990","味方のTotal HPが99%以上で勝利","100307","1003"
