d15ecea0319755cadd7672fb1507ce761bccd4dc11db2afa5f1a7dcea3c5a118,d1da8bc392915ad6ae3b47802be02cbba60a4a2e499abca0aae6bd17e1690810,a6de4389e1652b6a492b1edec2f7d0812b0e982f97e7d520f4778fce9dd362b6,2afb9a105f8bc16be5cacba0effacfb081e31910305f4f27f79fe169140155be,468209acb1f9dcd2913d4750d34bc4d1f57fde5c4df7055980c25da42cc52de3
"1","300","135","1","1"
"1","-100","425","2","1"
"2","125","-100","3","1"
"2","-415","375","4","1"
"3","-50","25","5","1"
"3","-300","-25","6","1"
"4","-335","-195","7","1"
"4","-415","105","8","1"
"5","-160","135","9","1"
"6","-40","345","10","1"
"7","90","-230","11","1"
"8","-420","230","12","1"
"9","250","30","13","1"
"10","-245","280","14","1"
"11","-110","-150","15","1"
