e44fe878567d6e4ca5c374bfa88833739ed1a8f93bdc2a9344b3cd1e8dbc08a4,178c16e4a5ee29c74bd64e8549d4e7bc3e5965e91b604f2ef0f14fdf327a7731,be5a4ac2811de8f12073898372a9bc268a229b3e1a77697372b9bb6022db4f1f,b766e385999f39c00e6312295321e74bb447d9a20592e1b4538cc13a34628ee5,0ddf46dee4d8bec9a1ce30a341e089df2c002128fd10ef3d98c5d18a5652e162,156041464194f10f0f81aa8daab3143e6783d4909cdf1c0b305f9fa0feaa5777,2a8b7c1c372554106ef0e52e1e2afa71e7b2494d31853d20407e61b9cccd03bb,daee2a5f52a54bd41b765aeda20bbf2dba5f8c665bdb027c1bc97cda376556a7,5ee099cb787dce21a320cb1f22eca7122abaa7b18e82db23f6b2e286a71f987a,3228db39fc9d906408332cab7d3ec3860e3a57322bb5c48535dc1dee5dc07fe4,23eac89fc8cd098f2dedcc66326523bea832cc916c5a177b4533b4f68c6cc9e8,7e6fc6b120b192922f27e5480474bb95484bc7f4a2c183f41ea6ade6727d38c8
"32","0","333","0.05","0","0","0","1","36","0","28","0.025"
"31","0","324","0.05","0","0","0","2","35","0","27","0.025"
"30","0","315","0.05","0","0","0","3","34","0","26","0.025"
"29","0","306","0.05","0","0","0","4","33","0","25","0.025"
"28","0","297","0.05","0","0","0","5","32","0","24","0.025"
"27","0","288","0.05","0","0","0","6","31","0","23","0.025"
"26","0","279","0.05","0","0","0","7","30","0","22","0.025"
"25","0","270","0.05","0","0","0","8","29","0","21","0.025"
"24","0","261","0.05","0","0","0","9","28","0","20","0.025"
"23","0","252","0.05","0","0","0","10","27","0","19","0.025"
"22","0","243","0.05","0","0","0","11","26","0","18","0.025"
"21","0","234","0.05","0","0","0","12","25","0","17","0.025"
"20","0","225","0.05","0","0","0","13","24","0","16","0.025"
"19","0","216","0.05","0","0","0","14","23","0","15","0.025"
"18","0","207","0.05","0","0","0","15","22","0","14","0.025"
"17","0","198","0.05","0","0","0","16","21","0","13","0.025"
"16","0","189","0.05","0","0","0","17","20","0","12","0.025"
"15","0","180","0.05","0","0","0","18","19","0","11","0.025"
"14","0","171","0.05","0","0","0","19","18","0","10","0.025"
"13","0","161","0.05","0","0","0","20","17","0","9","0.025"
"12","0","152","0.05","0","0","0","21","16","0","8","0.025"
"11","0","143","0.05","0","0","0","22","15","0","7","0.025"
"10","0","134","0.05","0","0","0","23","14","0","6","0.025"
"9","0","125","0.05","0","0","0","24","13","0","5","0.025"
"8","0","116","0.05","0","0","0","25","12","0","4","0.025"
"7","0","107","0.05","0","0","0","26","11","0","3","0.025"
"6","0","101","0.05","0","0","0","27","10","0","2","0.025"
"0","0","1","0","0","0","0","28","0","0","0","0"
