fe86e1115f006e207a42a4703289302c9b6c6ace0de68fa82f8967716c2251f7,d031eaee22adbfd33fd1437d4ff7dba2ec125730bcf4b0006eb45805fb1fa303,8fe3bf59125b129b630b91f35ba8070ed2885c4f735b2cc0fb7b181ef60d257d,cdcb80959976638588c4151b08a87d53677b11fb190e14e54d2521d54a725680,3988c1d7d706cdd69d346fb44787221a0f49beed2599ac657e4524a1c985882e,6fd239d1023f22e2a62a4035943595e663a7a1da95ebe96583c2e3fc01fdf201,38b5b2d4c9c242d6c1110c31d74bfd6bb49643a73e20b242ee286eb6b2b72487,0d10ff59d55b64c854ed58222456fb12f736f9f1063434f6233b59df36ea1a94,4c8e1c3ece78ddb2ebf15f406e85823f7183632354b5de0d9fad1c121c6f7bf2,58278406d3be9e261f936b07e404ce0063810bc55435df8eee5ec023258466b5,fb04d82ac9604d76fc28b375ac4a9f1cfb0ba335bf7dd7e124a82c0558e78a3d
"10","1","2","2","25021","8","25013","8","91002","31","283001001"
"10","2","2","2","25021","8","25013","8","91002","31","283001002"
"10","3","2","2","25021","8","25013","8","91002","32","283001003"
"10","4","2","2","25021","8","25013","8","91002","32","283001004"
"10","5","2","2","25021","8","25013","8","91002","33","283001005"
"10","6","2","2","25021","9","25013","8","91002","33","283001006"
"10","7","2","2","25021","9","25013","8","91002","34","283001007"
"10","8","2","2","25021","9","25013","8","91002","35","283001008"
"10","9","2","2","25021","9","25013","8","91002","35","283001009"
"30","10","2","2","25021","10","25013","8","91002","37","283001010"
"10","11","2","2","25021","10","25013","8","91002","41","283001011"
"10","12","2","2","25021","11","25013","8","91002","43","283001012"
"10","13","2","2","25021","11","25013","8","91002","46","283001013"
"10","14","2","2","25021","12","25013","8","91002","48","283001014"
"10","15","2","2","25021","12","25013","8","91002","50","283001015"
"10","16","2","2","25021","13","25013","8","91002","53","283001016"
"10","17","2","2","25021","14","25013","8","91002","55","283001017"
"10","18","2","2","25021","14","25013","8","91002","58","283001018"
"10","19","2","2","25021","15","25013","8","91002","60","283001019"
"30","20","2","2","25021","15","25013","8","91002","62","283001020"
"10","21","2","2","25021","16","25013","8","91002","68","283001021"
"10","22","2","2","25021","16","25013","8","91002","70","283001022"
"10","23","2","2","25021","16","25013","8","91002","72","283001023"
"10","24","2","2","25021","17","25013","8","91002","75","283001024"
"10","25","2","2","25021","18","25013","8","91002","77","283001025"
"10","26","2","2","25021","18","25013","8","91002","79","283001026"
"10","27","2","2","25021","19","25013","8","91002","82","283001027"
"10","28","2","2","25021","19","25013","8","91002","84","283001028"
"10","29","2","2","25021","19","25013","8","91002","86","283001029"
"30","30","2","2","25021","20","25013","8","91002","89","283001030"
"10","31","2","2","25021","20","25013","8","91002","94","283001031"
"10","32","2","2","25021","21","25013","8","91002","96","283001032"
"10","33","2","2","25021","21","25013","8","91002","99","283001033"
"10","34","2","2","25021","22","25013","8","91002","101","283001034"
"10","35","2","2","25021","22","25013","8","91002","103","283001035"
"10","36","2","2","25021","23","25013","8","91002","106","283001036"
"10","37","2","2","25021","23","25013","8","91002","108","283001037"
"10","38","2","2","25021","24","25013","8","91002","111","283001038"
"10","39","2","2","25021","25","25013","8","91002","113","283001039"
"30","40","2","2","25021","25","25013","8","91002","115","283001040"
"10","41","2","2","25021","26","25013","8","91002","121","283001041"
"10","42","2","2","25021","27","25013","8","91002","123","283001042"
"10","43","2","2","25021","28","25013","8","91002","125","283001043"
"10","44","2","2","25021","28","25013","8","91002","128","283001044"
"10","45","2","2","25021","29","25013","8","91002","130","283001045"
"10","46","2","2","25021","30","25013","8","91002","132","283001046"
"10","47","2","2","25021","30","25013","8","91002","135","283001047"
"10","48","2","2","25021","31","25013","8","91002","137","283001048"
"10","49","2","2","25021","31","25013","8","91002","139","283001049"
"30","50","2","2","25021","31","25013","8","91002","142","283001050"
