902eb12c61149acc64f4447f309a47edb0b12362597b2d2cbbe8449356d78ee0,efcbae17e80aa0d5f7cba5a0451067af8d603f362aba219542ff3bc66a8cf006,3156f5c19f5aeae71309ec9b804c97ddf4547a84218c910be657573b3480fc8f,fad1902bd090340f6b977ce904c366ae86455727e49c5a8a125a4c9a6ce0644f,0382f6965d6b0ba3c005dfac43c1ac9d650a8b9926b094383e576fb3830c6d67,99480ef9cc1cbdca722f0c8e17ccb8592e0da230fa085a6fd1d459638880d074,f3e99e8b684fa288c97ad9dc6d944c0a5439beda8ef983f46d99dfab14942cf8,c83c7e787d2c3c2e71d54763664e2918f868a616d854d0c7101ff1cb7d1e5c59,4231da4d413b251c5117da4f07dc20a1c8fb77bc51f5066b1775bb346dedf502,0283c3b950dfcbde9fe06fb82d3962ceb7cfb07b10e5fdc9edf4c247712e8b4c,c688faf78d1620f8217219eccc64a13bd5178c87282c85fc9f322958fd7cf1fa
"1001","1000001","2","55","-250","1.3","<weapon>_idle","1","-100","110010001","0"
"1001","100","100","0","1","1","","31","0","110010002",""
"1001","101","101","0","1","0","","31","0","110010003",""
"1001","4","4","0","1","1","","31","0","110010004",""
"1001","5","5","94.5","1","1","","31","0","110010005",""
"1001","0","0","","","","","91","","110010006",""
"1001","0","0.4","","","","","93","","110010007",""
"1001","<weapon>_joy_short","1000001","0","","0.2","","3","","110010008",""
"1001","0","1.3","","","","","93","","110010009",""
"1001","<weapon>_run","1000001","1","","0","","3","","110010010",""
"1001","800","1000001","-250","0","","","2","1","110010011",""
"1001","0","0.7","","","","","93","","110010012",""
"1001","1","101","","","","","32","","110010013",""
"1001","0","0.7","","","","","93","","110010014",""
"1101","1000001","2","55","-250","1.3","<weapon>_run","1","-640","111010001","0"
"1101","100","100","0","1","1","","31","0","111010002",""
"1101","101","101","0","1","0","","31","0","111010003",""
"1101","4","4","0","1","1","","31","0","111010004",""
"1101","0","4","","","","","35","","111010005",""
"1101","5","5","0","1","1","","31","0","111010006",""
"1101","10","10","0","1","1","","31","0","111010007",""
"1101","","0","","","","","91","","111010008",""
"1101","1","100","","","","","35","","111010009",""
"1101","640","1000001","-250","0","","","2","2.1","111010010",""
"1101","0","1.7","","","","","93","","111010011",""
"1101","1","101","","","","","32","","111010012",""
"1101","0","0.7","","","","","93","","111010013",""
"2001","1000001","1","55","-240","1.3","look_loop","1","0","120010001","0"
"2001","1","1","0","1","0","","31","0","120010002","0"
"2001","0","1","","","","","35","","120010003",""
"2001","1","1","","","","","32","","120010004",""
"2001","2","2","345.4","1","1","","31","0","120010005","0"
"2001","0","2","","","","","35","","120010006",""
"2001","3","3","345.4","1","0","","31","0","120010007","0"
"2001","0","3","","","","","35","","120010008",""
"2001","1","3","","","","","32","","120010009",""
"2001","31000001","31000001","-345.4","1","1","","31","0","120010010",""
"2001","31000002","31000002","345.4","1","1","","31","0","120010011",""
"2001","100","100","0","1","1","","31","0","120010012",""
"2001","101","101","0","1","0","","31","0","120010013",""
"2001","","0","","","","","91","","120010014",""
"2001","1","100","","","","","35","","120010015",""
"2001","look_in","1000001","0","1","0","","3","look_loop","120010016","0"
"2001","0","1.3","","","","","93","","120010017",""
"2101","998","12","0","1","0","","31","0","121010001",""
"2101","997","14","0","1","0","","31","0","121010002",""
"2101","996","16","0","1","0","","31","0","121010003",""
"2101","0","31000001","","","","","32","","121010004",""
"2101","0","31000002","","","","","32","","121010005",""
"2101","0","0","-1","0","0","","121","1","121010006",""
"2101","1","1","","","","","35","","121010007",""
"2101","1","3","","","","","35","","121010008",""
"2101","pointing","1000001","0","","0","","3","","121010009",""
"2101","0","1","","","","","93","","121010010",""
"2101","100","505","-1.47","2","0","","121","1.47","121010011",""
"2101","run_talk1","1000001","1","","0.2","","3","","121010012",""
"2101","100","1000001","-240","0","","","2","1","121010013",""
"2101","se_travel_treasure_cha_run","se_travel","0","","","","23","","121010014",""
"2101","0","1","","","","","93","","121010015",""
"2201","998","11","0","1","0","","31","0","122010001",""
"2201","997","13","0","1","0","","31","0","122010002",""
"2201","996","15","0","1","0","","31","0","122010003",""
"2201","0","31000001","","","","","32","","122010004",""
"2201","0","31000002","","","","","32","","122010005",""
"2201","1","1","","","","","35","","122010006",""
"2201","1","3","","","","","35","","122010007",""
"2201","pointing","1000001","0","","0","","3","","122010008",""
"2201","0","1","","","","","93","","122010009",""
"2201","100","-505","1.47","2","0","","121","1.47","122010010",""
"2201","run_talk1","1000001","1","","0.2","","3","","122010011",""
"2201","100","1000001","-240","0","","","2","1","122010012",""
"2201","se_travel_treasure_cha_run","se_travel","0","","","","23","","122010013",""
"2201","0","1","","","","","93","","122010014",""
"3000","300000","300000","345.4","1","0","","31","0","130000001",""
"3000","","0","","","","","91","","130000002",""
"3000","1.05","1.05","1.05","7.4","0","","123","1.05","130000003",""
"3000","wait","1000001","0","","0.2","","3","","130000004",""
"3000","1","2","","","","","35","","130000005",""
"3000","0","4.9","","","","","93","","130000006",""
"3000","0.95","0.95","0.95","0.4","0","","123","0.95","130000007",""
"3000","1","300000","","","","","32","","130000008",""
"3000","0","0.1","","","","","93","","130000009",""
"3000","0","2","","","","","32","","130000010",""
"3000","0","0.1","","","","","93","","130000011",""
"3000","1","996","","","","","32","","130000012",""
"3000","joy_from_wait","1000001","0","","0","","3","","130000013",""
"3000","0","1.9","","","","","93","","130000014",""
"3000","glad_from_joy","1000001","0","","0","","3","","130000015",""
"3000","0","1.5","","","","","93","","130000016",""
"3000","run_gatein","1000001","1","","0.2","","3","","130000017",""
"3000","se_travel_treasure_cha_run","se_travel","","","","","23","","130000018",""
"3000","450","1000001","-195","0","","","2","1","130000019",""
"3000","1","0.5","","","","","93","","130000020",""
"3000","1","1000001","1","0","0.4","","6","1","130000021","0"
"3000","0","0.4","","","","","93","","130000022",""
"3000","","1","","","","","113","","130000023",""
"3001","300100","300100","345.4","1","0","","31","0","130010001",""
"3001","990001","990001","345.4","1","1","","31","0","130010002",""
"3001","","0","","","","","91","","130010003",""
"3001","1.05","1.05","1.05","7.4","0","","123","1.05","130010004",""
"3001","wait","1000001","0","","0.2","","3","","130010005",""
"3001","1","2","","","","","35","","130010006",""
"3001","0","5.4","","","","","93","","130010007",""
"3001","0.95","0.95","0.95","0.4","0","","123","0.95","130010008",""
"3001","glad","1000001","0","","0.2","","3","","130010009",""
"3001","1","300100","","","","","32","","130010010",""
"3001","1","996","","","","","32","","130010011",""
"3001","0","0.1","","","","","93","","130010012",""
"3001","0","2","","","","","32","","130010013",""
"3001","0","3","","","","","32","","130010014",""
"3001","0","1.5","","","","","93","","130010015",""
"3001","joy","1000001","0","","0.2","","3","","130010016",""
"3001","0","1.7","","","","","93","","130010017",""
"3001","run_gatein","1000001","1","","0","","3","","130010018",""
"3001","450","1000001","-195","0","","","2","1","130010019",""
"3001","1","0.5","","","","","93","","130010020",""
"3001","1","1000001","1","0","0.4","","6","1","130010021","0"
"3001","0","0.4","","","","","93","","130010022",""
"3001","","1","","","","","113","","130010023",""
"3002","300100","300100","345.4","1","0","","31","0","130020001",""
"3002","990002","990002","345.4","1","1","","31","0","130020002",""
"3002","","0","","","","","91","","130020003",""
"3002","1.05","1.05","1.05","7.4","0","","123","1.05","130020004",""
"3002","wait","1000001","0","","0.2","","3","","130020005",""
"3002","1","2","","","","","35","","130020006",""
"3002","0","5.4","","","","","93","","130020007",""
"3002","0.95","0.95","0.95","0.4","0","","123","0.95","130020008",""
"3002","glad","1000001","0","","0.2","","3","","130020009",""
"3002","1","300100","","","","","32","","130020010",""
"3002","1","996","","","","","32","","130020011",""
"3002","0","0.1","","","","","93","","130020012",""
"3002","0","2","","","","","32","","130020013",""
"3002","0","3","","","","","32","","130020014",""
"3002","0","1.5","","","","","93","","130020015",""
"3002","joy","1000001","0","","0.2","","3","","130020016",""
"3002","0","1.7","","","","","93","","130020017",""
"3002","run_gatein","1000001","1","","0","","3","","130020018",""
"3002","450","1000001","-195","0","","","2","1","130020019",""
"3002","1","0.5","","","","","93","","130020020",""
"3002","1","1000001","1","0","0.4","","6","1","130020021","0"
"3002","0","0.4","","","","","93","","130020022",""
"3002","","1","","","","","113","","130020023",""
"3011","6","6","345.4","1","0","","31","0","130110001",""
"3011","8","8","345.4","1","0","","31","0","130110002",""
"3011","301100","301100","345.4","1","0","","31","0","130110003",""
"3011","","0","","","","","91","","130110004",""
"3011","1.05","1.05","1.05","7.4","0","","123","1.05","130110005",""
"3011","wait","1000001","0","","0.2","","3","","130110006",""
"3011","1","2","","","","","35","","130110007",""
"3011","0","4.9","","","","","93","","130110008",""
"3011","0.95","0.95","0.95","0.3","0","","123","0.95","130110009",""
"3011","se_travel_treasure_ghost_success","se_travel","0","","","","23","","130110010",""
"3011","1","8","","","","","32","","130110011",""
"3011","0","8","","","","","35","","130110012",""
"3011","1","6","","","","","32","","130110013",""
"3011","0","0.1","","","","","93","","130110014",""
"3011","0","2","","","","","32","","130110015",""
"3011","0","3","","","","","32","","130110016",""
"3011","dotEyes","1000001","0","","","","3","","130110017",""
"3011","0","0.87","","","","","93","","130110018",""
"3011","glad","1000001","0","","0.2","","3","","130110019",""
"3011","1","301100","","","","","32","","130110020",""
"3011","1","8","","","","","35","","130110021",""
"3011","0","0.6","","","","","93","","130110022",""
"3011","1","996","","","","","32","","130110023",""
"3011","0","0.5","","","","","93","","130110024",""
"3011","joy","1000001","0","","","","3","","130110025",""
"3011","0","1.67","","","","","93","","130110026",""
"3011","run_gatein","1000001","1","","0","","3","","130110027",""
"3011","450","1000001","-195","0","","","2","1","130110028",""
"3011","1","0.5","","","","","93","","130110029",""
"3011","1","1000001","1","0","0.4","","6","1","130110030","0"
"3011","0","0.4","","","","","93","","130110031",""
"3011","","1","","","","","113","","130110032",""
"3012","idle","1000001","1","","0.2","","3","","130120001",""
"3012","13","301200","0","1","0","","31","0","130120002",""
"3012","14","101","0","1","0","","31","0","130120003",""
"3012","16","301204","260","1","0","","31","-150","130120004",""
"3012","17","301205","0","1","0","","31","0","130120005",""
"3012","18","6","345.4","1","0","","31","0","130120006",""
"3012","20","301201","345.4","1","0","","31","0","130120007",""
"3012","21","301202","345.4","1","0","","31","0","130120008",""
"3012","3","1","55","-234","1","round_monster_walk","5","9340","130120009","0"
"3012","","0","","","","","91","","130120010",""
"3012","1","3","1","0","0","","6","1","130120011","0"
"3012","345","3","-234","0","0","","2","0","130120012","0"
"3012","1.05","1.05","1.05","7.4","0","","123","1.05","130120013","0"
"3012","wait","1000001","0","","0.2","","3","","130120014",""
"3012","1","2","","","","","35","","130120015",""
"3012","15","301203","0","1","0","","31","0","130120016",""
"3012","1000002","2","57","-250","0.89","<weapon>_run","1","9340","130120017","0"
"3012","0","4.3","","","","","93","","130120018",""
"3012","0.95","0.95","0.95","0.4","0","","123","0.95","130120019",""
"3012","1","21","","","","","32","","130120020",""
"3012","0","21","","","","","35","","130120021",""
"3012","se_travel_treasure_success_monster_helper_1","se_travel","","","","","23","","130120022",""
"3012","1","18","","","","","32","","130120023",""
"3012","0","0.1","","","","","93","","130120024",""
"3012","0","2","","","","","32","","130120025",""
"3012","1","3","1","1","0.3","","6","1","130120026","0"
"3012","1","13","","","","","32","","130120027",""
"3012","round_monster_appear","3","0","","","","3","","130120028",""
"3012","back","1000001","0","","","","3","","130120029",""
"3012","0","0.67","","","","","93","","130120030",""
"3012","round_monster_walk","3","0","","0.2","","3","","130120031",""
"3012","220","3","-234","0","","","2","1.4","130120032",""
"3012","1","20","","","","","32","","130120033",""
"3012","0","0.1","","","","","93","","130120034",""
"3012","0","18","","","","","32","","130120035",""
"3012","0","0.5","","","","","93","","130120036",""
"3012","1","1000002","","","","","4","","130120037",""
"3012","1445","1000002","-240","0","","","2","0","130120038",""
"3012","0","0.5","","","","","93","","130120039",""
"3012","round_monster_attack","3","0","","0.3","","3","","130120040",""
"3012","0","0.5","","","","","93","","130120041",""
"3012","1","17","","","","","32","","130120042",""
"3012","back_loop","1000001","0","","0.1","","3","","130120043",""
"3012","0","0.5","","","","","93","","130120044",""
"3012","950","1000002","-240","0","","","2","0","130120045",""
"3012","650","1000002","-240","0","","","2","0.16","130120046",""
"3012","<weapon>_run","1000002","0","","0.2","","3","","130120047",""
"3012","0","0.16","","","","","93","","130120048",""
"3012","<weapon>_attack_skipQuest","1000002","0","","0.2","","3","","130120049",""
"3012","0","0.1","","","","","93","","130120050",""
"3012","280","3","-234","0","","","2","0","130120051",""
"3012","1","3","","","","","4","","130120052",""
"3012","round_monster_die","3","0","","0.2","","3","","130120053",""
"3012","1","16","","","","","32","","130120054",""
"3012","0","0.5","","","","","93","","130120055",""
"3012","20","1000001","-240","0","","","2","0","130120056",""
"3012","back_origin","1000001","0","","0","","3","","130120057",""
"3012","surprise","1000001","0","","0.2","","3","","130120058",""
"3012","<weapon>_idle","1000002","1","","0.2","","3","","130120059",""
"3012","0","0.66","","","","","93","","130120060",""
"3012","1","15","","","","","32","","130120061",""
"3012","1","996","","","","","32","","130120062",""
"3012","1","3","1","0","0.6","","6","1","130120063",""
"3012","joy_short","1000001","0","","0.2","","3","","130120064",""
"3012","1","18","","","","","32","","130120065",""
"3012","0","0.02","","","","","93","","130120066",""
"3012","0","20","","","","","32","","130120067",""
"3012","0","21","","","","","32","","130120068",""
"3012","0","1.5","","","","","93","","130120069",""
"3012","smile","1000001","0","","0.2","","3","","130120070",""
"3012","<weapon>_run","1000002","1","","0","","3","","130120071",""
"3012","0","1000002","","","","","4","","130120072",""
"3012","1500","1000002","-250","0","","","2","2","130120073",""
"3012","0","1","","","","","93","","130120074",""
"3012","1","1000002","1","0","0.2","","6","1","130120075",""
"3012","run_gatein","1000001","1","","0.2","","3","","130120076",""
"3012","360","1000001","-200","0","","","2","1","130120077",""
"3012","0","0.5","","","","","93","","130120078",""
"3012","1","1000001","1","0","0.4","","6","1","130120079",""
"3012","0","0.4","","","","","93","","130120080",""
"3012","0","1","","","","","113","","130120081",""
"3013","301300","301300","345.4","1","0","","31","0","130130001",""
"3013","","0","","","","","91","","130130002",""
"3013","wait_gradeUp","1000001","0","","0.2","","3","","130130003",""
"3013","1","301300","","","","","32","","130130004",""
"3013","0","0.1","","","","","93","","130130005",""
"3013","0","2","","","","","32","","130130006",""
"3013","0","0.8","","","","","93","","130130007",""
"3013","1.05","1.05","1.05","0","0","","123","1.05","130130008",""
"3013","5","5","0.5","","","","122","","130130009",""
"3013","0","1.1","","","","","93","","130130010",""
"3013","1.05","1.05","1.05","0","0","","123","1.05","130130011",""
"3013","10","10","0.5","","","","122","","130130012",""
"3013","0","0.8","","","","","93","","130130013",""
"3013","glad","1000001","0","","0.2","","3","","130130014",""
"3013","0","0.1","","","","","93","","130130015",""
"3013","0.907","0.907","0.907","2","2","","123","0.907","130130016",""
"3013","0","0.3","","","","","93","","130130017",""
"3013","1","996","","","","","32","","130130018",""
"3013","0","0.5","","","","","93","","130130019",""
"3013","joy","1000001","0","","0.2","","3","","130130020",""
"3013","0","1.7","","","","","93","","130130021",""
"3013","run_gatein","1000001","1","","0","","3","","130130022",""
"3013","450","1000001","-195","0","","","2","1","130130023",""
"3013","1","0.5","","","","","93","","130130024",""
"3013","1","1000001","1","0","0.4","","6","1","130130025","0"
"3013","0","0.4","","","","","93","","130130026",""
"3013","","1","","","","","113","","130130027",""
"3014","301400","301400","345.4","1","0","","31","0","130140001",""
"3014","","0","","","","","91","","130140002",""
"3014","1.05","1.05","1.05","7.4","0","","123","1.05","130140003",""
"3014","wait","1000001","0","","0.2","","3","","130140004",""
"3014","1","301400","","","","","32","","130140005",""
"3014","0","0.1","","","","","93","","130140006",""
"3014","0","2","","","","","32","","130140007",""
"3014","0","3.4","","","","","93","","130140008",""
"3014","0.95","0.95","0.95","3.2","5","","123","0.95","130140009",""
"3014","0","1.6","","","","","93","","130140010",""
"3014","relief","1000001","0","","0.2","","3","","130140011",""
"3014","1","996","","","","","32","","130140012",""
"3014","0","1.7","","","","","93","","130140013",""
"3014","run_gatein","1000001","1","","0","","3","","130140014",""
"3014","450","1000001","-195","0","","","2","1","130140015",""
"3014","1","0.5","","","","","93","","130140016",""
"3014","1","1000001","1","0","0.4","","6","1","130140017","0"
"3014","0","0.4","","","","","93","","130140018",""
"3014","","1","","","","","113","","130140019",""
"3015","301501","301501","345.4","1","0","","31","0","130150001",""
"3015","301500","301500","345.4","1","1","","31","0","130150002",""
"3015","","0","","","","","91","","130150003",""
"3015","1.05","1.05","1.05","7.4","0","","123","1.05","130150004",""
"3015","wait_wakuwaku","1000001","0","","0.2","","3","","130150005",""
"3015","1","2","","","","","35","","130150006",""
"3015","0","5.4","","","","","93","","130150007",""
"3015","0.95","0.95","0.95","0.4","0","","123","0.95","130150008",""
"3015","glad","1000001","0","","0.2","","3","","130150009",""
"3015","1","301501","","","","","32","","130150010",""
"3015","1","996","","","","","32","","130150011",""
"3015","0","0.1","","","","","93","","130150012",""
"3015","0","2","","","","","32","","130150013",""
