f7672aaa114112b2688936d06e74248cd4fa1fb9a4e91c2e5bf3f2d8e1ecf8e3,a53f2d16b4b1860e97dae6fd892bb4c5f673d46e5b02f7196e037b5083924aab,51d8d5a26c91503ca49649aabe640cd182f25d9c81506ecebda15c57bab1cad0,4b6375cc109ca771160bbca62a60ec348980dc7ece1f4672b8774951f845a1bd,d83a0d5e5c4cef7fff883da1beed88c54f0a57cfdae495f76ba7e03eb98e69e0,6e511c0682bde98ab40f9bb1eb2c5ba4ee708a9b42283b2c9e1dede9db5ab37d,85e2eec4860b26914d1b5f536062924c362de1c745f187c2e087bd27a4a44192,e6f250759873792889ba563421cc72d25640e3924953aedcda845881f83f3f26,de92d75bba41f50989f8a7840822205c4c86e5d98ffd2c8a34700857b93599c4
"唯一無二の","1","1","0","1","1","2","1","3"
"完全無欠の","1","1","0","1","2","2","1","3"
"ランドソル最速の","1","1","1","1","3","2","1","3"
"明鏡止水の","1","1","0","1","4","2","1","3"
"史上最速の","1","1","0","1","5","2","1","3"
"最強最速の","1","1","0","1","6","2","1","3"
"アルティメット","1","1","2","1","7","2","1","3"
"百点満点","1","1","0","1","8","2","1","3"
"最優秀","1","1","0","1","9","2","1","3"
"一騎当千の","1","1","0","1","10","2","1","3"
"唯一無二の","1","1","0","1","11","2","1","3"
"天下無双の","1","1","0","1","12","2","1","3"
"泰然自若の","1","1","0","0","13","2","1","3"
"ハイパー","1","1","0","0","14","2","1","3"
"光速の","1","1","0","0","15","2","1","3"
"稀代の","1","1","0","0","16","2","1","3"
"極限の","1","1","0","0","17","2","1","3"
"至高の","1","1","0","0","18","2","1","3"
"煌めく","1","1","0","0","19","2","1","3"
"百戦錬磨の","1","1","0","0","20","2","1","3"
"疾風迅雷の","1","1","0","0","21","2","1","3"
"電光石火の","1","1","0","0","22","2","1","3"
"変幻自在の","0","1","0","1","23","2","1","3"
"空前絶後の","0","1","0","1","24","2","1","3"
"レペゼン","0","1","0","1","25","2","1","3"
"音速の","0","1","0","1","26","2","1","3"
"常識外れの","0","1","0","1","27","2","1","3"
"獅子奮迅の","0","1","0","1","28","2","1","3"
"勇猛果敢なる","0","1","2","1","29","2","1","3"
"威風堂々たる","0","1","2","1","30","2","1","3"
"急がば回れ","0","1","0","1","31","2","1","3"
"心頭滅却","0","1","0","1","32","2","1","3"
"夢見る","0","1","0","0","33","2","1","3"
"ナイス","0","1","0","0","34","2","1","3"
"そこそこの","0","1","0","0","35","2","1","3"
"若葉マークの","0","1","2","0","36","2","1","3"
"未来ある","0","1","0","0","37","2","1","3"
"新米","0","1","0","0","38","2","1","3"
"駆け出しの","0","1","0","0","39","2","1","3"
"ぼちぼちの","0","1","0","0","40","2","1","3"
"新進気鋭の","0","1","0","0","41","2","1","3"
"不撓不屈の","0","1","0","0","42","2","1","3"
"七転八起の","0","1","0","0","43","2","1","3"
"がんばれ","0","1","0","0","44","2","1","3"
"選ばれし","1","2","0","1","45","2","1","3"
"アルティメット","1","2","2","1","46","2","1","3"
"オーシャンブルー","1","2","1","1","47","2","1","3"
