a662ef97af74886384f4d2fcb7bd5001e403d3be0a7cffa2c5c5c575973f946b,01d28c3d8166baad9485736626bb700c9ddae6d795e18177f3c67ebf4d454bf3,bee7cfa9affc01dcf0b99c73dee240075874195a0c9e389e30c13a9191c27e8f,d39c24e4444074198039a7294021de747e52249f937c16554e6b1fc2c72662b9,cfdf8fdbb55fe0b4825e1a5278245c7baf177043271d12ed98237cd90dafca3a,729f099af5126cf3987aa87b3721953fba0ee05d6bce7b5537cbd9cbf3665236,0bca4314c478ffc5ffe496585e71552090fa08b87f36e847be934f06110697c3,5a3701b6484297b1d8712646bae7992233c2a45cbb5d1df70bfc5b16677f51d2,81243a53b9f98051daf1e95ae813634364c005eb4d1e4d3201946524f2a6a7b4,6442b12b740bebebaa9356dc0bbc59bc9d77e027336b9dd1ff9ea94169c9db03,e90ed5cea8b4caf20ab54d0dd7afcff1bfd564d3818e7a2cf8ce232609f7f359
"idle_normal","382","110","1","1.55","-280","1","5152061","110311","1","61001"
"idle_normal","145","106","1","1.55","-210","1","5152061","131911","0","61002"
"joy_idle_normal","-50","107","1","1.55","-225","1","5152061","102311","0","61003"
"wish_idle","-245","108","1","1.55","-240","1","5152061","102111","0","61004"
"idle_normal","-440","109","1","1.55","-255","1","5152061","107711","0","61005"
"doya_idle","40","103","1","1.45","-105","1","5152061","122811","0","61006"
"idle_normal","-160","104","1","1.45","-120","1","5152061","122911","0","61007"
"idle_normal","-355","105","1","1.45","-135","1","5152061","122711","0","61008"
"","","","110311","","","13","5152061","210","","61009"
"","","","131911","","","13","5152061","206","","61010"
"","","","107711","","","13","5152061","209","","61011"
"","","","122711","","","13","5152061","205","","61012"
"","","","122811","","","13","5152061","203","","61013"
"","","","122911","","","13","5152061","204","","61014"
"","","","102111","","","13","5152061","208","","61015"
"","","","102311","","","13","5152061","207","","61016"
"empty","-110","210","2","0.75","160","5","5152061","2","0","61017"
"empty","352","210","3","1","-45","5","5152061","3","0","61018"
"","0","0","1","1","1","31","5152061","1","","61019"
"","0","0","2","0","1","31","5152061","2","","61020"
"","0","0","3","1","1","31","5152061","3","","61021"
"","0","0","11","0","1","31","5152061","11","","61022"
"","","","0","","","91","5152061","0","","61023"
"","","","3","","","37","5152061","telop_1","","61024"
"","","0","0","","","102","5152061","0","","61025"
"","","","1","","","93","5152061","0","","61026"
"","callout_loop","0","110311","0.2","1","3","5152061","callout_in","0","61027"
"","","","0.1","","","93","5152061","0","","61028"
"","0","0","vo_rag","","","21","5152061","vo_rag_6001","","61029"
"","","0","3","0","","3","5152061","1001_in","","61030"
"","","","1.9","","","93","5152061","1","","61031"
"","","0","3","0","","3","5152061","1001_mid","","61032"
"","","","","","","92","5152061","","","61033"
"","","0","3","0","","3","5152061","1001_out","","61034"
"","","","0.2","","","93","5152061","0","","61035"
"","","1","110311","0.3","","3","5152061","doya_idle_joy1R","","61036"
"","gutsB_talk_joy","0","102311","0.2","1","3","5152061","gutsB_in_joy","0","61037"
"","","1","102111","0.2","","3","5152061","wish_talk","","61038"
"","idle_normal_joy","0","131911","0.2","1","3","5152061","hello_2","0","61039"
"","","1","107711","0.2","","3","5152061","sad_talk_joy","","61040"
"","handsup_loop","0","122811","0.2","1","3","5152061","handsup_in","0","61041"
"","","1","122911","0.2","","3","5152061","leanforward_joy","","61042"
"","","1","122711","0.2","","3","5152061","talk_normal","","61043"
"","0","0","vo_rag","","","21","5152061","vo_rag_6002","","61044"
"","0","142","3","","0","2","5152061","-110","","61045"
"","","0","3","0","","3","5152061","1002_in","","61046"
"","","","1.9","","","93","5152061","1","","61047"
"","","0","3","0","","3","5152061","1002_mid","","61048"
"","","","","","","92","5152061","","","61049"
"","","0","3","0","","3","5152061","1002_out","","61050"
"","","1","102311","0.2","","3","5152061","gutsB_idle","","61051"
"","","1","102111","0.2","","3","5152061","wish_idle","","61052"
"","","1","131911","0.2","","3","5152061","idle_normal","","61053"
"","","1","107711","0.2","","3","5152061","sad_idle_normal","","61054"
"","","1","122811","0.2","","3","5152061","cool_idle","","61055"
"","","1","122911","0.2","","3","5152061","idle_normal_joy1R","","61056"
"","","1","122711","0.2","","3","5152061","wish_idle","","61057"
"","gutsB_talk","0","110311","0.2","1","3","5152061","gutsB_in","0","61058"
"","0","0","vo_rag","","","21","5152061","vo_rag_6003","","61059"
"0","1","10","110311","0","1","11","5152061","おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","15","61060"
"","0","0","0","","","91","5152061","","","61061"
"","","","bgm_MC175B","","","25","5152061","bgm_MC175B","","61062"
"","","","2","","","32","5152061","1","","61063"
"","kids_gungun_loop","0","110311","0.2","1","3","5152061","kids_gungun_in","0","61064"
"","0","0","vo_rag","","","21","5152061","vo_rag_6004","","61065"
"1.7","1","10","110311","0","0","11","5152061","まずは空に向かって\n腕をグングン伸ばしてー！","0","61066"
"","","","0.1","","","93","5152061","0","","61067"
"","kids_gungun_loop","0","131911","0.2","1","3","5152061","kids_gungun_in","0","61068"
"","kids_gungun_loop","0","102311","0.2","1","3","5152061","kids_gungun_in","0","61069"
"","kids_gungun_loop","0","102111","0.2","1","3","5152061","kids_gungun_in","0","61070"
"","kids_gungun_loop","0","107711","0.2","1","3","5152061","kids_gungun_in","0","61071"
"","kids_gungun_loop","0","122811","0.2","1","3","5152061","kids_gungun_in","0","61072"
"","kids_gungun_loop","0","122911","0.2","1","3","5152061","kids_gungun_in","0","61073"
"","kids_gungun_loop","0","122711","0.2","1","3","5152061","kids_gungun_in","0","61074"
"","","","5.2","","","93","5152061","0","","61075"
"","0","0","61066","","","91","5152061","","","61076"
"","0","0","vo_rag","","","21","5152061","vo_rag_6005","","61077"
"2.3","1","10","102311","13","0","11","5152061","グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","60","61078"
"","","","7.8","","","93","5152061","0","","61079"
"","0","0","61078","","","91","5152061","","","61080"
"","","1","110311","0.3","","3","5152061","kids_furifuri","","61081"
"","0","0","vo_rag","","","21","5152061","vo_rag_6006","","61082"
"1.7","1","10","110311","21","0","11","5152061","今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","17","61083"
"","","","0.1","","","93","5152061","0","","61084"
"","","1","131911","0.3","","3","5152061","kids_furifuri","","61085"
"","","1","102311","0.3","","3","5152061","kids_furifuriB","","61086"
"","","1","102111","0.3","","3","5152061","kids_furifuri","","61087"
"","","1","107711","0.3","","3","5152061","kids_furifuriB","","61088"
"","","1","122811","0.3","","3","5152061","kids_furifuri","","61089"
"","","1","122911","0.3","","3","5152061","kids_furifuriB","","61090"
"","","1","122711","0.3","","3","5152061","kids_furifuri","","61091"
"","","","7.3","","","93","5152061","0","","61092"
"","0","0","61083","","","91","5152061","","","61093"
"","0","0","vo_rag","","","21","5152061","vo_rag_6007","","61094"
"0.5","1","10","102111","0","0","11","5152061","フリフリ～、楽しくなってきましたぁ♪","60","61095"
"","","","5.2","","","93","5152061","0","","61096"
"","0","0","61095","","","91","5152061","","","61097"
"","","1","131911","0.2","","3","5152061","joy_idle","","61098"
"","","1","102311","0.2","","3","5152061","joy_idle","","61099"
"","","1","102111","0.2","","3","5152061","joy_idle","","61100"
"","","1","107711","0.2","","3","5152061","joy_idle","","61101"
"","","1","122811","0.2","","3","5152061","joy_idle","","61102"
"","","1","122911","0.2","","3","5152061","joy_idle","","61103"
"","","1","122711","0.2","","3","5152061","joy_idle","","61104"
"","kids_jump_sideHair_out","0","110311","0.2","0","3","5152061","kids_jump_in_saren","0","61105"
"","0","0","vo_rag","","","21","5152061","vo_rag_6008","","61106"
"1","1","10","110311","0","0","11","5152061","最後はみんなで大きく…ジャーンプ！","0","61107"
"","","","0.1","","","93","5152061","0","","61108"
"","kids_jump_mid","0","131911","0.2","1","3","5152061","kids_jump_in","0","61109"
"","kids_jump_mid","0","102311","0.2","1","3","5152061","kids_jump_in","0","61110"
"","kids_jump_mid","0","102111","0.2","1","3","5152061","kids_jump_in","0","61111"
"","kids_jump_mid","0","107711","0.2","1","3","5152061","kids_jump_in","0","61112"
"","kids_jump_mid","0","122811","0.2","1","3","5152061","kids_jump_in","0","61113"
"","kids_jump_mid","0","122911","0.2","1","3","5152061","kids_jump_in","0","61114"
"","kids_jump_mid","0","122711","0.2","1","3","5152061","kids_jump_in","0","61115"
"","","","4.1","","","93","5152061","0","","61116"
"","0","0","61107","","","91","5152061","","","61117"
"","","","2","","","37","5152061","finish","","61118"
"","","0","se_10058300","","","23","5152061","se_10058300_kids_finish","","61119"
"","","0","131911","0","","3","5152061","kids_jump_out","","61120"
"","","0","102311","0","","3","5152061","kids_jump_out","","61121"
"","","0","102111","0","","3","5152061","kids_jump_out","","61122"
"","","0","107711","0","","3","5152061","kids_jump_sideHair_out","","61123"
"","","0","122811","0","","3","5152061","kids_jump_out","","61124"
"","","0","122911","0","","3","5152061","kids_jump_out","","61125"
"","","0","122711","0","","3","5152061","kids_jump_sideHair_out","","61126"
"","0","0","vo_rag","","","21","5152061","vo_rag_6009","","61127"
"","","0","2","0","","3","5152061","1009_in","","61128"
