6c8cc853b606241afce12939634be8e1f11f05ab2cd94924d8c460705dd5aa47,960e612aa770814ff66b79abc07330c2777bbafc5f21f315ed5346c22b9b98bd,a4031014148cb79994037f7e78a3fad574dde16d1d91bed07084071261e85f95,5cc28281341e54e7b235691f76b430aebf22b23b8b7d6a59dc8745f7ce01e35a,97b823b43c527b038824cb4a7ee3c4b05da9d39e0b9eef7f2c8acd10bae7e803,b2982c6d5e86c945f7c94aa967fa1ca3b8ac8ab1c11f902678ee4823d39830b3,781e78773f82d1602ff52ce0bdb1eaa3fbb347b66bfe61202b073885fa4eca45,97849d4906e14008c05525b6ca63718dc01b97ac0e57870f59c0775e4722c779,b68362d3750a9cfeefa7eb22701bbdc7d9493492774d5ace424bf9a759edb87a,09d8148648201a2e71c9e80ef9be93c70452d25ac1ba83ceba0f9fef8c226850,b305f06631e2fe823e874cd895bf96b4b5949262d898449a6032244bd2cab983
"70","dsb_idle_normal","1","10","1010801","5","-165","-345","0","2","1010801001"
"70","dsb_idle_worry","2","4","1010801","5","165","-345","1","2","1010801002"
"70","dsb_lago","99","10","1010801","5","-215","-350","0","2","1010801003"
"0","","1","1","1010801","31","0","1","","1","1010801004"
"0","","3","3","1010801","31","0","1","","1","1010801005"
"0","","4","4","1010801","31","0","1","","1","1010801006"
"0","","10","14","1010801","31","0","1","","1","1010801007"
"0","","20","24","1010801","31","0","1","","1","1010801008"
"155","","30","34","1010801","31","-168","1","","1","1010801009"
"-155","","31","34","1010801","31","-168","1","","1","1010801010"
"-222","","32","42","1010801","31","-175","1","","1","1010801011"
"0","","40","40","1010801","31","0","1","","0","1010801012"
"","","170","1","1010801","13","","","","","1010801013"
"","","170","2","1010801","13","","","","","1010801014"
"","","","0","1010801","91","","","","","1010801015"
"1","","se_10044200_cmn_amb","se_10044200","1010801","23","","","","","1010801016"
"0","","se_10044200_cmn_steam","se_10044200","1010801","23","","","","","1010801017"
"","","0","6","1010801","93","","","","","1010801018"
"1","","se_10044200_hotspring_04","se_10044200","1010801","23","","","","","1010801019"
"","","0","1.5","1010801","93","","","","","1010801020"
"1","","dsb_talk_anger_Ex8","2","1010801","3","","","","0.5","1010801021"
"0","","vo_dsb_1001","vo_dsb_1010801","1010801","21","0","","","","1010801022"
"10","0.2","あ、あづいです～っ！！\nここのお湯の温度はおかしいですよ……\nどうなってるですか、ボス！？","2","1010801","11","1","1","0","0","1010801023"
"","","","0","1010801","91","","","","","1010801024"
"1","","dsb_idle_worry","2","1010801","3","","","","0.5","1010801025"
"1","","dsb_talk_worry_Ex3","1","1010801","3","","","","0.5","1010801026"
"0","","vo_dsb_1002","vo_dsb_1010801","1010801","21","0","","","","1010801027"
"10","0.2","今はボスじゃなくて\n若女将って呼んでほしいな～？","1","1010801","11","1","1","0","0","1010801028"
"","","","0","1010801","91","","","","","1010801029"
"1","","dsb_idle_normal","1","1010801","3","","","","0.5","1010801030"
"0","","dsb_talk_doya_sing","2","1010801","3","dsb_talk_doya_sing_loop","1","0.5","0.5","1010801031"
"0","","vo_dsb_1003","vo_dsb_1010801","1010801","21","0","","","","1010801032"
"10","0.2","けっ。\nな～にが若女将ですか……\n根性のねじ曲がったババ女将のくせに。","2","1010801","11","1","1","0","0","1010801033"
"","","","0","1010801","91","","","","","1010801034"
"1","","dsb_idle_doya_blink","2","1010801","3","","","","0.5","1010801035"
"1","","dsb_talk_sad2_talkjoy2","1","1010801","3","","","","0.5","1010801036"
"0","","vo_dsb_1004","vo_dsb_1010801","1010801","21","0","","","","1010801037"
"10","0.2","イノリちゃん……\n今なんか言った？","1","1010801","11","1","1","0","0","1010801038"
"","","","0","1010801","91","","","","","1010801039"
"1","","dsb_idle_normal","1","1010801","3","","","","0.5","1010801040"
"0","","dsb_surprise_inori","2","1010801","3","dsb_talk_surprise1_2","1","0.5","0.2","1010801041"
"0","","vo_dsb_1005","vo_dsb_1010801","1010801","21","0","","","","1010801042"
"10","0.2","いいい、いや何も言ってないですよ～？\nそんなことより温泉です！\nこの熱さはただごとじゃないです……\n絶対ヤバいものが入ってるですよ！","2","1010801","11","1","1","0","0","1010801043"
"","","","0","1010801","91","","","","","1010801044"
"1","","dsb_idle_surprise1_normal","2","1010801","3","","","","0.5","1010801045"
"1","","dsb_talk_bitter","1","1010801","3","","","","0.5","1010801046"
"0","","vo_dsb_1006","vo_dsb_1010801","1010801","21","0","","","","1010801047"
"10","0.2","人聞きが悪いな～\n危険なものなんて入ってないよ～\n……むしろイノリちゃんだって\nよく知ってるものだし？","1","1010801","11","1","1","0","0","1010801048"
"","","","0","1010801","91","","","","","1010801049"
"1","","dsb_idle_normal","1","1010801","3","","","","0.5","1010801050"
"1","","dsb_sniff","2","1010801","3","","","","0.5","1010801051"
"0","","vo_dsb_1007","vo_dsb_1010801","1010801","21","0","","","","1010801052"
"10","0.2","言われてみれば……クンクン。\nこのお湯の匂い\nどっかで嗅いだような気がするです。","2","1010801","11","1","1","0","0","1010801053"
"","","","0","1010801","91","","","","","1010801054"
"1","","dsb_idle_normal","2","1010801","3","","","","0.5","1010801055"
"1","","dsb_talk_joy3","1","1010801","3","","","","0.5","1010801056"
"0","","vo_dsb_1008","vo_dsb_1010801","1010801","21","0","","","","1010801057"
"10","0.2","そうでしょ～？\n正解は～……\nドラゴンもどきちゃんからもらった\n食べると火が吹ける木の実でした～☆","1","1010801","11","1","1","0","0","1010801058"
"","","","0","1010801","91","","","","","1010801059"
"1","","dsb_idle_normal","1","1010801","3","","","","0.5","1010801060"
"0","","dsb_talk_guts2","2","1010801","3","dsb_talk_guts2_loop","1","0.5","0.5","1010801061"
"0","","vo_dsb_1009","vo_dsb_1010801","1010801","21","0","","","","1010801062"
"10","0.2","ああっ！？\nあの火の実ですか！\nだったらこの熱さも納得ですよ！\nあいつ、元気だったですか？","2","1010801","11","1","1","0","0","1010801063"
"","","","0","1010801","91","","","","","1010801064"
"1","","dsb_idle_guts2","2","1010801","3","","","","0.5","1010801065"
"1","","dsb_talk_normal","1","1010801","3","","","","0.5","1010801066"
