7a1d058dd4e29f867daf3c86483823d32af03e7dd38cdce982d7e8decf9d6e43,2ee9dbef680d7a3f755a3a74731b35dd1cc8471d59e94af7e74626e883b22834,1c6b3feb773c4104771b98ff28d7ca6a92431f706b46360d517acdfa680dc462,24b66fc52340e434ab943439d0050b8a2408c39ca02c86c44cf065d2e4fb2cb6,e507ad0260c32eb2ed233bba901651bc792d7fd50c9f8531089ce482cfda887f,9656a89883bb140cada000f650c77ce5e7dc51168319251348c31c3f588061c2,7d681cbdfdda6ad6cc9891181b1bf0bfe77f6238788dd763f0556bbbb8a6c6ef,b2f56f80aae80c778b50e04cde887505ab79eabb626a1c2623fda566101c9446,7c8b06f5e71d3a46d522108005ebfc10e76e91fe07b2d656b21561f221c37919,d0ba5786911bb4bd4c23f0ebb5865222f76e38e9cfe3f496681b2548d824c3ce
"10001","53003","2","8","15","22","3","2","-1",""
"10002","53003","1","5","1","22","3","1","14",""
"10003","52019","0","2","0","23","3","0","0","ワカナの施し"
"10004","53003","2","8","15","22","4","2","-1",""
"10005","53003","1","5","1","22","4","1","14",""
"10006","52019","0","2","0","23","4","0","0","ワカナの施し"
"10007","53003","2","8","15","22","5","2","-1",""
"10008","53003","1","5","1","22","5","1","14",""
"10009","52019","0","2","0","23","5","0","0","ワカナの施し"
"10010","53003","2","8","15","22","6","2","-1",""
"10011","53003","1","5","1","22","6","1","14",""
"10012","52019","0","2","0","23","6","0","0","ワカナの施し"
"10013","53003","2","8","15","22","7","2","-1",""
"10014","53003","1","5","1","22","7","1","14",""
"10015","52019","0","2","0","23","7","0","0","ワカナの施し"
"10016","53003","2","8","15","22","8","2","-1",""
"10017","53003","1","5","1","22","8","1","14",""
"10018","52019","0","2","0","23","8","0","0","ワカナの施し"
"10019","53003","2","8","15","22","9","2","-1",""
"10020","53003","1","5","1","22","9","1","14",""
"10021","52019","0","2","0","23","9","0","0","ワカナの施し"
"10022","53003","2","8","15","22","10","2","-1",""
"10023","53003","1","5","1","22","10","1","14",""
"10024","52019","0","2","0","23","10","0","0","ワカナの施し"
