22b7ec79f9c7c0cf750dbaf4bd73327cd703e15a07f7745b6855eea803085356,c38424f7c1b73df3b32532cba47ff3c97da220b701e799fa2787b6b3e3e6cdce,f016ee055f561fcb28612f47dbed624e5b86ff072b22040bc09a48e3f6cc3393,510bf24dc9eff09b8becddbf6e7d56f45dbdf09755f3209c67594e7a13e30d72,9f4cc87519bc38bf3b8af225b936c85e589ab857daa342f7c2e2d756a664f325
"1","1","135","300","1"
"2","1","425","-100","1"
"3","2","-100","125","1"
"4","2","375","-415","1"
"5","3","25","-50","1"
"6","3","-25","-300","1"
"7","4","-195","-335","1"
"8","4","105","-415","1"
"9","5","135","-160","1"
"10","6","345","-40","1"
"11","7","-230","90","1"
"12","8","230","-420","1"
"13","9","30","250","1"
"14","10","280","-245","1"
"15","11","-150","-110","1"
