2e3900862ba4fba8c4fbb8cea8b17740caa5d9066a16e1f9964d6fa5cc9e403a,caeb76429f8bde8a37ca4853de8b07f55539bd945e2019ed1f17c6f421b614b7,42e3e08dc7d15c78c6b2f96bf6ab624d0d870fc24f108a1b76bdc7e36054264b,18b3bbb45b0d6621250b2785fbfc30f987506b492fa72f370a0972577bd4d678,2f1f2fe2401db720292c4755badd522d91ea14da1859492530864b4e266a1df6,77709f1c35e525505168bfd08ad441945f634db008bf443b84d7cc313fd0f0ad,ad88753e6e0d89770f8612b617992cc1af4f2fd337cd6dda9f865626615bad95,2d5594b6c9bde8509329e90cf3ca1411a44cb7b99c21bb1abed4d809a71aa5e8,54617141e43146a9db4f2be47af32782b1abcefe0f605c0292f3cd231be00d52,1c0b21b9aa85252dde572dcbeda94e060bd10ee11aa0db69638bf0774d49f92a,28f98ec27e83707aa49d8bd75d003818e1bdc1f3db3dd89bec1414659d52d985,e8848a231117cf09de831466988e1084dcfe4f331515eb7f22b0fe50678ee3b7
"80001_3","1","80000","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","2","80001_1","0","1","1","80001_2","24005","80001"
"80002_3","1","80000","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","2","80002_1","0","1","1","80002_2","24006","80002"
"80003_3","1","80000","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","2","80003_1","0","1","1","80003_2","24007","80003"
"80004_3","1","80000","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）","2","80004_1","0","1","1","80004_2","24008","80004"
"80005_3","1","80000","★3確定 プリコネフェス記念ガチャチケット","2","80005_1","0","1","1","80005_2","24009","80005"
"80006_3","1","80000","★3確定 プリコネフェス2022記念ガチャチケット","2","80006_1","0","1","1","80006_2","24010","80006"
"80007_3","1","80000","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1","2","80007_1","0","1","1","80007_2","24011","80007"
"80008_3","1","80000","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2","2","80008_1","0","1","1","80008_2","24012","80008"
"80009_3","1","80000","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3","2","80009_1","0","1","1","80009_2","24013","80009"
"80010_3","1","80000","★3確定 プリコネフェス2023記念ガチャチケット","2","80010_1","0","1","1","80010_2","24014","80010"
"80011_3","1","80000","★3確定 5周年記念ガチャチケット","2","80011_1","0","1","1","80011_2","24015","80011"
"80012_3","1","80000","★3確定 スタートダッシュガチャチケット","2","80012_1","0","1","1","80012_2","24016","80012"
"80013_3","1","80000","★3確定 プリコネフェス2024記念ガチャチケット","2","80013_1","0","1","1","80013_2","24017","80013"
"80014_3","1","80000","★3確定 プリコネフェス2025記念ガチャチケット","2","80014_1","0","1","1","80014_2","24018","80014"
"80015_3","1","80000","GWガチャチケット(火)2025","2","80015_1","0","1","1","80015_2","24019","80015"
"80016_3","1","80000","GWピックアップガチャチケット(火)2025","2","80016_1","0","1","1","80016_2","24020","80016"
"80017_3","1","80000","GWガチャチケット(闇)2025","2","80017_1","0","1","1","80017_2","24021","80017"
"80018_3","1","80000","GWピックアップガチャチケット(闇)2025","2","80018_1","0","1","1","80018_2","24022","80018"
"80019_3","1","80000","7.5th Anniv. ガチャチケット(水)","2","80019_1","0","1","1","80019_2","24023","80019"
"80020_3","1","80000","7.5th Anniv. ピックアップガチャチケット(水)","2","80020_1","0","1","1","80020_2","24024","80020"
"80021_3","1","80000","7.5th Anniv. ガチャチケット(風)","2","80021_1","0","1","1","80021_2","24025","80021"
"80022_3","1","80000","7.5th Anniv. ピックアップガチャチケット(風)","2","80022_1","0","1","1","80022_2","24026","80022"
"80023_3","1","80000","★3確定 Sダッシュミッションガチャチケット","2","80023_1","0","1","1","80023_2","24027","80023"
"80024_3","0","80001","カムバック10連ガチャチケット","2","80024_1","3","1","10","80024_2","24028","80024"
"80025_3","0","80001","カムバックSP10連ガチャチケット","2","80025_1","3","1","10","80025_2","24029","80025"
"80026_3","0","80001","ゾンビランドサガコラボ記念 10回ガチャチケット","2","80026_1","2","1","10","80026_2","24030","80026"
"80027_3","1","80000","ウマ娘「The Game Awards 2025」受賞記念★3確定ガチャチケット","2","80027_1","0","1","1","80027_2","24031","80027"
"80028_3","1","80000","2026 新春記念ガチャチケット(光)","2","80028_1","0","1","1","80028_2","24032","80028"
"80029_3","1","80000","2026 新春記念ピックアップガチャチケット(光)","2","80029_1","0","1","1","80029_2","24033","80029"
"80030_3","1","80000","★3確定 プリコネフェス2026記念ガチャチケット","2","80030_1","0","1","1","80030_2","24034","80030"
