1ebefde2f34f2e4b7823bb21ab7d2ec4486647d7614aee5ba66558e4baf7e15c,3136c194a08fe49db7f7b0f2006c4e3b7f9fc1eef225f283b385a3ef21378587,9cf12d4c9ed9c44305ed93808cedbba8c93732766d6a83b1c22d39b440d17b71,4091a8cabebc5ff890da8b26caee38ac9806728fae50c172683b4a33d6dbd0c8
"81101","10101","【アタッカー】攻撃力アップLv1","1"
"81102","10101","【アタッカー】攻撃力アップLv2","2"
"81103","10101","【アタッカー】攻撃力アップLv3","3"
"81104","10101","【アタッカー】攻撃力アップLv4","4"
"81105","10101","【アタッカー】攻撃力アップLv5","5"
"81106","10101","【アタッカー】攻撃力アップLv6","6"
"81107","10101","【アタッカー】攻撃力アップLv7","7"
"81108","10101","【アタッカー】攻撃力アップLv8","8"
"81109","10101","【アタッカー】攻撃力アップLv9","9"
"81110","10101","【アタッカー】攻撃力アップLv10","10"
"81201","10102","【アタッカー】クリティカルアップLv1","1"
"81202","10102","【アタッカー】クリティカルアップLv2","2"
"81203","10102","【アタッカー】クリティカルアップLv3","3"
"81204","10102","【アタッカー】クリティカルアップLv4","4"
"81205","10102","【アタッカー】クリティカルアップLv5","5"
"81206","10102","【アタッカー】クリティカルアップLv6","6"
"81207","10102","【アタッカー】クリティカルアップLv7","7"
"81208","10102","【アタッカー】クリティカルアップLv8","8"
"81209","10102","【アタッカー】クリティカルアップLv9","9"
"81210","10102","【アタッカー】クリティカルアップLv10","10"
"81301","10103","【アタッカー】与ダメージアップLv1","1"
"81302","10103","【アタッカー】与ダメージアップLv2","2"
"81303","10103","【アタッカー】与ダメージアップLv3","3"
"81304","10103","【アタッカー】与ダメージアップLv4","4"
"81305","10103","【アタッカー】与ダメージアップLv5","5"
"81306","10103","【アタッカー】与ダメージアップLv6","6"
"81307","10103","【アタッカー】与ダメージアップLv7","7"
"81308","10103","【アタッカー】与ダメージアップLv8","8"
"81309","10103","【アタッカー】与ダメージアップLv9","9"
"81310","10103","【アタッカー】与ダメージアップLv10","10"
"81401","10104","【アタッカー】通常攻撃強化Lv1","1"
"81402","10104","【アタッカー】通常攻撃強化Lv2","2"
"81403","10104","【アタッカー】通常攻撃強化Lv3","3"
"81404","10104","【アタッカー】通常攻撃強化Lv4","4"
"81405","10104","【アタッカー】通常攻撃強化Lv5","5"
"81406","10104","【アタッカー】通常攻撃強化Lv6","6"
"81407","10104","【アタッカー】通常攻撃強化Lv7","7"
"81408","10104","【アタッカー】通常攻撃強化Lv8","8"
