ebe25bdbaf6eaff5b2509e9df0fc41c3cf4f411e45ba7d4c12352ee47feaea4b,1c7067f35a182b78720462cd478a049ab7e4fff00d00348a64a5c2824aa07fc0,ad23eff6f1d61810f5b1c3a3481c64d2dc638d29759a3d79ec8122d5e6517c67,af846ee5cc846202ba873d20bdd480b0eff6d9b116f129596585ba4c21bf0cba,1fcbf8d6b241c893b8e2bab476941e1c8eb79d47053195d9754a54d92cd34512,8191155627dab5fa52e682d0e3de524aa4152e93583af381159c92eff5c602e1,f4c16aed57666827df11cdd7dc593337f8c50fbdb0cf55b80d32a0b849bf6329,7cebe64887bbf40b71ba711bf729229d03f75824b987fdd62a62a70d7708883b
"610201001","0","0","600060001","0","600130001","0","600090001"
"610201002","0","0","600090001","0","600070001","0","600300101"
"610201003","0","0","600380001","600230001","600420001","0","600050001"
"610201004","0","0","600090103","0","600110003","0","600300003"
"610201005","0","0","600120001","0","600390003","0","600300003"
"610201006","0","0","600290103","600340003","600160003","0","600380102"
"610201007","0","0","600370004","0","600440004","0","600060004"
"610201008","0","0","600330002","0","600080004","0","600210104"
"610201009","0","0","600270004","600160004","600420004","0","600380103"
"610201010","0","0","600380009","0","600340010","0","600320010"
"610201011","0","0","600050009","0","600140010","0","600300010"
"610201012","0","0","600330008","600130110","600250010","0","600290210"
"610201013","0","0","600030011","0","600020011","0","600280011"
"610201014","0","0","600210111","0","600280011","0","600010011"
"610201015","0","0","600040010","600210111","600100011","0","600030011"
"610201016","0","0","600060013","0","600130013","0","600090013"
"610201017","0","0","600090013","0","600070013","0","600300113"
"610201018","0","0","600380012","600230013","600420013","0","600050012"
"610201019","0","0","600090114","0","600110014","0","600300014"
"610201020","0","0","600120012","0","600390014","0","600300014"
"610201021","0","0","600290114","600340014","600160014","0","600380113"
"610201022","0","0","600370016","0","600440016","0","600060016"
"610201023","0","0","600330014","0","600080016","0","600210116"
"610201024","0","0","600270016","600160016","600420016","0","600380115"
"610201025","0","0","600380016","0","600340017","0","600320017"
"610201026","0","0","600050016","0","600140017","0","600300017"
"610201027","0","0","600330015","600130117","600250017","0","600290217"
"610201028","0","0","600030019","0","600020019","0","600280019"
"610201029","0","0","600210119","0","600280019","0","600010019"
"610201030","0","0","600040018","600210119","600100019","0","600030019"
"610201031","0","0","600030020","0","600390020","0","600290120"
"610201032","0","0","600060020","0","600300120","0","600230018"
"610201033","0","0","600130120","600020020","600050020","0","600040020"
"610201034","0","0","600090022","0","600110022","0","600400022"
"610201035","0","0","600070022","0","600430022","0","600090122"
"610201036","0","0","600120022","600140022","600420022","0","600380122"
"610201037","0","0","600090023","0","600110023","0","600400023"
"610201038","0","0","600280022","0","600010021","0","600270023"
"610201039","0","0","600240023","600150023","600220023","0","600380123"
"610201101","0","0","610201101","0","0","0","0"
"610201102","0","0","610201201","0","0","0","0"
"610201103","0","0","610201202","0","0","0","0"
"610201104","0","0","610201203","0","0","0","0"
"610201105","0","0","610201301","0","0","0","0"
"610201106","0","0","610201302","0","0","0","0"
"610201107","0","0","610201303","0","0","0","0"
"610201151","0","0","610201151","0","0","0","0"
"610201152","0","0","610201251","610201453","610201452","0","610201451"
"610201153","0","0","610201252","0","0","0","0"
"610201154","0","0","610201253","0","0","0","0"
"610201155","0","0","610201351","610201553","610201552","0","610201551"
"610201156","0","0","610201352","0","0","0","0"
"610201157","0","0","610201353","0","0","0","0"
"610202101","0","0","610202101","0","0","0","0"
"610202102","0","610202404","610202201","610202403","610202402","0","610202401"
"610202103","0","0","610202202","0","0","0","0"
"610202104","0","0","610202203","0","0","0","0"
"610202105","0","610202504","610202301","610202503","610202502","0","610202501"
"610202106","0","0","610202302","0","0","0","0"
"610202107","0","0","610202303","0","0","0","0"
"610203101","0","0","610203101","0","0","0","0"
"610203102","0","610203404","610203201","610203403","610203402","0","610203401"
"610203103","0","0","610203202","0","0","0","0"
"610203104","0","0","610203203","0","0","0","0"
"610203105","0","610203504","610203301","610203503","610203502","0","610203501"
"610203106","0","0","610203302","0","0","0","0"
"610203107","0","0","610203303","0","0","0","0"
"610204101","0","0","610204101","0","0","0","0"
"610204102","0","610204404","610204201","610204403","610204402","0","610204401"
"610204103","0","0","610204202","0","0","0","0"
"610204104","0","0","610204203","0","0","0","0"
"610204105","0","610204504","610204301","610204503","610204502","0","610204501"
"610204106","0","0","610204302","0","0","0","0"
"610204107","0","0","610204303","0","0","0","0"
"610205101","0","0","610205101","0","0","0","0"
"610205102","0","610205404","610205201","610205403","610205402","0","610205401"
"610205103","0","0","610205202","0","0","0","0"
"610205104","0","0","610205203","0","0","0","0"
"610205105","0","610205504","610205301","610205503","610205502","0","610205501"
"610205106","0","0","610205302","0","0","0","0"
"610205107","0","0","610205303","0","0","0","0"
"610206101","0","0","610206101","0","0","0","0"
"610206102","0","610206404","610206201","610206403","610206402","0","610206401"
"610206103","0","610206408","610206202","610206407","610206406","0","610206405"
"610206104","0","0","610206203","0","0","0","0"
"610206105","0","610206504","610206301","610206503","610206502","0","610206501"
"610206106","0","610206508","610206302","610206507","610206506","0","610206505"
"610206107","0","0","610206303","0","0","0","0"
"610207101","0","0","610207101","0","0","0","0"
"610207102","0","610207404","610207201","610207403","610207402","0","610207401"
"610207103","0","0","610207202","0","0","0","0"
"610207104","0","0","610207203","0","0","0","0"
"610207105","0","610207504","610207301","610207503","610207502","0","610207501"
"610207106","0","0","610207302","0","0","0","0"
"610207107","0","0","610207303","0","0","0","0"
"610208101","0","0","610208101","0","0","0","0"
"610208102","0","0","610208201","0","610208402","0","610208401"
"610208103","0","0","610208202","0","0","0","0"
"610208104","0","0","610208203","0","0","0","0"
"610208105","0","0","610208301","0","610208502","0","610208501"
"610208106","0","0","610208302","0","0","0","0"
"610208107","0","0","610208303","0","0","0","0"
"610209101","0","0","610209101","0","0","0","0"
"610209102","0","610209404","610209201","610209403","610209402","0","610209401"
"610209103","0","0","610209202","0","0","0","0"
"610209104","0","0","610209203","0","0","0","0"
"610209105","0","610209504","610209301","610209503","610209502","0","610209501"
"610209106","0","0","610209302","0","0","0","0"
"610209107","0","0","610209303","0","0","0","0"
