c0b25148f963362b4969fa81a0d0770e432e36a2a1eda5a02b16688f7c077e23,6907fbd414e4c341e79d4a468f2e5a14a08eb7fdf4cf5218797e7f970e7e847b,8cb899840f130cd4bdc38b2e6b6111ebed2de3ba9dc1305e2256c387a528eb9d,24154549b58c09f77d2e30af0dbb18a1f517159172e8f236d5da1c87dbc1440d,dce45f0b057ffed3abfbdb82c94e7501b02bdf4d0336bf57d930561a4458a01d,e1dced93ae23784ff62b6437d7d95e1efea5595a357643cde79d9b763a7842e6,7e6eda9413fb3e728a487ebed5de065261bfded9525922f22b359d25f9411870,cd5338896b63141a080102b4632f6f1cc8e9b08e7c8eaef5ba315311b14c11c2,7a7c4c7eb874ace6fc1661abe1072146bfdf7e2cb5b3af3c0b9bf96412630b85,1e414dbd9dce6ae5eb4e5dbc9bddbc8f6ddb87c4c6a76fb89d2eae02fe283cac,cae95ba68db4a12ea292f89d8c3e7b226a8a3501f8dae97abc597969da2ac405,16da47e271ef8b6b3430c2171e86e6609239259fef5457f12ea75a5440ac6211,7eab6fa33de8719785e34f914bbb8d189cc4a7a13daf0c39c026b34a5d6af95c
"1","0","380000","1","0","bgm_M33","2018/03/26 15:00:00","10001","0","380000","0","2030/03/26 14:59:00","bgm_M33"
"2","0","380000","1","0","bgm_M99","2018/04/26 15:00:00","10002","0","380000","0","2030/03/26 14:59:00","bgm_M99"
"3","0","380000","1","0","bgm_M107","2018/05/25 16:00:00","10003","0","380000","0","2030/03/26 14:59:00","bgm_M107"
"4","0","380000","1","0","bgm_M113","2018/06/26 15:00:00","10004","0","380000","0","2030/03/26 14:59:00","bgm_M113"
"5","0","380000","1","0","bgm_M121","2018/07/26 15:00:00","10005","0","380000","0","2030/03/26 14:59:00","bgm_M121"
"6","0","380000","1","0","bgm_M128","2018/08/27 15:00:00","10006","0","380000","0","2030/03/26 14:59:00","bgm_M128"
"7","0","380000","1","0","bgm_M135","2018/09/26 15:00:00","10007","0","380000","0","2030/03/26 14:59:00","bgm_M135"
"8","0","380000","1","0","bgm_M162","2018/10/26 15:00:00","10008","0","380000","0","2030/03/26 14:59:00","bgm_M162"
"9","0","380000","1","0","bgm_M171","2018/11/26 15:00:00","10009","0","380000","0","2030/03/26 14:59:00","bgm_M171"
"10","0","380000","1","0","bgm_M182","2018/12/26 15:00:00","10010","0","380000","0","2030/03/26 14:59:00","bgm_M182"
"11","0","380000","1","0","bgm_M189","2019/01/25 15:00:00","10011","0","380000","0","2030/03/26 14:59:00","bgm_M189"
"12","0","380000","1","0","bgm_M206","2019/02/22 15:00:00","10012","0","380000","0","2030/03/26 14:59:00","bgm_M206"
"13","0","380000","1","0","bgm_M215","2019/03/25 15:00:00","10013","0","380000","0","2030/03/26 14:59:00","bgm_M215"
"14","0","380000","1","0","bgm_M33","2019/04/11 15:00:00","10014","0","380000","0","2030/03/26 14:59:00","bgm_M33"
"15","0","380000","1","0","bgm_M223","2019/04/24 15:00:00","10015","0","380000","0","2030/03/26 14:59:00","bgm_M223"
"16","0","380000","1","0","bgm_M99","2019/05/09 15:00:00","10016","0","380000","0","2030/03/26 14:59:00","bgm_M99"
"17","0","380000","1","0","","2019/05/24 15:00:00","10017","0","380000","0","2030/03/26 14:59:00",""
"18","0","380000","1","0","bgm_M107","2019/06/10 15:00:00","10018","0","380000","0","2030/03/26 14:59:00","bgm_M107"
"19","0","380000","1","0","bgm_M237","2019/06/25 15:00:00","10019","0","380000","0","2030/03/26 14:59:00","bgm_M237"
"20","0","380000","1","0","bgm_M113","2019/07/08 15:00:00","10020","0","380000","0","2030/03/26 14:59:00","bgm_M113"
"21","0","380000","1","0","bgm_M245","2019/07/25 15:00:00","10021","0","380000","0","2030/03/26 14:59:00","bgm_M245"
"22","0","380000","1","0","bgm_M121","2019/08/08 15:00:00","10022","0","380000","0","2030/03/26 14:59:00","bgm_M121"
