12244eded6bb0d4247ace507de065044b1a6a138f27ca64d80bc69b8513714d7,de60af57a9369907212a4ced1c122614fb0a90c2d590a321238b92f72a3e115f,148aa31b95b863d18b539dbf74975b1ff96e4dc8549932a2f94e2feb6eea9b8f,68794fc57e5c3573569d59f1cb530e677c2537c5e52da6ed20425e034c503187,5f72ac88b402166cec69ea8f102a162e4a6d4fc78e6af93e92e3dc37b5c7d0e5
"10213","5213062","10213001","1","9000277"
"10213","5213064","10213002","2","9000278"
"10213","5213066","10213003","3","9000279"
"10213","5213068","10213004","4","9000280"
"10213","5213070","10213005","5","9000281"
"10213","5213072","10213006","6","9000282"
"10213","5213074","10213007","7","9000283"
"10213","5213076","10213008","8","9000284"
"10213","5213078","10213009","9","9000285"
"10213","5213080","10213010","10","9000286"
"10213","5213082","10213011","11","9000287"
"10213","5213084","10213012","12","9000288"
"10213","5213086","10213013","13","9000289"
"10213","5213088","10213014","14","9000290"
"10213","5213090","10213015","15","9000291"
"10213","5213092","10213016","16","9000292"
"10213","5213094","10213017","17","9000293"
"10213","5213096","10213018","18","9000294"
"10213","5213098","10213019","19","9000295"
"10213","5213100","10213020","20","9000296"
"10213","5213102","10213021","21","9000297"
