7c782f6b2eda7214c87f171bcd2dcd51569ca1cced672d94d0344812a8084e30,3177229e3a0b1b5079fde885e62ef2f97bdfb82bc9c7cf79fcbaffb389856366,3a544d7b9042de93e5b68c0fc0917109009eab76d4144ee642e61c8b184da09f,3f8349fafbc0ad65e096a26950415058ec201c975c4282f3ce3fe05880e40733
"1","2","20","20"
"1","3","30","30"
"2","3","50","80"
"3","3","80","160"
"1","4","60","60"
"2","4","100","160"
"3","4","180","340"
"4","4","360","700"
"5","4","500","1200"
"1","5","100","100"
"2","5","160","260"
"3","5","280","540"
"4","5","480","1020"
"5","5","780","1800"
"1","6","100","100"
"2","6","160","260"
"3","6","280","540"
"4","6","480","1020"
"5","6","780","1800"
"1","7","100","100"
"2","7","160","260"
"3","7","280","540"
"4","7","480","1020"
"5","7","780","1800"
"1","8","100","100"
"2","8","160","260"
"3","8","280","540"
"4","8","480","1020"
"5","8","780","1800"
"1","9","100","100"
"2","9","160","260"
"3","9","280","540"
"4","9","480","1020"
"5","9","780","1800"
"1","10","100","100"
"2","10","160","260"
"3","10","280","540"
"4","10","480","1020"
"5","10","780","1800"
