242c5d837e2d6504a31dd144b9e70072d4bbac25bc91f342395d6ed6c39d3b72,3fc69faff48ef6b3ff5cf20d73b4374296b596715cf693a156953c99c2200017,de3d76561e02b697a7e99ac25ee5dfdb91f69dafd5a9d66e0e767e7bdc6f9f8f,a76773599bcb5e39b4ac6f1a6cf8a7ea954a1e9618470f5e6baccabbac133619,bda5def690a1594646165b054bac98c07ac7c12ad43b01f5f9960699774fd622
"片手剣","90009","red","#D23232","101"
"両手剣","90009","red","#D23232","102"
"短剣","90009","red","#D23232","103"
"槍","90009","red","#D23232","104"
"斧","90009","red","#D23232","105"
"弓","90009","red","#D23232","106"
"拳","90009","red","#D23232","107"
"盾","90009","red","#D23232","108"
"杖","90009","red","#D23232","109"
"本","90009","red","#D23232","110"
"服","90010","blue","#476FD8","201"
"鎧","90010","blue","#476FD8","202"
"白ローブ","90010","blue","#476FD8","203"
"黒ローブ","90010","blue","#476FD8","204"
"指輪","90011","yellow","#E5681E","301"
"腕輪","90011","yellow","#E5681E","302"
"ネックレス","90011","yellow","#E5681E","303"
"宝珠","90011","yellow","#E5681E","304"
"イヤリング","90011","yellow","#E5681E","305"
