f1da66699d6d420490724b2836a04450a4da7a322c5fa76eeb5e54595d8f94f4,777d82ac4f4e36ae4fe04e69befd3b30afbabe73294b3fd0227ecbf55b635ef8,c5da5f0433db55c0df5ed523d452ff501e0963a7fd711369d5cd300a67f005c9,0a1cf2210d5e75386dc8252ad59cd009347c14ff50451a9cb91ee86a290b6d50,c0a3a84c6d504591c49bea460891cbfb9b6a574bf771426b4bbd171a78ee1975,36f3f24702fea1d3a9c77c4840c03476a5681577fa0cd2a0564a3d2d6bf3ec53,5a7b641032b2a85a48c5ee07eaa6dfe6dad8d27a4498a707a42c2a40aa5e606f,64c09430c4ab9201669d9157228f6c73d131ec39d21e5cba8fddf2a482e4a0c7,37f52d5173f898d53893c3a30225b14ea67bfc6089fd849584724c83f191f52c,4bdbd77ca90227caece782615d8c085e53684cd1208452fa403dcaa7555e98e2,e437fa84ccc252fe839428412d52a17f368dd93320d5fbfadfdd8ab925cd0809
"52","2.2","1","talk_sad","0","30","12","-250","5","1","12001"
"1","0","1","","0","1","12","0","6","1","12002"
"29","1","0","black","0","50","12","0","5","0","12003"
"1","0","0","","0","1","12","0","6","1","12004"
"","","0","","","","12","","91","","12005"
"1","0.2","1","","0","1","12","1","6","1","12006"
"1","0.2","0","","0","1","12","1","6","1","12007"
"-250","","1","","","0.3","12","2","2","-20","12008"
"0","","0","","","0.3","12","2","2","0","12009"
"","","0.6","","","","12","","93","0","12010"
"0","","vo_asb","","","0","12","","21","vo_asb_0121","12011"
"10","0","1","0","0","1","12","1","11","思えば手土産すらも、\n持参できず仕舞いでした……","12012"
"0","","0","","","0","12","","91","","12013"
"1","0.2","1","","","","12","","3","guts2_talk_shy","12014"
"0","","vo_asb","","","0","12","","21","vo_asb_0122","12015"
"10","0","1","0","0","1","12","1","11","次に伺う時は必ず……！","12016"
"0","","0","","","0","12","","91","","12017"
"1","0.2","1","","","","12","","3","sad_talk_surprise","12018"
"0","","vo_asb","","","0","12","","21","vo_asb_0123","12019"
