00bf0a53d925e6bca9b531e01889453762fb379e2fb75e80e43963d3bb81209b,fbed4e563eb89341f8edf0babbb8ca4178f3ee36528a0a8f1442b0ceb9cd84c0,5ef77e79dfdeebb244a6aa10c2b580791b0757f654017c4a741c9f871f22dbeb,f7259608ca1d406caa65e3620dea4b16a49a18be6284cdda1275cf12b3fc6a45,77c754f3923c52e07abae9b0645c4382fe7eb775538efbd4828dc2c180d72ba8,63852a52f66657837870fe2b8f8e4c39e7467bf76cf5f3c7e8eb1aec086f858f,66bbba4df30726dd0dd2ec8b282011258e1210f5292cc5a5e0247b04165a13a0,9e854f3fc1021cf76cd05d245dc537a4c5a194dc9fc0bacae08b3d1d29ef9d41,8d0d3c52bb9ce6645e90c0abff565547674c3f52996e0a744e2fee602524a6c8,348ab80a1a52a001b1db708281d6f43da45bda2f717098806387060f33edf8e1
"111","0","0","2","101","0","0","25021","500000","220"
"121","0","0","2","102","0","0","25021","500000","220"
"131","0","0","2","103","0","0","25021","500000","220"
"141","0","0","2","104","0","0","25021","500000","220"
"151","0","0","2","105","0","0","25021","500000","220"
"211","0","0","2","201","0","0","25021","500000","220"
"221","0","0","2","202","0","0","25021","500000","220"
"231","0","0","2","203","0","0","25021","500000","220"
"241","0","0","2","204","0","0","25021","500000","220"
"251","0","0","2","205","0","0","25021","500000","220"
"311","0","0","2","301","0","0","25021","500000","220"
"321","0","0","2","302","0","0","25021","500000","220"
"331","0","0","2","303","0","0","25021","500000","220"
"341","0","0","2","304","0","0","25021","500000","220"
"351","0","0","2","305","0","0","25021","500000","220"
"411","0","0","2","401","0","0","25021","500000","220"
"421","0","0","2","402","0","0","25021","500000","220"
"431","0","0","2","403","0","0","25021","500000","220"
"441","0","0","2","404","0","0","25021","500000","220"
"451","0","0","2","405","0","0","25021","500000","220"
"511","0","0","2","501","0","0","25021","500000","220"
"521","0","0","2","502","0","0","25021","500000","220"
"531","0","0","2","503","0","0","25021","500000","220"
"541","0","0","2","504","0","0","25021","500000","220"
"551","0","0","2","505","0","0","25021","500000","220"
"611","0","0","2","601","0","0","25021","500000","220"
"621","0","0","2","602","0","0","25021","500000","220"
"631","0","0","2","603","0","0","25021","500000","220"
"641","0","0","2","604","0","0","25021","500000","220"
"651","0","0","2","605","0","0","25021","500000","220"
"711","0","0","2","701","0","0","25021","500000","220"
"721","0","0","2","702","0","0","25021","500000","220"
"731","0","0","2","703","0","0","25021","500000","220"
"741","0","0","2","704","0","0","25021","500000","220"
"751","0","0","2","705","0","0","25021","500000","220"
"811","0","0","2","801","0","0","25021","500000","1100"
"911","0","0","2","901","0","0","25021","500000","220"
"921","0","0","2","902","0","0","25021","500000","220"
"931","0","0","2","903","0","0","25021","500000","220"
"941","0","0","2","904","0","0","25021","500000","220"
"951","0","0","2","905","0","0","25021","500000","220"
"1011","0","0","2","1001","0","0","25021","500000","1100"
"1111","0","0","2","1101","0","0","25021","500000","220"
"1121","0","0","2","1102","0","0","25021","500000","220"
