f1b6113ec8e1884822ee263d2141e27a4e2c1d7d67544206267173eaa4a52b78,9262dab1d242b77c0bb521296c49a93eae6484c2db178ef02425e16bdd9068c1,613e80d3ac1594d8ebf6b369a41e212d97883bf5aad162bc07a0caa89166813d,5ed8bda333095b070a3bd4b6d75e6f2a56c7d343a7da38f9a2cfebac30cb0e29,24c41d8e711a1be29c4de191b681144c041463668180db0b02f7ba0d35157133,a4c8efc23d78af439f0a36d7be6666add5937022511e835dba73ee96939bab95,c4497443db1a583440586854af1a666c9587149ea7f0594462534a931a07f584,b5cc47e85d756884b2db742555de0a0043a6ae538f8ebb2e442b73ba8d2d5c6d,30fb32f88599d84e7cb0a7a2f81d6a7da771fac7cff97518272c1bf42181ffc0,38bdea97b52440d3ee1b36307ca7119757e57bd937d842635d7ca1925ea5eb0f,dc0da98eaebbb8d4ba3dbff3363c2a8490012a3d4822edec2c307cd88febaa90,cc53ae3da0f80fbc0ee3f0656fb3926272d34b6f092e3790be8fe7197eeded9d,a223033c8f96a32a793c593f10d8f9c2da7fc6fd27cd64c2686c3d192984db6f
"Lost Princess","1","-1","20","","","2018-10-18 15:00:00","A2001197329/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","1","-1","","ろすとぷりんせす"
"Connecting Happy！！","2","-1","17","","","2018-10-18 15:00:00","A2001197334/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","2","-1","","こねくてぃんぐはっぴー"
"旅の始まり","3","-1","20","","","2018-10-18 15:00:00","","","3","1000","","たびのはじまり"
"森を駆ける風","4","-1","20","","","2018-10-18 15:00:00","","","4","1000","","もりをかけるかぜ"
"メサルティム","5","-1","20","","","2018-10-18 15:00:00","","","5","1000","","めさるてぃむ"
"ハツネのプレゼント大作戦","6","-1","20","","","2018-10-18 15:00:00","","","6","1000","","はつねのぷれぜんとだいさくせん"
"ジズ","7","-1","20","","","2018-10-18 15:00:00","","","7","1000","","じず"
"Smiley Contrast","8","-1","20","","","2018-10-18 15:00:00","A2001305115/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","8","1500","","すまいりーこんとらすと"
"ミノタウロス","9","-1","20","","","2018-10-18 15:00:00","","","9","1000","","みのたうろす"
"リトル・リリカル・アドベンチャーズ","10","-1","20","","","2018-10-18 15:00:00","","","10","1000","","りとるりりかるあどべんちゃーず"
"アルマ","11","-1","20","","","2018-10-18 15:00:00","","","11","1000","","あるま"
"リトルアドベンチャー","12","-1","18","","","2018-10-18 15:00:00","A2001336697/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","12","1500","","りとるあどべんちゃー"
"グラットン","13","-1","20","","","2018-10-18 15:00:00","","","13","1000","","ぐらっとん"
"トリックオアプリン！約束のハロウィンパーティー","14","-1","20","","","2018-10-18 15:00:00","","","14","1000","","とりっくおあぷりんやくそくのはろうぃんぱーてぃー"
"ジャック・オー・プリン","15","-1","17","","","2018-10-18 15:00:00","","","15","1000","","じゃっくおーぷりん"
"もっと！ふたりのパ～ティ～ナイト","16","-1","20","","","2018-10-18 15:00:00","A2001411119/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","16","1500","","もっとふたりのぱーてぃーないと"
"耀う氷の結晶","17","-1","20","","","2018-10-18 15:00:00","","","17","1000","","かがようこおりのけっしょう"
"Shining Future","18","3010003","20","","","2018-11-19 15:00:00","A2001253711/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","18","1500","","しゃいにんぐふゅーちゃー"
"風への誓い","19","3010003","20","","","2018-11-19 15:00:00","A2001253711/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","19","1500","","かぜへのちかい"
"君の笑顔が見たいから","20","3010003","18","","","2018-11-19 15:00:00","A2001305115/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","20","1500","","きみのえがおがみたいから"
"アマノジャクハート！","21","1054007","18","","","2018-11-19 15:00:00","A2001336697/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","21","1500","","あまのじゃくはーと"
"不穏な空気と立ち向かう闘志","22","-1","20","","","2018-11-19 15:00:00","","","22","1000","","ふおんなくうきとたちむかうとうし"
"ツインピッグス","23","-1","20","","","2018-11-19 15:00:00","","","23","1000","","ついんぴっぐす"
"ヴァンパイアハンターwithイリヤ","24","-1","20","","","2018-11-19 15:00:00","","","24","1000","","ヴぁんぱいあはんたーうぃずいりや"
"ガルグ","25","-1","20","","","2018-11-19 15:00:00","","","25","1000","","がるぐ"
"Peaceful*ちゃんぷるー","26","-1","20","","","2018-11-19 15:00:00","A2001552686/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","26","1500","","ぴーすふるちゃんぷるー"
"レサトパルト","27","-1","20","","","2018-11-19 15:00:00","","","27","1000","","れさとぱると"
"トワイライトブレイカーズ","28","-1","20","","","2018-11-19 15:00:00","","","28","1000","","とわいらいとぶれいかーず"
"オラム","29","-1","20","","","2018-11-19 15:00:00","","","29","1000","","おらむ"
"サイツヨでしょ、でしょ？","30","-1","20","","","2018-11-19 15:00:00","A2001502066/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","30","1500","","さいつよでしょでしょ"
"氷海の地","31","-1","20","","","2018-11-19 15:00:00","","","31","1000","","ひょうかいのち"
"氷と雪の世界","32","-1","20","","","2018-12-19 15:00:00","","","32","1000","","こおりとゆきのせかい"
"爽やかな風","33","-1","20","","","2018-12-19 15:00:00","","","33","1000","","さわやかなかぜ"
"カルキノス","34","-1","20","","","2018-12-19 15:00:00","","","34","1000","","かるきのす"
"デンジャラスバカンス！渚のグルメプリンセス","35","-1","20","","","2018-12-19 15:00:00","","","35","1000","","でんじゃらすばかんすなぎさのぐるめぷりんせす"
"テンタパス","36","-1","20","","","2018-12-19 15:00:00","","","36","1000","","てんたぱす"
"えがおのマイホーム","37","-1","20","","","2018-12-19 15:00:00","A2001197334/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","37","1500","","えがおのまいほーむ"
"サジタリウス","38","-1","20","","","2018-12-19 15:00:00","","","38","1000","","さじたりうす"
"忘却のキャロル","39","-1","20","","","2018-12-19 15:00:00","","","39","1000","","ぼうきゃくのきゃろる"
"フォギー","40","-1","20","","","2018-12-19 15:00:00","","","40","1000","","ふぉぎー"
"Ding Dong Holy Night♪","41","-1","20","","","2018-12-19 15:00:00","A2001411119/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","41","1500","","でぃんどんほーりーないと"
"険しき乾荒原","42","-1","20","","","2019-01-18 15:00:00","","","42","1000","","けわしきかんこうげん"
"オルレオン","43","-1","20","","","2019-01-18 15:00:00","","","43","1000","","おるれおん"
"タマキとミフユの無人島0ルピ生活","44","-1","20","","","2019-01-18 15:00:00","","","44","1000","","たまきとみふゆのむじんとうぜろるぴせいかつ"
"島クジラ","45","-1","20","","","2019-01-18 15:00:00","","","45","1000","","しまくじら"
"キンキラ☆ハピネス！","46","-1","18","","","2019-01-18 15:00:00","A2001372582/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","46","1500","","きんきらはぴねす"
"新たな船出","47","-1","20","","","2019-01-18 15:00:00","","","47","1000","","あらたなふなで"
"アルゲティ","48","-1","20","","","2019-01-18 15:00:00","","","48","1000","","あるげてぃ"
"新春トゥインクルクライシス！","49","-1","20","","","2019-01-18 15:00:00","","","49","1000","","しんしゅんとぅいんくるくらいしす"
"邪餅神ガミィ","50","-1","20","","","2019-01-18 15:00:00","","","50","1000","","じゃへいしんがみぃ"
"TwinkleStars","51","-1","20","","","2019-01-18 15:00:00","A2001612987/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","51","1500","","とぅいんくるすたーず"
"酷熱の砂漠","52","-1","20","","","2019-02-15 15:00:00","","","52","1000","","こくねつのさばく"
"メデューサ","53","-1","20","","","2019-02-15 15:00:00","","","53","1000","","めでゅーさ"
"黒鉄の亡霊（ナイトメア）","54","-1","20","","","2019-02-15 15:00:00","","","54","1000","","くろがねのないとめあ"
"リビングメイル","55","-1","20","","","2019-02-15 15:00:00","","","55","1000","","りびんぐめいる"
"Aloofness Code","56","-1","20","","","2019-02-15 15:00:00","A2001372582/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","56","1500","","あるーふねすこーど"
"Absolute Secret","57","2008015","20","","","2019-02-15 15:00:00","A2001452543/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","57","1500","","あぶそりゅーとしーくれっと"
"アクアリオス","58","-1","20","","","2019-02-15 15:00:00","","","58","1000","","あくありおす"
"バトルオブバレンタイン！想いぶつかるスウィートバトル","59","-1","20","","","2019-02-15 15:00:00","","","59","1000","","ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる"
"アグリーラブリー","60","-1","20","","","2019-02-15 15:00:00","","","60","1000","","あぐりーらぶりー"
"SUPER CHOCOLATE","61","-1","20","","","2019-02-15 15:00:00","A2001502066/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","61","1500","","すーぱーちょこれーと"
"砂海の中のオアシス","62","-1","20","","","2019-03-19 15:00:00","","","62","1000","","さかいのなかのおあしす"
"不思議な森","63","-1","20","","","2019-03-19 15:00:00","","","63","1000","","ふしぎなもり"
"トルペドン","64","-1","20","","","2019-03-19 15:00:00","","","64","1000","","とるぺどん"
"王都の名探偵　嘆きの追跡者（ストーカー）","65","-1","20","","","2019-03-19 15:00:00","","","65","1000","","おうとのめいたんていなげきのすとーかー"
"嘆きの女神","66","-1","20","","","2019-03-19 15:00:00","","","66","1000","","なげきのめがみ"
"未解決な想い","67","-1","20","","","2019-03-19 15:00:00","A2001552686/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","67","1500","","みかいけつなおもい"
"ロボリマ来襲！王都滅亡までのカウントダウン","68","-1","20","","","2019-04-19 15:00:00","","","68","1000","","ろぼりまらいしゅうおうとめつぼうまでのかうんとだうん"
"ロボリマ","69","-1","20","","","2019-04-19 15:00:00","","","69","1000","","ろぼりま"
"ロボリマ~終焉~","70","-1","20","","","2019-04-19 15:00:00","","","70","1000","","ろぼりましゅうえん"
"アストルムに咲く双輪の華","71","-1","20","","","2019-04-19 15:00:00","","","71","1000","","あすとるむにさくそうりんのはな"
"コア・ギガース","72","-1","20","","","2019-04-19 15:00:00","","","72","1000","","こあぎがーす"
"Crossing Destiny","73","-1","20","","","2019-04-19 15:00:00","","","73","1500","","くろっしんぐでぃすてぃにー"
"岩峰に潜むもの","74","-1","20","","","2019-05-17 15:00:00","","","74","1000","","がんほうにひそむもの"
"ショーグン道中記　白翼のサムライ","75","-1","20","","","2019-05-17 15:00:00","","","75","1000","","しょーぐんどうちゅうきはくよくのさむらい"
"アクダイカン","76","-1","20","","","2019-05-17 15:00:00","","","76","1000","","あくだいかん"
"白翼のグローリエ","77","-1","20","","","2019-05-17 15:00:00","A2001612987/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","77","1500","","はくよくのぐろーりえ"
"火山の麓","78","-1","20","","","2019-06-18 15:00:00","","","78","1000","","かざんのふもと"
"厳烈なる荒地","79","-1","20","","","2019-06-18 15:00:00","","","79","1000","","げんれつなるあれち"
"怠惰の狂人","80","-1","20","","","2019-06-18 15:00:00","","","80","1000","","たいだのきょうじん"
"鼓の音響く森","81","-1","20","","","2019-07-18 15:00:00","","","81","1000","","つづみのおとひびくもり"
"スズナレインボーステージ！","82","-1","20","","","2019-07-18 15:00:00","","","82","1000","","すずなれいんぼーすてーじ"
"雨神様","83","-1","20","","","2019-07-18 15:00:00","","","83","1000","","あまがみさま"
"背伸びFirst Kiss","84","-1","20","","","2019-07-18 15:00:00","A2001629618/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","84","1500","","せのびふぁーすときす"
"お兄ちゃん争奪！　シズルのお手伝い","85","-1","20","","","2019-08-15 15:00:00","","","85","1000","","おにいちゃんそうだつしずるのおてつだい"
"お兄ちゃん争奪！　エリコのお手伝い","86","-1","20","","","2019-08-15 15:00:00","","","86","1000","","おにいちゃんそうだつえりこのおてつだい"
"真夏のマホマホ王国 波打ち際のソウルサマー！","87","-1","20","","","2019-08-15 15:00:00","","","87","1000","","まなつのまほまほおうこくなみうちぎわのそうるさまー"
"マジムン","88","-1","20","","","2019-08-15 15:00:00","","","88","1000","","まじむん"
"We Are Golden","89","-1","20","","","2019-08-15 15:00:00","A2001629618/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","89","1500","","うぃーあーごーるでん"
"クウカ大回転","90","-1","20","","","2019-09-16 15:00:00","","","90","1000","","くうかだいかいてん"
"森の臆病者と聖なる学舎の異端児","91","-1","20","","","2019-09-16 15:00:00","","","91","1000","","もりのぼっちとせいなるがくしゃのりせえんぬ"
"オオドクマンドラゴラ","92","-1","20","","","2019-09-16 15:00:00","","","92","1000","","おおどくまんどらごら"
"なかよしセンセーション","93","-1","20","","","2019-09-16 15:00:00","A2001640446/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","93","1500","","なかよしせんせーしょん"
"不穏の根を踏み越えて","94","-1","20","","","2019-10-16 15:00:00","","","94","1000","","ふおんのねをふみこえて"
"カオリのマブイ式空手道場","95","-1","20","","","2019-10-16 15:00:00","","","95","1000","","かおりのまぶいしきからてどうじょう"
"リトル・ブレイブ・ハロウィンナイト！","96","-1","20","","","2019-10-16 15:00:00","","","96","1000","","りとるぶれいぶはろうぃんないと"
"ファントムバロン","97","-1","20","","","2019-10-16 15:00:00","","","97","1000","","ふぁんとむばろん"
"トリックホリック","98","-1","20","","","2019-10-16 15:00:00","A2001640446/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","98","1500","","とりっくほりっく"
"泥濘む森の先へ","99","-1","20","","","2019-11-15 15:00:00","","","94","1000","","ぬかるむもりのさきへ"
"大激戦！しりとりドラゴンズ","100","-1","20","","","2019-11-15 15:00:00","","","95","1000","","だいげきせんしりとりどらごんず"
"ドラゴンエクスプローラーズ","101","-1","20","","","2019-11-15 15:00:00","","","96","1000","","どらごんえくすぷろーらーず"
"ドラゴンもどき","102","-1","20","","","2019-11-15 15:00:00","","","97","1000","","どらごんもどき"
"in flames","103","-1","20","","","2019-11-15 15:00:00","A2001716909/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","98","1500","","いんふれいむず"
"新たなる力への試練","104","-1","20","","","2019-12-20 15:00:00","","","104","1000","","あらたなるちからへのちょうせん"
"プレゼントパニック！　ランドソルのサンタたち","105","-1","20","","","2019-12-20 15:00:00","","","105","1000","","ぷれぜんとぱにっくらんどそるのさんたたち"
"トナカイ・ヴェンデッタ","106","-1","20","","","2019-12-20 15:00:00","","","106","1000","","となかいヴぇんでった"
"Call Me Darling！","107","-1","20","","","2019-12-20 15:00:00","A2001716909/","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","107","1500","","こーるみーだーりん"
"王都終末決戦","108","2015007","20","","","2020-01-16 15:00:00","","","108","1000","","おうとしゅうまつけっせん"
"皇帝に仕えし僕との戦い","109","2015007","20","","","2020-01-16 15:00:00","","","109","1000","","こうていにつかえししもべとのたたかい"
