74441c84f868c13d380a15096658607c29e85621d6f48239394db7b1cef24dbc,269f73ac9c30a17a49ea1566b2d0379e1bab8d1bd9027381e6a5e5e23533efb9,619ba26965041454b23d92fb1d2ca3d91e3a78d3f0f9075de27bb3d91e0404c9,035cafdce54eea16e481e4be42d6b07ad411bf6047bc27a0a1a75d8477e93c42,4c4f5a20931f89899daa5b764bce2e65d0464aac74edce3253d4cc48550dbfa8,2bf50ef8eaf3d96479ece0f457dee47b77c025dbbbdcace87c0f1b9fd84b6f13,cd4d6de44b19aacee6456bc0809e52f4474765fb5b0c0a6cd616d29d7bcdd8b2,3ec2ec4c02f6e8200418f912a498b0d6249c04fd7d8e4ad2702d9d4be9e2fa1c,d90491a143b35c4f8a1bc2a4e680e9e3fe8c7ee18f6f45c83db0c0cc42488b37,af57aeb38383eb3ddf0198669f85677290e4a983af15256eec2cc5063570ec4a,0c52ecfd2853d47cef1800b1b5d97a984ca35cf71c1245241a3541247cad7d0e
"31","1","8","25021","8","91002","25013","2","283001001","2","10"
"31","2","8","25021","8","91002","25013","2","283001002","2","10"
"32","3","8","25021","8","91002","25013","2","283001003","2","10"
"32","4","8","25021","8","91002","25013","2","283001004","2","10"
"33","5","8","25021","8","91002","25013","2","283001005","2","10"
"33","6","9","25021","8","91002","25013","2","283001006","2","10"
"34","7","9","25021","8","91002","25013","2","283001007","2","10"
"35","8","9","25021","8","91002","25013","2","283001008","2","10"
"35","9","9","25021","8","91002","25013","2","283001009","2","10"
"37","10","10","25021","8","91002","25013","2","283001010","2","30"
"41","11","10","25021","8","91002","25013","2","283001011","2","10"
"43","12","11","25021","8","91002","25013","2","283001012","2","10"
"46","13","11","25021","8","91002","25013","2","283001013","2","10"
"48","14","12","25021","8","91002","25013","2","283001014","2","10"
"50","15","12","25021","8","91002","25013","2","283001015","2","10"
"53","16","13","25021","8","91002","25013","2","283001016","2","10"
"55","17","14","25021","8","91002","25013","2","283001017","2","10"
"58","18","14","25021","8","91002","25013","2","283001018","2","10"
"60","19","15","25021","8","91002","25013","2","283001019","2","10"
"62","20","15","25021","8","91002","25013","2","283001020","2","30"
"68","21","16","25021","8","91002","25013","2","283001021","2","10"
"70","22","16","25021","8","91002","25013","2","283001022","2","10"
"72","23","16","25021","8","91002","25013","2","283001023","2","10"
"75","24","17","25021","8","91002","25013","2","283001024","2","10"
"77","25","18","25021","8","91002","25013","2","283001025","2","10"
"79","26","18","25021","8","91002","25013","2","283001026","2","10"
"82","27","19","25021","8","91002","25013","2","283001027","2","10"
