792132aa4f41a5cae43d5b1a1fa7c123b8aaa121336f7d59c3950f2a67f79fe7,9526cc7f43bb1412440aef6d5e65300165c50ad8c8b3fa2d584c1aaf01606a80,9a18d4e8477726afc2cb330215849fa3bd765aaec48c3fb37600268d03f1629b,37f67466f3d4dc5e6394fdf45899d822beb94601b7c0130a14cf25958cd33464,5c481f7654ac4c5f212e9af2979a43117a58f973c8d9146b43095b37673b1267,05e2f4c26386bb7ec4433e76ec202f536fb6f0b2c0c3995601bdebe3d0976d5d,6e5836f7e7a5f10c44f939a10a6ec9fc664f08ad562a3a9c62834f3715affc69
"50","250","1","100","200","1004","150"
"80","400","2","160","320","1004","240"
"50","250","3","100","200","1004","150"
"50","250","5","100","200","1004","150"
"80","400","6","160","320","1004","240"
"1","3","12","1","2","1004","1"
"50","250","1","100","200","1005","150"
"50","250","3","100","200","1005","150"
"80","400","4","160","320","1005","240"
"50","250","5","100","200","1005","150"
"80","400","7","160","320","1005","240"
"1","3","13","1","2","1005","1"
"25","125","1","50","100","1010","75"
"40","200","2","80","160","1010","120"
"25","125","3","50","100","1010","75"
"25","125","5","50","100","1010","75"
"40","200","6","80","160","1010","120"
"25","125","1","50","100","1011","75"
"25","125","3","50","100","1011","75"
"40","200","4","80","160","1011","120"
"25","125","5","50","100","1011","75"
"40","200","7","80","160","1011","120"
"100","500","1","200","400","1006","300"
"50","250","2","100","200","1006","150"
"100","500","3","200","400","1006","300"
"100","500","5","200","400","1006","300"
"50","250","6","100","200","1006","150"
"1","3","12","1","2","1006","1"
"100","500","1","200","400","1007","300"
"100","500","3","200","400","1007","300"
"50","250","4","100","200","1007","150"
"100","500","5","200","400","1007","300"
"50","250","7","100","200","1007","150"
"1","3","13","1","2","1007","1"
"25","125","1","50","100","1008","75"
"40","200","2","80","160","1008","120"
"25","125","3","50","100","1008","75"
"25","125","5","50","100","1008","75"
"40","200","6","80","160","1008","120"
"1","3","14","1","2","1008","1"
"25","125","1","50","100","1009","75"
"25","125","3","50","100","1009","75"
"40","200","4","80","160","1009","120"
"25","125","5","50","100","1009","75"
"40","200","7","80","160","1009","120"
"1","3","14","1","2","1009","1"
"50","250","1","100","200","1012","150"
"80","400","2","160","320","1012","240"
"50","250","3","100","200","1012","150"
"50","250","5","100","200","1012","150"
"80","400","6","160","320","1012","240"
"1","5","12","2","4","1012","3"
"50","250","1","100","200","1013","150"
"50","250","3","100","200","1013","150"
"80","400","4","160","320","1013","240"
"50","250","5","100","200","1013","150"
"80","400","7","160","320","1013","240"
"1","5","13","2","4","1013","3"
"40","200","1","80","160","1014","120"
"25","125","2","50","100","1014","75"
"40","200","3","80","160","1014","120"
"40","200","5","80","160","1014","120"
"25","125","6","50","100","1014","75"
"40","200","1","80","160","1015","120"
"40","200","3","80","160","1015","120"
"25","125","4","50","100","1015","75"
"40","200","5","80","160","1015","120"
"25","125","7","50","100","1015","75"
