fd6f4bac9e4ce988dd53b4d111b2d38dd2a2d4f0e26e34967a9e6b1a4d60d239,77ec17a03dc65faae52a3a64ffe61ee1bd9401aa4589ad519536a5e91a7541a1,d44c75804c3df3e502cf1fcadf5cbf0f60fb1092061d2e158d98c2488c4ba158,0527a1ad0c36217973f853d53f394b3f2d3205a106400bf16014bcbc030236d2,6cfd86dfa189413985d68658f06701e9bf823435d8d81cd7afc5ae9158294236,307ec8cc39cecaefa7ebc5ca1045b212acff13221a83e1b17346c7f1822f3956,2f296a44eca8ac306d70df2c4d79b843df94dd640643027a8869ee0b0e5778d9
"50","0","0","1","9999999","50","1"
"80","0","0","2","9999999","20","2"
"30","0","0","3","2000","70","3"
"40","30","0","3","5000","30","4"
"40","40","20","3","10000","0","5"
"30","40","30","3","15000","0","6"
"25","40","35","3","20000","0","7"
"20","40","40","3","25000","0","8"
"15","40","45","3","30000","0","9"
"10","40","50","3","35000","0","10"
"10","35","55","3","40000","0","11"
"5","35","60","3","45000","0","12"
"5","30","65","3","50000","0","13"
"0","30","70","3","55000","0","14"
"0","25","75","3","60000","0","15"
"0","20","80","3","65000","0","16"
"0","15","85","3","70000","0","17"
"0","10","90","3","75000","0","18"
"0","5","95","3","80000","0","19"
"0","0","100","3","9999999","0","20"
