9c15efa642cae06ef5619e1444d329f6bf531b5255135f329a3518dab0c1b650,8455f9fe0c243d69bdb1414f4256e6982b2945bf404df4f2e444934499d05f57,8b1fe5377832a438899f512734989982c7a54e2d9e90a0295c126fc177485c54,95d6cf26990778b9463cb23d7b1684aeb4ef8cd6b48c100eb17e127b05296376,b1839fa05d350ea193725bc71d174ff1ff4f6336ad96f520169494d0a477d92b,8ad57f31304c8e2252d09f79de21abba48513a319a2064298953c033ea1b82a8,c9785ebd9e99714206246c78c783605a05ec1f8050e22c7440dd905ad5c6cbc6
"1","10008101","1","10008111","0","0",""
"2","10008112","1","10008115","0","0",""
"3","10008101","3","10008103","0","0",""
"4","10008105","3","10008115","0","0",""
"5","10008112","4","150","0","0",""
"6","10028101","1","10028111","0","0",""
"7","10028112","1","10028115","0","0",""
"8","10028101","3","10028103","0","0",""
"9","10028105","3","10028115","0","0",""
"10","10028112","4","150","0","0",""
"11","20012104","11","20012104","20012107","0",""
"12","20012108","11","20012108","20012109","0",""
"13","20012110","11","20012110","20012114","0",""
"14","20012115","11","20012115","20012115","0",""
"15","20012110","4","120","0","0",""
"16","20008101","1","20008111","0","0",""
"17","20008112","1","20008115","0","0",""
"18","20008101","3","20008103","0","0",""
"19","20008105","3","20008115","0","0",""
"20","20008112","4","150","0","0",""
