674895ead4e711fd310c8ceebec25542c43389380c8170d5f4d2540e7cdfd340,ac20ccfdde42fd8a766a2c63953cbc10540c6c26093ca7a9139fb975650e2d9e,03b60f9393451b84b9082b183de732f23cd146bd67647eaa8eb7d3b9d68d3056,499299e5e1412595d7f30a09c6fcf9e9dfae0977e6dd32649887b5e0f207cbb9,a121dc185960bd022e308871ff87b3852385963daa2b0bb8b68b5983005b2823,a362e36dbc6a004ffc5c22625b28e752be60d2bf1d667925a70253bfa4a29110,0ccc645b44a336f6bb0cb9d68c9a5259d0ffb7518a336e0baecb3498f68bffc7,3b67b89b36249e0fa43ccf317e17ec5f184e0ccf99f31138dfd9b18111d1e973,65a556817f60ee737292f356a1d908785c61dc1ddcb6d663bd21c8b9cbf29681,39dbea0aa2ea6e5c4e6ef39e06aaa2fe1ed6a010a4a1934ac5f4e538ffce46b1,f36f08a809d949d998af88a3b89a75724e64d40382207169f0a62db4f24b90aa,d945ecdec2e464f450457d4c0fb937945ef87faf77243d899ac20cc2302568d2,709b45079566dfb75c11f18c57ebb9eaebb20fb4db7202d27c8f0034f3565998,780497eff9c4cf8ba1324c7efff36e44038c43685547ba1160558f6308fcb814,b0e3853a2a59cb202a64decac5004a8b1145e2adf81c1a5e124262f461e1c864,9ca5ac32526f9aad1e95fa4db88696d49bed9c0848fe33c82bc56fbce22f32da,dd50631f10ea41165c11528169982b87ee06ebc532c7ac18e4c859323a3eb597
"1","11001001","1","4104351","-470","108","4201401","4101351","4104401","11001","10","11001001","4101401","100000","43200","スィオネ\n樹林","7200"
"2","11001002","1","4110351","-235","90","4203401","4106351","4110401","11001","10","11001002","4106401","100000","43200","ヘリケ巨木","7200"
"3","11001003","1","4105351","0","108","4201401","4102351","4105401","11001","10","11001003","4102401","100000","43200","イオカステ\n岩山","7200"
"4","11001004","1","4109351","235","90","4203401","4108351","4109401","11001","10","11001004","4108401","100000","43200","ハルパリ\n大滝","7200"
"5","11001005","1","4107351","470","108","4201401","4103351","4107401","11001","10","11001005","4103401","100000","43200","ムネメー川","7200"
"6","11002003","1","4101401","-470","108","4301401","4301351","4201401","11002","10","11002001","4104401","100000","43200","アルバ浜堤","7200"
"7","11002002","1","4106401","-235","90","4305401","4305351","4203401","11002","10","11002002","4110401","100000","43200","サダルスド\n砂浜","7200"
"8","11002001","1","4102401","0","108","4302401","4302351","4201401","11002","10","11002003","4105401","100000","43200","ダルリク\n巨岩","7200"
"9","11001005","1","4108401","235","90","4304401","4304351","4203401","11002","10","11002004","4109401","100000","43200","アンカル川","7200"
"10","11001001","1","4103401","470","108","4303401","4303351","4201401","11002","10","11002005","4107401","100000","43200","ダクビア\n森林","7200"
"11","11003001","1","4201401","-470","108","4109401","4201351","4104401","11003","10","11003001","4101401","100000","43200","ミーマス\n洞穴","7200"
"11","11003002","1","4202401","-155","90","4110401","4202351","4102401","11003","10","11003002","4108401","100000","43200","レアント川","7200"
"11","11003003","1","4203401","160","108","4109401","4203351","4105401","11003","10","11003003","4103401","100000","43200","ケランド\n廃墟","7200"
"11","11003004","1","4204401","470","90","4110401","4204351","4107401","11003","10","11003004","4106401","100000","43200","デオネカ\n氷海","7200"
