0d5156f016d1d6e9d94f3d938610036de6dafbfac6ada02fd068a288c9b5718f,f9c774ecb38a75163cbab38331adff3819a6a8536c7a6e46340cd493dfeec978,ba46b6b6d9d4a5e1b62c90dfc4a70e3a27a7628d8e5a622fb9addb0612ef5da5,3984f89228ed48a889c88c3ba7df2a524a1b7e3514b2216f9055f0c2de7e1876,d57b0b0b6864908c21341016a053d902cdc938f210032698c12ac0f084ac9dc5,d94b7e49be8c064f3e3cef32aec7376d29caa4c2f1a821cc119302bf1ae22f08,9ee6818d201a19513f8cf512c008a82dc74da45fda073dcce2bbb965edd42f64
"0","0","1","1","1","1","1"
"0","0","2","1","4","2","1"
"12","0","1","1","5","3","1"
"0","0","2","1","2","4","1"
"0","0","1","2","8","5","1"
"0","0","1","1","1","1","2"
"0","0","2","1","1","2","2"
"0","0","1","1","6","3","2"
"0","0","2","1","1","4","2"
"0","0","3","1","1","5","2"
"11","0","1","3","3","6","2"
"0","0","2","1","1","7","2"
"0","0","1","1","3","8","2"
"0","0","1","2","1","9","2"
"0","0","1","1","1","1","3"
"0","0","2","1","10","2","3"
"0","0","1","1","11","3","3"
"0","0","2","1","5","4","3"
"0","0","3","1","6","5","3"
"0","0","3","1","3","6","3"
"9","0","4","2","3","7","3"
"0","0","4","1","7","8","3"
"0","0","4","1","1","9","3"
"8","0","1","3","9","10","3"
"0","0","2","1","4","11","3"
"0","0","1","1","1","12","3"
"0","0","4","1","3","13","3"
"11","0","3","2","3","14","3"
"10","0","1","1","4","1","4"
"12","0","1","1","12","2","4"
"10","0","2","1","1","3","4"
"4","0","1","1","11","4","4"
"0","0","2","1","1","5","4"
"13","0","1","1","4","6","4"
"6","0","2","1","2","7","4"
"0","0","1","1","8","8","4"
"10","0","2","1","8","9","4"
"10","0","1","1","1","1","5"
"5","0","2","1","11","2","5"
"7","0","1","1","1","3","5"
"12","0","2","1","5","4","5"
"11","0","1","1","1","5","5"
"4","0","2","1","3","6","5"
"12","0","2","1","5","7","5"
"6","0","1","1","2","8","5"
"4","0","2","1","11","9","5"
"8","0","1","1","8","10","5"
"10","0","1","1","4","11","5"
"10","0","2","1","5","12","5"
"7","0","1","1","8","1","6"
"10","0","2","1","4","2","6"
"11","0","1","1","1","3","6"
"8","0","2","1","8","4","6"
"6","0","1","1","11","5","6"
"7","0","1","2","2","6","6"
"4","0","1","1","5","7","6"
"10","0","2","1","4","8","6"
"13","0","1","2","10","9","6"
"7","0","1","1","8","1","7"
"10","0","2","1","12","2","7"
"12","0","2","1","4","3","7"
"7","0","1","1","11","4","7"
"10","0","1","1","1","5","7"
"12","0","2","1","5","6","7"
"11","0","2","1","5","7","7"
"10","0","2","1","8","8","7"
"8","0","1","1","2","9","7"
"7","0","1","1","8","10","7"
"9","0","2","1","4","11","7"
"10","0","1","2","1","1","8"
"10","0","2","1","12","2","8"
"5","0","1","1","12","3","8"
"12","0","1","1","5","4","8"
"10","0","2","1","1","5","8"
"12","0","1","1","5","6","8"
"12","0","1","1","5","7","8"
"10","0","2","1","1","8","8"
"9","0","2","1","8","9","8"
"9","0","1","2","4","10","8"
"8","0","1","1","4","1","9"
"10","0","1","1","5","2","9"
"7","0","2","1","4","3","9"
"8","0","2","1","6","4","9"
"10","0","1","1","1","5","9"
"11","0","1","1","11","6","9"
"6","0","1","1","1","7","9"
"8","0","2","1","5","8","9"
"7","0","2","1","8","9","9"
"6","0","1","1","4","10","9"
"10","0","2","1","11","1","10"
"7","0","1","1","1","2","10"
"8","0","1","2","8","3","10"
"9","0","2","1","5","4","10"
"8","0","1","1","10","5","10"
"7","0","1","2","1","6","10"
"6","0","1","2","2","7","10"
"10","0","1","1","11","8","10"
"10","0","2","1","8","9","10"
"8","0","1","1","9","1","11"
"0","0","2","1","5","2","11"
"12","0","2","1","6","3","11"
"5","0","1","1","1","4","11"
"10","0","2","1","5","5","11"
"12","0","2","1","6","6","11"
"4","0","1","1","1","7","11"
"0","0","1","1","11","8","11"
"0","0","1","1","6","9","11"
"10","0","2","1","1","10","11"
"11","0","1","1","6","11","11"
"12","0","2","1","1","12","11"
"6","0","2","1","5","13","11"
"7","0","1","1","10","14","11"
"7","0","2","1","4","15","11"
"4","0","2","1","11","1","12"
"5","0","1","1","1","2","12"
"10","0","2","1","6","3","12"
"10","0","2","1","5","4","12"
"0","0","1","1","11","5","12"
"0","0","2","1","6","6","12"
"17","0","2","1","12","7","12"
"1","0","1","1","5","8","12"
"2","0","1","1","1","9","12"
"10","0","2","1","6","10","12"
"10","0","2","1","4","11","12"
"0","0","1","1","1","12","12"
"13","0","1","1","5","13","12"
"8","0","2","1","11","14","12"
"10","0","1","1","8","15","12"
"10","0","1","1","11","1","13"
"8","0","3","1","11","2","13"
"0","0","2","1","6","3","13"
"10","0","1","1","11","4","13"
"7","0","2","1","11","5","13"
"6","0","3","1","2","6","13"
"0","1500","3","1","1","7","13"
"5","0","1","3","11","8","13"
"10","0","3","1","5","9","13"
"4","0","2","1","1","10","13"
"4","0","1","1","1","11","13"
"6","0","3","1","6","12","13"
"6","0","1","1","4","13","13"
"10","0","1","3","9","14","13"
"10","0","3","1","8","15","13"
"6","0","1","1","4","16","13"
"0","0","3","1","1","17","13"
"8","0","2","1","8","18","13"
"0","0","1","1","11","1","14"
"13","0","1","2","2","2","14"
"10","0","3","1","11","3","14"
"10","0","1","1","1","4","14"
"10","0","1","2","4","5","14"
"0","0","2","1","11","6","14"
"0","0","2","1","1","7","14"
"10","0","1","1","1","8","14"
"12","0","3","1","12","9","14"
"12","0","3","1","12","10","14"
"0","0","3","1","5","11","14"
"12","0","1","1","5","12","14"
"6","0","1","2","10","13","14"
"10","0","1","1","11","14","14"
"6","0","1","3","10","15","14"
"10","0","1","1","11","16","14"
"6","0","1","3","2","17","14"
"6","0","1","2","10","18","14"
"4","0","1","1","11","19","14"
"10","0","2","1","8","20","14"
"4","0","1","3","8","21","14"
"10","0","2","1","12","1","15"
"12","0","1","1","12","2","15"
"12","0","3","1","11","3","15"
"6","0","1","1","11","4","15"
"12","0","2","1","12","5","15"
"0","0","2","1","5","6","15"
"12","0","1","1","11","7","15"
"0","0","1","1","1","8","15"
"0","0","1","1","5","9","15"
"12","0","1","2","12","10","15"
"0","0","3","1","11","11","15"
"11","0","3","1","12","12","15"
"9","0","2","1","1","13","15"
"12","0","1","1","1","14","15"
"0","0","1","1","12","15","15"
"9","0","1","1","12","16","15"
"4","0","2","1","11","17","15"
"4","0","1","3","11","18","15"
"12","0","2","1","5","19","15"
"0","0","2","1","12","20","15"
"7","0","2","1","12","21","15"
"12","0","1","3","12","22","15"
"7","0","1","3","1","23","15"
"0","0","3","1","4","24","15"
"10","0","1","3","4","25","15"
"0","0","2","1","8","26","15"
"0","0","1","1","11","27","15"
"0","0","2","1","11","28","15"
"0","0","1","1","6","1","16"
"10","0","2","1","11","2","16"
"0","0","3","1","12","3","16"
"0","0","2","1","4","4","16"
"12","0","1","1","6","5","16"
"0","0","1","1","6","6","16"
"4","0","2","1","4","7","16"
"4","0","3","1","5","8","16"
"0","0","3","1","1","9","16"
"17","0","1","1","12","10","16"
"0","0","2","1","11","11","16"
"10","0","3","1","1","12","16"
"11","0","2","1","11","13","16"
"0","0","3","1","11","14","16"
"12","0","1","1","12","15","16"
"10","0","1","1","11","16","16"
"10","0","1","1","11","17","16"
"6","0","1","1","6","18","16"
"6","0","2","1","11","19","16"
"8","0","3","1","1","20","16"
"8","0","3","1","5","21","16"
"9","0","1","1","4","22","16"
"10","0","1","1","11","23","16"
"4","0","1","1","11","1","17"
"10","0","1","3","4","2","17"
"4","0","1","1","11","3","17"
"0","0","1","1","1","4","17"
"10","0","1","2","1","5","17"
"4","0","2","1","11","6","17"
"10","0","1","2","1","7","17"
"4","0","2","1","11","8","17"
"0","0","3","1","1","9","17"
"10","0","1","2","8","10","17"
"12","0","1","1","12","11","17"
"4","0","3","1","11","12","17"
"4","0","1","3","1","13","17"
"10","0","1","1","11","14","17"
"0","0","1","2","1","15","17"
"4","0","1","2","11","16","17"
"7","0","1","2","8","17","17"
"0","0","1","1","11","18","17"
"6","0","1","3","2","19","17"
"10","0","1","1","10","20","17"
