2bac754887b0bc43ecf67c42833b9614dc4224cf6cea8e1c5e27db2bd30a8953,f55509304057955dcd9035fdf0a8557d79cae2d0b72f974f2c5989e365f5f1fb,81f42220c003dd8cdc48065c84ea90e74bee536c6059f42d06b69c3ba539e4ba,652eb5a2970ab50f0a09e38f85fff8ae110602387afa750330281daea67b3f14,01f04700f3a2627c475549961981855ddf5a9c6f2dabe42cefcea2c71eeb3735,ece7b37d6b4fa72717f58b51898c138c231f4c3eb8a0924b35fc0ae11fdcf7c5,7f85a89f9371e50121afce4bab95ee72be9a0ca67df19d7c455cfbbec5b6ef13
"91002","1","10","累計スコアを2500pt 獲得しよう","2500","101","8"
"91002","1","10","累計スコアを5000pt 獲得しよう","5000","102","8"
"91002","1","10","累計スコアを10000pt 獲得しよう","10000","103","8"
"91002","1","10","累計スコアを12500pt 獲得しよう","12500","104","8"
"91002","1","10","累計スコアを15000pt 獲得しよう","15000","105","8"
"91002","1","10","累計スコアを20000pt 獲得しよう","20000","106","8"
"91002","1","10","累計スコアを25000pt 獲得しよう","25000","107","8"
"91002","1","10","累計スコアを30000pt 獲得しよう","30000","108","8"
"91002","1","10","累計スコアを35000pt 獲得しよう","35000","109","8"
"91002","1","10","累計スコアを40000pt 獲得しよう","40000","110","8"
"91002","1","10","累計スコアを45000pt 獲得しよう","45000","111","8"
"11001302","1","1","累計スコアを50000pt 獲得しよう","50000","112","15"
"91002","2","10","累計スコアを2500pt 獲得しよう","2500","201","8"
"91002","2","10","累計スコアを5000pt 獲得しよう","5000","202","8"
"91002","2","10","累計スコアを10000pt 獲得しよう","10000","203","8"
"91002","2","10","累計スコアを12500pt 獲得しよう","12500","204","8"
"91002","2","10","累計スコアを15000pt 獲得しよう","15000","205","8"
"91002","2","10","累計スコアを20000pt 獲得しよう","20000","206","8"
"91002","2","10","累計スコアを25000pt 獲得しよう","25000","207","8"
"91002","2","10","累計スコアを30000pt 獲得しよう","30000","208","8"
"91002","2","10","累計スコアを35000pt 獲得しよう","35000","209","8"
"91002","2","10","累計スコアを40000pt 獲得しよう","40000","210","8"
"91002","2","10","累計スコアを45000pt 獲得しよう","45000","211","8"
"11001303","2","1","累計スコアを50000pt 獲得しよう","50000","212","15"
