8783991218d405c63d6cfee0201fb42e10cdb98a4911881870cb757d3abe542d,90efa264d8b73146888271a76f679c42c80b76b884c5e8cf7bb401a042a0408b,a941a90a83dc7ee327412cda5e5408445d8416fae3c8046531a85d4483cb1e6e,383a23c1d40614fa48f8afb50746defcb9ed145cfe16f4a5c37d99b2a014312a,0dda461902622a59180df2ad6aef8b13f81531fdc7fd6ec2bce42392de41650e,b55f7ae61b353231a2eec809664cf54b0073289fc13d1c52249fe4c716c36692
"リンゴ","10001","1","1","赤くて甘酸っぱい果物。","1000100"
"アップル","10001","2","1","「リンゴ」の英語読み。","1000101"
"きんだんのかじつ","10001","2","1","知恵の樹になると言われる果物。実はリンゴじゃなかった説もあるとかないとか。","1000102"
"ゴリラ","10002","1","1","強くて黒くてムキムキ。バナナが大好きな生き物。","1000200"
"れいちょうるい","10002","2","1","動物の分類のうちのひとつ。","1000201"
"うほうほ","10002","2","1","ゴリラの猛々しい鳴き声をあらわした擬声語。","1000202"
"マスター・ウキキー","10002","3","1","「ルナの塔」に鎮座する強力な仙猿。ゴリラではなく猿だが、親戚みたいなものなので辛うじてセーフ。","1000203"
"ラッパ","10003","1","1","特定の金管楽器をひとまとめにした呼び方。","1000300"
"トランペット","10003","2","1","金管楽器のうちのひとつ。","1000301"
"かんがっき","10003","2","1","楽器の分類のうちのひとつ。なお「サックスのれんしゅう」などのプリコネ読みは、ありそうで無い。","1000302"
"パイナップル","10004","1","1","暖かい地域で育つ、黄色くて甘酸っぱい果物。","1000400"
"アナナス","10004","2","1","「パイナップル」のまた別の呼び方。","1000401"
"ルビー","10005","1","1","宝石の女王とも呼ばれる、鮮やかな赤色の宝石。","1000500"
"ほうせき","10005","1","1","装飾品に用いられる、美しく希少価値の高い鉱物。","1000501"
"ガーネット","10005","2","1","ワインレッド色の宝石。ザクロ石とも呼ばれる。","1000502"
"ジュエリー","10005","2","1","「ほうせき」の英語読み。","1000503"
"アキノのブローチ","10005","3","1","「ウィスタリア家」のご令嬢「アキノ」が身に着けている美しいブローチ。","1000504"
"こうきせきウィスタリア","10005","3","1","「アキノ」の専用装備。ウィスタリア家に代々伝わる輝石。","1000505"
"ビールっぽいもの","10006","1","1","「ビール」なる飲み物によく似た飲み物。","1000600"
"ジョッキ","10006","1","1","片っ方に取っ手のついた、飲み物用の容器。","1000601"
"むぎしゅわ","10006","3","1","「ユカリ」が「ビールっぽいもの」のことを、こう呼ぶ。飲ませすぎてはいけない。","1000602"
"エターナルジョッキ","10006","3","1","「ユカリ」の専用装備。飲んでも飲んでもエターナルに湧き出てくる。","1000603"
"ゆみや","10007","1","1","弓と矢からなる武器。","1000700"
"とびどうぐ","10007","2","1","遠くから飛ばして攻撃するタイプの武器のこと。","1000701"
"アロー","10007","2","1","「矢」の英語読み。","1000702"
"ボウ","10007","2","1","「弓」の英語読み。","1000703"
"おんぷ","10008","1","1","音楽において音を書き表すための記号。","1000800"
"リズム","10008","1","1","音楽における音の流れの構造。","1000801"
"ミュージック","10008","2","1","「音楽」のまた別の呼び方。","1000802"
"うた","10008","2","1","声を用いた音楽のこと。","1000803"
"ドレミ","10008","2","1","音の階名を低い順に３つ並べたもの。","1000804"
"えのぐ","10009","1","1","絵の色をつけるための材料。","1000900"
"チューブ","10009","2","1","ペースト上のものをつめる容器。","1000901"
"ブルー","10009","2","1","青色のこと。または憂鬱な様子。","1000902"
"あおいえのぐ","10009","2","1","青色の絵の具。","1000903"
"けん","10010","1","1","刃によって攻撃する武器の総称。","1001000"
