022607b737d88b3493b5ab40e284704e7d65bd84b50157870fc5fbfcdd8a80da,b266952ff5fd703a1a4f734cc63ef00ea6ceff1e451a49eff43d856c7e2941f7,e3291f2466092574cd3ea36fbad708525369ebc68da0aa2854c204d47654d9ca,0c76d7fc983645b1144c58add141ea2ee76676d043817fc3465700c6eb83f4be,4c86df00b42b54860cdfb64dad5b4e4ae1d526ccbcd7680dfac2f23d0db643ce
"3","1","2","1","10201"
"3","2","2","2","10202"
"3","3","2","3","10203"
"10","4","2","4","10301"
"10","5","2","5","10302"
"10","6","2","6","10303"
"10","7","2","7","10304"
"20","8","2","8","10401"
"20","9","2","9","10402"
"20","10","2","10","10403"
"20","11","2","11","10404"
"20","12","2","12","10405"
"20","13","2","13","10406"
"20","14","2","14","10407"
"20","15","2","15","10408"
"20","16","2","16","10409"
"3","1","1","17","10701"
"3","2","1","18","10601"
"3","3","1","19","10602"
"3","4","1","20","10603"
"3","5","1","21","10604"
"10","6","1","22","11301"
"10","7","1","23","11302"
"10","8","1","24","11303"
"20","9","1","25","11401"
"20","10","1","26","11402"
"20","11","1","27","11403"
"20","12","1","28","11601"
"20","13","1","29","11602"
"20","14","1","30","11603"
"20","15","1","31","11604"
"20","16","1","32","11605"
"20","17","1","33","11606"
"20","18","1","34","11101"
"20","19","1","35","11102"
"20","20","1","36","11103"
"20","21","1","37","11701"
"20","22","1","38","11702"
"20","23","1","39","11703"
"3","1","3","40","10501"
"3","2","3","41","10502"
"3","3","3","42","10503"
"10","4","3","43","11201"
"10","5","3","44","10801"
"10","6","3","45","10802"
"10","7","3","46","10803"
"10","8","3","47","10804"
"20","9","3","48","10901"
"20","10","3","49","10902"
"20","11","3","50","10903"
"20","12","3","51","10904"
"20","13","3","52","11001"
"20","14","3","53","11002"
"20","15","3","54","11003"
"20","16","3","55","11501"
"20","17","3","56","11502"
"20","18","3","57","11503"
"20","19","3","58","11504"
"20","20","3","59","11505"
"20","21","3","60","11506"
