8551eb129136781a22e8cb8e593a054357d5caf4fbb6943b773117bd626134c9,a62fb61bd1fe1759f363db9045f211cfcf865e22a03a89cbe7f998ef99e3a1f6,775dd8f0d086f7cafaad42a38369b1aa5162d3d109385f0c4ab78249386d3287,c3ddd05821a7db465d6a37566a5194fe3d26c18116bc43603ef8c14a41496c22,c7b261bd0e446198b691ae8320ba26bc6d0be47eb5962cfe6b1c95866b273118,c2def8424c39d7e07970c14adad96b2b3720264593d3fb7292af03bab14e195c,dc04490a68c36c7d0e63199ee5688327eb9117ff62071b69a58866caa2213619,9be9f6b55e2ceaf3030d56a1c16161d42f119e32fbd086e58385c4145e1683d8,834aa87b8c5ff83f2bf999fdb430ffb44e776288a2718acf7302518b1b589786,56cf16976e2ab00510608ad94b48cf0e7bee3b00d8c8d69ea323c6296fb8d868,af5528cbc949f74ade52f7792688188723c759abe4ec843633ff4b108438a5ce,1b9f87dcc6f49bffdf6e2494e44eb11f427a9c306768767a64dc42012d9fc62c
"1","2","1","0","101","0","0","0","0","11041","4","104"
"2","3","2","1","201","0","0","0","0","10141","2","14"
"3","2","3","2","301","0","0","0","0","11031","2","103"
"4","1","4","3","401","0","0","0","0","11021","1","102"
"5","2","5","4","501","0","0","0","0","11041","4","104"
"6","3","6","5","601","0","0","0","0","10011","1","1"
"7","4","7","6","701","0","0","0","0","11011","3","101"
"8","3","8","7","801","0","0","0","0","11001","1","100"
"9","2","9","8","901","0","0","0","0","11041","4","104"
"10","3","10","9","1001","0","0","0","0","10011","2","1"
"11","4","11","10","1101","0","0","0","0","10511","1","51"
"12","3","12","11","1201","0","0","0","0","10521","2","52"
"13","2","13","12","1301","0","0","0","0","11041","4","104"
"14","1","14","13","1401","0","0","0","0","11021","1","102"
"15","2","15","14","1501","0","0","0","0","11031","1","103"
"16","3","16","15","1601","0","0","0","0","10011","1","1"
"17","2","17","16","1701","0","0","0","0","11041","4","104"
"18","3","18","17","1801","0","0","0","0","10501","2","50"
"19","4","19","18","1901","0","0","0","0","11011","3","101"
"20","3","20","19","2001","0","0","0","0","11001","2","100"
"21","2","21","20","2101","0","0","0","0","11041","4","104"
"22","1","22","21","2201","0","0","0","0","10011","3","1"
"23","3","23","22","2301","0","0","0","0","11001","2","100"
"24","2","24","23","2401","0","0","0","0","11011","2","101"
"25","3","25","24","2501","0","0","0","0","11041","4","104"
"26","4","26","25","2601","0","0","0","0","10501","3","50"
"27","3","27","26","2701","0","0","0","0","10521","3","52"
"28","1","28","27","2801","0","0","0","0","10501","1","50"
"29","2","29","28","2901","0","0","0","0","11041","4","104"
"30","1","30","29","3001","0","0","0","0","10511","3","51"
"31","2","31","30","3101","0","0","0","0","11001","2","100"
"32","3","32","31","3201","0","0","0","0","11011","1","101"
"33","4","33","32","3301","0","0","0","0","11041","4","104"
