11d376274cc1a9dc4d13fe3ae36db41f36c5251f8273a080a9f508d367df2073,d3d85f435dda77c4f1c732da6b20a435440fdf7071547335a18f678c1ac15aaa,cfc439718997deba437faf2707bf7fdadab94272946ada56fde9b57aa07364b5,af2697a15682a884dcff7b32b151b735043fbcccbeb522a2cc0c95aeea024d0e,d1a5de84812c2a5d5611310c3ac2baa4fdfccc788f5a78fb5e37e31d9df8ae89,c3bf637fcfab0090cabdd794fed5d95da1027ff3b5374915601429e8dd622f1b,4b176205fb95ca492bb1bcb537ae8ba6d5f047eb09402b0af9769ed810e40ff9,2230eaec5d03466b910787cebb66f662f7330fd1d5bdd942e3c80c235ee2147d,cb02d2c503accd922912929dd6f949220d305fba1f01dcf73559cccb3217419a,b5c49498b4a6b2abb44e10f5c4fc1f92a730e07ada8c6eeee361a5058d7ffb3e,58e8fe3324d5c5379c895e746c9a549e34ee2e48e082a208ff9615c36668b4d6,2406bb49a858c7962d8ba476e502a8eb55c47062e41e0ddf9023474006a4f35b
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","1","1","0","カリン","60000","1","0","0","","1","190804"
"今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","2","1","0","","60000","2","1","0","","0","0"
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","3","1","0","","60000","2","1","0","","0","0"
"今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","4","2","0","","60000","2","1","0","","0","0"
"今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","5","1","0","","60000","2","2","0","","0","0"
"今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","6","1","0","","60000","2","2","0","","0","0"
"今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","7","2","0","","60000","2","2","0","","0","0"
"今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","8","1","0","","60000","2","3","0","","0","0"
"今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","9","1","0","","60000","2","3","0","","0","0"
"今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","10","1","0","","60000","2","3","0","","0","0"
"今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","11","1","0","","60000","2","3","0","","0","0"
"今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪","12","2","0","","60000","2","3","0","","0","0"
"今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪","13","1","0","","60000","2","4","0","","0","0"
"今日の運勢は小吉！　運気上昇中ですが、上がるまでが要注意！　ラッキーアニマルは熊！　本当の家族のように守ってくれるかも♪","14","1","0","","60000","2","4","0","","0","0"
"今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","15","1","0","","60000","2","4","0","","0","0"
"今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","16","1","0","","60000","2","4","0","","0","0"
"今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","17","2","0","","60000","2","4","0","","0","0"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","18","0","0","カリン","60000","3","0","0","","2","190804"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","19","0","7","カリン","60000","3","0","0","","3","190804"
"キミと出会ってもう\n1年もたつんだね！\nう～ん、いつも\n寝てばっかりだから、","20","0","1","ハツネ","80001","0","0","0","","1","101201"
"少しでも\n寝る時間を減らして\nキミと一緒にいる\n時間増やしたいなぁ♪","21","0","1","ハツネ","80001","0","0","0","","2","101201"
"あなたと知り合ってから\nもう1年…\n時がたつのは\n早いですね","22","0","1","シオリ","80001","1","0","0","","1","103801"
"来年も、\n一緒にいられたら…\nうれしいな","23","0","1","シオリ","80001","1","0","0","","2","103801"
"あなたと一緒にいるようになって、\nもう1年ですか…","24","0","2","キョウカ","80001","0","0","0","","1","103601"
"最初の頃よりも、頼もしく\nなりましたね。私はどうですか？\n成長していますか？","25","0","2","キョウカ","80001","0","0","0","","2","103601"
"おにいちゃんとあってから、\n1年たったよ～！","26","0","2","ミミ","80001","1","0","0","","1","102001"
"ミミね、おにいちゃんと\nいっぱい遊べてたのしかったな～♪\nこれからもずっと\nいっしょにいてね～！","27","0","2","ミミ","80001","1","0","0","","2","102001"
"にいちゃんがミソギのイタズラに\n引っかかり続けてもう1年かぁ","28","0","2","ミソギ","80001","2","0","0","","1","100401"
"…これからもいっぱいミソギと\n遊んでね、にいちゃん！","29","0","2","ミソギ","80001","2","0","0","","2","100401"
"もう王子はんと会うてから\n1年ぐらいたつそうどすえ\n早いもんやなあ","30","0","3","マホ","80001","0","0","0","","1","101001"
"このままやと、\nうちもあっという間に\n干からびてしまいそうどすえ\nなーんてな。うふふ","31","0","3","マホ","80001","0","0","0","","2","101001"
"お主と会って早1年じゃな\nこれからも存分に尽くすがよい","32","0","3","イリヤ","80001","1","0","0","","1","104401"
"わらわもたまには、お主の献身に\n報いてやらぬでもない♪","33","0","3","イリヤ","80001","1","0","0","","2","104401"
"もう、キミと出会って結構な時間が\nたつさ～。でも、私たちの旅は\nまだまだ始まったばかりさ～！","34","0","3","カオリ","80001","2","0","0","","1","101701"
"これからも、どうぞよろしく\nお願いするさ～！","35","0","3","カオリ","80001","2","0","0","","2","101701"
"あんたと出会ってからもうそんなに\nたつのね～","36","0","4","サレン","80001","0","0","0","","1","102801"
"あっという間だったって感じるほど\n楽しかったわ！\nこれからも一緒に頑張りましょ！","37","0","4","サレン","80001","0","0","0","","2","102801"
"出会ってから1年間、ずっと\nご迷惑をかけっぱなしで、\nすみません…","38","0","4","スズメ","80001","1","0","0","","1","102501"
"これからはもっと頑張りますから\n見ていてくださいね\nできれば…\n今までよりも、私の近くで♪","39","0","4","スズメ","80001","1","0","0","","2","102501"
"振り返れば、今までいろんなことが\nあったにゃあ…","40","0","5","タマキ","80001","0","0","0","","1","104601"
"これからも、二人でたくさんの\n思い出をがっぽり作っていく\nにゃー！","41","0","5","タマキ","80001","0","0","0","","2","104601"
"キミとの師弟関係も、\nもう1年なのね…\nでもキミに教えることは、","42","0","5","ミフユ","80001","1","0","0","","1","104801"
"まだまだいっぱいあるわ\nこれからも、\nしっかりついて来てね！","43","0","5","ミフユ","80001","1","0","0","","2","104801"
"あなたさまと出会ってもう1年…","44","0","6","アキノ","80001","0","0","0","","1","103201"
"光陰矢のごとし、とはまさに\nこのことですわ。…思い出は決して\nお金では買えませんわね","45","0","6","アキノ","80001","0","0","0","","2","103201"
"ダメな私を1年間も見捨てないで\nくれて、本当にありがとう","46","0","6","ユカリ","80001","1","0","0","","1","103401"
"情けないところいっぱいみせるかも\nしれないけど、これからも一緒に\nいてくれると、うれしいな","47","0","6","ユカリ","80001","1","0","0","","2","103401"
"オマエと出会ってもう1年か\nまさかこのワタシの結婚相手に\nなろうとはな…","48","0","7","クリスティーナ","80001","0","0","0","","1","107101"
"ともかくこれからも\n愉しませてくれよ☆","49","0","7","クリスティーナ","80001","0","0","0","","2","107101"
"君と出会ってからもう1年か。\n以前と比べて私の表情もいくらか\n柔らかくなった気がするんだが、\nどうだろう？","50","0","7","ジュン","80001","1","0","0","","1","104701"
"見えないから分からないって？\nそれもそうだな…","51","0","7","ジュン","80001","1","0","0","","2","104701"
"もう1年たったみたいだね\nあなたをからかってばかりだった\nけど、楽しかった♪","52","0","8","トモ","80001","0","0","0","","1","103701"
"これからもよろしくね！","53","0","8","トモ","80001","0","0","0","","2","103701"
"出会って、もう1年たっちゃった\nんスね。なんだか意外ッス","54","0","8","マツリ","80001","1","0","0","","1","100501"
"毎日楽しくて、あっという間に過ぎ\nちゃったみたいなんスよね\nこれからも一緒に悪と戦うッス！","55","0","8","マツリ","80001","1","0","0","","2","100501"
"オマエと会って1年なの！\n全然成仏もできなかったし、","56","0","9","ミヤコ","80001","0","0","0","","1","100701"
"生き返りもしなかったけど、\nすごく楽しかったの～♪\nオマエとプリンがあれば、\nミヤコはハッピーなの～♪","57","0","9","ミヤコ","80001","0","0","0","","2","100701"
"あなたと出会って1年なんですね\nでも、私の占いでは、私とあなたは","58","0","9","シノブ","80001","1","0","0","","1","103101"
"来年も再来年も一緒にいるようです\nふふ、よろしくお願いしますね","59","0","9","シノブ","80001","1","0","0","","2","103101"
"貴様が閃光のシグルドとして覚醒し\nもう1年か…。これからも我らの\n長き戦いに終わりはないが、","60","0","10","アンナ","80001","0","0","0","","1","100901"
"それでも貴様となら…\n添い遂げる覚悟はできているぞ！","61","0","10","アンナ","80001","0","0","0","","2","100901"
"君と出会ってもう1年だって！\n早いねー！","62","0","10","ナナカ","80001","1","0","0","","1","101301"
"これからも最強のバディタッグで\n大活躍だー！\n頼りにしてるよ、相棒！","63","0","10","ナナカ","80001","1","0","0","","2","101301"
"1年たつのって、あっという間ね\nまだまだ君の知らない部分が\nたくさんあるし…","64","0","11","ミツキ","80001","0","0","0","","1","105101"
"これからも、いろんなところを\n調べさせてね？","65","0","11","ミツキ","80001","0","0","0","","2","105101"
"お前さんと出会ってもう1年か\n助太刀するつもりが","66","0","11","ルカ","80001","1","0","0","","1","105601"
"逆に助けられたりもしたね\nこれからもよろしく頼むよ！","67","0","11","ルカ","80001","1","0","0","","2","105601"
"早いものですわね、あなた様と\nお会いして、もう1年…","68","0","11","エリコ","80001","2","0","0","","1","102701"
"あなた様といると、時があっと\nいう間に過ぎてしまいます\n時間を止める研究をしなくては\nいけませんね…","69","0","11","エリコ","80001","2","0","0","","2","102701"
"お兄ちゃんと会ってから、もう、\n1年なんだね。私、少しは\nお姉ちゃんっぽくなったかな？","70","0","12","アヤネ","80001","0","0","0","","1","102301"
"あ、ぷうきちもお兄ちゃんっぽく\nなったよね？","71","0","12","アヤネ","80001","0","0","0","","2","102301"
"あなたと出会って、\nもう1年がたったんですね…\nこれからもそばにいて、","72","0","12","チカ","80001","1","0","0","","1","104201"
"私のことを見守ってください\nできることなら、ずっと…","73","0","12","チカ","80001","1","0","0","","2","104201"
"お兄ちゃんと出会って1年かぁ\n私、相変わらずダメダメで…","74","0","12","クルミ","80001","2","0","0","","1","102101"
"で、でもこれからもずっと…\n一緒にいたいなぁ…","75","0","12","クルミ","80001","2","0","0","","2","102101"
"再会してちょうど1年だね\nお祝いにごちそう作ってきたよ～♪\n特製ケーキと、お寿司と、","76","0","13","シズル","80001","0","0","0","","1","104901"
