cbe92ab997594b8320a8f627562ee861f026b9c74dc5a1642c26d39756ba8b90,c55fbce6338251315af05cfc483006bae543e5e4c1b10a60d90777ab67101570,7d157e27998a29a71460e6d856de206b91e0016864ec9aee467af62596a1ed68,0ba91c614caff4f6d13b801cea02c2fc3660bebff7c953c252a1cbd4fca7a4c1,3373160476fb070609d826163bc380723c29d3adb4db395f3e87850026a5cf92
"12","5000000","1","94002","100101"
"2","2000","2","90008","100102"
"2","20","3","25001","100103"
"2","2500","4","90008","100104"
"2","30","5","25001","100105"
"8","300","6","91002","100106"
"2","1","7","41000","100107"
"12","5000000","8","94002","100108"
"12","1000000","9","94002","100109"
"12","1000000","10","94002","100110"
"12","1000000","11","94002","100111"
"2","400","12","20004","100112"
"2","300","13","20004","100113"
"2","200","14","20004","100114"
"12","1000000","15","94002","100115"
"12","1000000","16","94002","100116"
"12","1000000","17","94002","100117"
"2","400","18","20004","100118"
"2","300","19","20004","100119"
"2","200","20","20004","100120"
"12","1000000","21","94002","100121"
"12","1000000","22","94002","100122"
"12","1000000","23","94002","100123"
"2","400","24","20004","100124"
"2","300","25","20004","100125"
"2","200","26","20004","100126"
"12","5000000","27","94002","100201"
"2","2000","28","90008","100202"
"2","20","29","25001","100203"
"2","2500","30","90008","100204"
"2","30","31","25001","100205"
"8","300","32","91002","100206"
"2","1","33","41000","100207"
"12","5000000","34","94002","100208"
"12","1000000","35","94002","100209"
"12","1000000","36","94002","100210"
"12","1000000","37","94002","100211"
"2","400","38","20004","100212"
"2","300","39","20004","100213"
"2","200","40","20004","100214"
"12","1000000","41","94002","100215"
"12","1000000","42","94002","100216"
"12","1000000","43","94002","100217"
"2","400","44","20004","100218"
"2","300","45","20004","100219"
"2","200","46","20004","100220"
"12","1000000","47","94002","100221"
"12","1000000","48","94002","100222"
"12","1000000","49","94002","100223"
"2","400","50","20004","100224"
"2","300","51","20004","100225"
"2","200","52","20004","100226"
"12","5000000","53","94002","100301"
"2","2000","54","90008","100302"
"2","20","55","25001","100303"
"2","2500","56","90008","100304"
"2","30","57","25001","100305"
"8","300","58","91002","100306"
"2","1","59","41000","100307"
"12","5000000","60","94002","100308"
"12","1000000","61","94002","100309"
"12","1000000","62","94002","100310"
"12","1000000","63","94002","100311"
"2","400","64","20004","100312"
"2","300","65","20004","100313"
"2","200","66","20004","100314"
"12","1000000","67","94002","100315"
"12","1000000","68","94002","100316"
"12","1000000","69","94002","100317"
"2","400","70","20004","100318"
"2","300","71","20004","100319"
"2","200","72","20004","100320"
"12","1000000","73","94002","100321"
"12","1000000","74","94002","100322"
"12","1000000","75","94002","100323"
"2","400","76","20004","100324"
"2","300","77","20004","100325"
"2","200","78","20004","100326"
"12","5000000","79","94002","100401"
"2","2000","80","90008","100402"
"2","20","81","25001","100403"
"2","2500","82","90008","100404"
"2","30","83","25001","100405"
"8","300","84","91002","100406"
"2","1","85","41000","100407"
"12","5000000","86","94002","100408"
"12","1000000","87","94002","100409"
"12","1000000","88","94002","100410"
"12","1000000","89","94002","100411"
"2","400","90","20004","100412"
"2","300","91","20004","100413"
"2","200","92","20004","100414"
"12","1000000","93","94002","100415"
"12","1000000","94","94002","100416"
"12","1000000","95","94002","100417"
"2","400","96","20004","100418"
"2","300","97","20004","100419"
"2","200","98","20004","100420"
"12","1000000","99","94002","100421"
"12","1000000","100","94002","100422"
"12","1000000","101","94002","100423"
"2","400","102","20004","100424"
"2","300","103","20004","100425"
"2","200","104","20004","100426"
"12","5000000","105","94002","100501"
"2","2000","106","90008","100502"
"2","20","107","25001","100503"
"2","2500","108","90008","100504"
"2","30","109","25001","100505"
"8","300","110","91002","100506"
"2","1","111","41000","100507"
"12","5000000","112","94002","100508"
"12","1000000","113","94002","100509"
"12","1000000","114","94002","100510"
"12","1000000","115","94002","100511"
"2","400","116","20004","100512"
"2","300","117","20004","100513"
"2","200","118","20004","100514"
"12","1000000","119","94002","100515"
"12","1000000","120","94002","100516"
"12","1000000","121","94002","100517"
"2","400","122","20004","100518"
"2","300","123","20004","100519"
"2","200","124","20004","100520"
"12","1000000","125","94002","100521"
"12","1000000","126","94002","100522"
"12","1000000","127","94002","100523"
"2","400","128","20004","100524"
"2","300","129","20004","100525"
"2","200","130","20004","100526"
"12","5000000","131","94002","100601"
"2","2000","132","90008","100602"
"2","20","133","25001","100603"
"2","2500","134","90008","100604"
"2","30","135","25001","100605"
"8","300","136","91002","100606"
"2","1","137","41000","100607"
"12","5000000","138","94002","100608"
"12","1000000","139","94002","100609"
"12","1000000","140","94002","100610"
"12","1000000","141","94002","100611"
"2","400","142","20004","100612"
"2","300","143","20004","100613"
"2","200","144","20004","100614"
"12","1000000","145","94002","100615"
"12","1000000","146","94002","100616"
"12","1000000","147","94002","100617"
"2","400","148","20004","100618"
"2","300","149","20004","100619"
"2","200","150","20004","100620"
"12","1000000","151","94002","100621"
"12","1000000","152","94002","100622"
"12","1000000","153","94002","100623"
"2","400","154","20004","100624"
"2","300","155","20004","100625"
"2","200","156","20004","100626"
"12","5000000","157","94002","100701"
"2","2000","158","90008","100702"
"2","20","159","25001","100703"
"2","2500","160","90008","100704"
"2","30","161","25001","100705"
"8","300","162","91002","100706"
"2","1","163","41000","100707"
"12","5000000","164","94002","100708"
"12","1000000","165","94002","100709"
"12","1000000","166","94002","100710"
"12","1000000","167","94002","100711"
"2","400","168","20004","100712"
"2","300","169","20004","100713"
"2","200","170","20004","100714"
"12","1000000","171","94002","100715"
"12","1000000","172","94002","100716"
"12","1000000","173","94002","100717"
"2","400","174","20004","100718"
"2","300","175","20004","100719"
"2","200","176","20004","100720"
"12","1000000","177","94002","100721"
"12","1000000","178","94002","100722"
"12","1000000","179","94002","100723"
"2","400","180","20004","100724"
"2","300","181","20004","100725"
"2","200","182","20004","100726"
"12","5000000","183","94002","100801"
"2","2000","184","90008","100802"
"2","20","185","25001","100803"
"2","2500","186","90008","100804"
"2","30","187","25001","100805"
"8","300","188","91002","100806"
"2","1","189","41000","100807"
"12","5000000","190","94002","100808"
"12","1000000","191","94002","100809"
"12","1000000","192","94002","100810"
"12","1000000","193","94002","100811"
"2","400","194","20004","100812"
"2","300","195","20004","100813"
"2","200","196","20004","100814"
"12","1000000","197","94002","100815"
"12","1000000","198","94002","100816"
"12","1000000","199","94002","100817"
"2","400","200","20004","100818"
"2","300","201","20004","100819"
"2","200","202","20004","100820"
"12","1000000","203","94002","100821"
"12","1000000","204","94002","100822"
"12","1000000","205","94002","100823"
"2","400","206","20004","100824"
"2","300","207","20004","100825"
"2","200","208","20004","100826"
"12","5000000","209","94002","100901"
"2","2000","210","90008","100902"
"2","20","211","25001","100903"
"2","2500","212","90008","100904"
"2","30","213","25001","100905"
"8","300","214","91002","100906"
"2","1","215","41000","100907"
"12","5000000","216","94002","100908"
"12","1000000","217","94002","100909"
"12","1000000","218","94002","100910"
"12","1000000","219","94002","100911"
"2","400","220","20004","100912"
"2","300","221","20004","100913"
"2","200","222","20004","100914"
"12","1000000","223","94002","100915"
"12","1000000","224","94002","100916"
"12","1000000","225","94002","100917"
"2","400","226","20004","100918"
"2","300","227","20004","100919"
"2","200","228","20004","100920"
"12","1000000","229","94002","100921"
"12","1000000","230","94002","100922"
"12","1000000","231","94002","100923"
"2","400","232","20004","100924"
"2","300","233","20004","100925"
"2","200","234","20004","100926"
