2021b6a5b19e41dbb9c032c463b6a8191e54d4f10dc9c37c60fbd193376fa6f6,dc7a26ed097414abda059dd47c08bcadf31991314ef40f4942f49c1e78d02afe,fc3651601ee2415fbbc6327b00cee729a10cb401c95fecb08ce811daf97bb618,fa148f92049b2466c829b5f311230c8f5e6b3eb68976d4ae51ee1388a18fea34,cb8c8ca0c61d7779df36728265dae9ea98f579b2321d096a0bbd93a2387897a6,5fba66957b204a9adb10103116cf4f1e50e5cb220ee4d9ff63af8f3e3399278f,902b430eeea72bcb45b4ee7f35bb710351334c8ab0a31f5de1a8a39810750757,34b1cfc666a94b8ed9ceeb981ba7bd8ff468b268b8b2cab80406f6989b52cda5,85bbc35157230a54f721c23ab002b6354ea1e1632281ecfa21ab3b904a0a0977
"2","1","23001","1","2","","21600","1",""
"2","1","23001","1","3","","19800","2",""
"2","1","23001","1","3","","18000","3",""
"2","1","23001","1","3","","16200","4",""
"2","1","23001","1","4","","14400","5",""
"2","1","23001","1","4","","12960","6",""
"2","1","23001","1","5","","11520","7",""
"2","1","23001","1","6","","10080","8",""
"2","1","23001","1","7","","8640","9",""
"2","1","23001","1","8","","7200","10",""
"2","1","23001","1","10","","5760","11",""
"2","1","23001","1","12","","5040","12",""
"2","1","23001","1","14","","4320","13",""
"2","2","23001","1","16","","7200","14",""
"2","2","23001","1","18","","5400","15",""
"2","2","23001","1","18","","5040","16",""
"2","2","23001","1","18","","4800","17",""
"2","2","23001","1","20","","4500","18",""
"2","2","23001","1","20","","4320","19",""
"2","3","23001","1","24","","6000","20",""
"2","3","23001","1","48","","5700","21",""
"2","3","23001","1","48","","5400","22",""
"2","3","23001","1","51","","5220","23",""
"2","3","23001","1","54","","4980","24",""
"2","3","23001","1","54","","4800","25",""
"2","3","23001","1","60","","4500","26",""
"2","3","23001","1","60","","4320","27",""
"2","3","23001","1","63","","4200","28",""
"2","4","23001","1","64","","5400","29",""
"2","4","23001","1","68","","5220","30",""
"2","4","23001","1","72","","5040","31",""
"2","4","23001","1","72","","4920","32",""
"2","4","23001","1","72","","4800","33",""
"2","4","23001","1","76","","4680","34",""
"6","20","93001","2","80","","21600","1",""
"6","24","93001","2","96","","21600","2",""
"6","28","93001","2","112","","21600","3",""
"6","30","93001","2","120","","21600","4",""
"6","32","93001","2","128","","21600","5",""
"6","34","93001","2","136","","21600","6",""
"6","36","93001","2","144","","21600","7",""
"6","38","93001","2","152","","21600","8",""
"6","40","93001","2","160","","21600","9",""
"6","42","93001","2","168","","21600","10",""
"6","44","93001","2","176","","21600","11",""
"6","46","93001","2","184","","21600","12",""
"6","48","93001","2","192","","21600","13",""
"6","50","93001","2","200","","21600","14",""
"6","52","93001","2","208","","21600","15",""
"6","54","93001","2","216","","21600","16",""
"6","56","93001","2","224","","21600","17",""
"6","58","93001","2","232","","21600","18",""
"6","60","93001","2","240","","21600","19",""
"6","62","93001","2","248","","21600","20",""
"6","64","93001","2","256","","21600","21",""
"6","66","93001","2","264","","21600","22",""
"6","68","93001","2","272","","21600","23",""
"6","70","93001","2","280","","21600","24",""
"6","72","93001","2","288","","21600","25",""
"6","74","93001","2","296","","21600","26",""
"6","76","93001","2","304","","21600","27",""
"6","78","93001","2","312","","21600","28",""
"6","80","93001","2","320","","21600","29",""
"6","82","93001","2","328","","21600","30",""
"6","84","93001","2","336","","21600","31",""
"6","85","93001","2","340","","21600","32",""
"6","86","93001","2","344","","21600","33",""
"6","87","93001","2","348","","21600","34",""
"2","1","20001","3","3","","14400","1",""
"2","1","20001","3","5","","9600","2",""
"2","1","20001","3","7","","7200","3",""
"2","1","20001","3","10","","5400","4",""
"2","1","20001","3","15","","3600","5",""
"2","1","20002","3","6","","9600","6",""
"2","1","20002","3","8","","7200","7",""
"2","1","20002","3","12","","4800","8",""
"2","1","20002","3","16","","3600","9",""
"2","1","20002","3","20","","2700","10",""
"2","1","20003","3","6","","10800","11",""
"2","1","20003","3","8","","9000","12",""
"2","1","20003","3","12","","7200","13",""
"2","1","20003","3","16","","5400","14",""
"2","1","20003","3","20","","3600","15",""
"2","1","20003","3","30","","2880","16",""
"2","1","20004","3","7","","12600","17",""
"2","1","20004","3","8","","11400","18",""
"2","1","20004","3","9","","10200","19",""
"2","1","20004","3","10","","9300","20",""
"2","1","20004","3","10","","8700","21",""
"2","1","20004","3","13","","6600","22",""
"2","1","20004","3","14","","6300","23",""
"2","1","20004","3","15","","6000","24",""
"2","1","20004","3","15","","5700","25",""
"2","1","20004","3","16","","5400","26",""
"2","1","20004","3","17","","5100","27",""
"2","1","20004","3","18","","4860","28",""
"2","1","20004","3","19","","4620","29",""
"2","1","20004","3","20","","4440","30",""
"2","1","20004","3","21","","4260","31",""
"2","1","20004","3","22","","4080","32",""
"2","1","20004","3","22","","3960","33",""
"2","1","20004","3","23","","3840","34",""
"12","3000","94002","4","12000","","21600","1",""
"12","4500","94002","4","18000","","21600","2",""
"12","6000","94002","4","24000","","21600","3",""
"12","7500","94002","4","30000","","21600","4",""
"12","10500","94002","4","42000","","21600","5",""
"12","13500","94002","4","54000","","21600","6",""
"12","16500","94002","4","66000","","21600","7",""
"12","21000","94002","4","84000","","21600","8",""
"12","25500","94002","4","102000","","21600","9",""
"12","30000","94002","4","120000","","21600","10",""
"12","36000","94002","4","144000","","21600","11",""
"12","42000","94002","4","168000","","21600","12",""
"12","48000","94002","4","192000","","21600","13",""
"12","55500","94002","4","222000","","21600","14",""
"12","63000","94002","4","252000","","21600","15",""
"12","70500","94002","4","282000","","21600","16",""
"12","79500","94002","4","318000","","21600","17",""
"12","88500","94002","4","354000","","21600","18",""
"12","97500","94002","4","390000","","21600","19",""
"12","108000","94002","4","432000","","21600","20",""
"12","118500","94002","4","474000","","21600","21",""
"12","129000","94002","4","516000","","21600","22",""
"12","140500","94002","4","562000","","21600","23",""
"12","150000","94002","4","600000","","21600","24",""
"12","160500","94002","4","642000","","21600","25",""
"12","171000","94002","4","684000","","21600","26",""
"12","181500","94002","4","726000","","21600","27",""
"12","192000","94002","4","768000","","21600","28",""
"12","202500","94002","4","810000","","21600","29",""
"12","213000","94002","4","852000","","21600","30",""
"12","223500","94002","4","894000","","21600","31",""
"12","230000","94002","4","920000","","21600","32",""
"12","235000","94002","4","940000","","21600","33",""
"12","240000","94002","4","960000","","21600","34",""
"6","12","93001","5","48","","21600","1",""
"6","12","93001","6","48","","21600","1",""
"6","12","93001","7","48","","21600","1",""
"6","12","93001","8","48","","21600","1",""
"6","12","93001","11","48","","21600","1",""
"6","12","93001","12","48","","21600","1",""
"6","12","93001","19","48","","21600","1",""
"0","1","0","23","0","14999999999","0","0","4999999999"
"6","12","93001","25","48","","21600","1",""
"6","12","93001","28","48","","21600","1",""
"6","12","93001","30","48","","21600","1",""
