bd54a430f97b92407af24b30b3035c0fc9a85380e091a7b0486692b058b9fd1e,1f287a0bf3177f9e7b1d60fc3a1b698601f5cdbed6abed1d33e590c29cbff47d,b61444bfb74ed7d1c6bf4835f86008f1df518e4bd1beca78dcf0038c3d38f8fa,f57ae6c12faf69f995a5adc7b98efd1b1c2bc05f5b7456fe32e3c84e3e914c5d,b6cc57d3e2397d1bbde1e1dc0ba3854588cd3c54fe9a6ad845101d359b80076f,ee3a63465ab869901cbe886fe03a165f05695972c9db1230e276044b0cbc4fff,71caebdb25a77c342d488c5b2f2c919a10806ca1a8037c65d058146b9cddc1d3,b23892464177335c2bce2d16539df09c8b4dcc4671d7746ef1452a512615fb9b
"1","52001","1","1","0","0","1","【料理】ダイスが2個に増える"
"1","52002","1","1","0","0","2","【料理】ダイスの目が必ず「1」になる"
"2","52002","3","1","0","0","3","【料理】次のターン数のカウントをスキップする"
"1","52004","1","1","0","0","4","【料理】ダイスの目が必ず「4」になる"
"1","52006","1","1","0","0","5","【料理】ダイスの目が\n「4・5・6」のみになる"
"1","52007","1","1","0","0","6","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる"
"1","52003","1","1","0","0","7","【料理】ダイスの目が必ず「5」になる"
"7","52008","2","1","0","0","8","【料理】マイルマスの獲得マイルが200%アップする"
"2","4","3","2","0","0","9","【イベント】次のターン数のカウントをスキップする"
"3","5","2","2","0","0","10","【イベント】マイルマスの獲得マイルが100%アップする"
"5","6","2","2","0","0","11","【イベント】ミニゲームの獲得マイルが100%アップする"
"4","7","3","2","0","0","12","【イベント】マイルショップの全商品が20%以上割引される"
"1","52009","1","1","0","0","13","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる"
"6","52010","2","1","0","0","14","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる"
"1","52011","1","1","0","0","15","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる"
"1","52012","1","1","0","0","16","【料理】ダイスの目が\n「1・2・3」のみになる"
"2","52012","3","1","0","0","17","【料理】次のターン数のカウントをスキップする"
"8","52014","1","1","0","0","18","【料理】移動時にマイルマスをスキップできる"
"1","52005","1","1","0","0","19","【料理】次回移動時に1マス分多く進める"
"1","52014","1","1","2","2","20","【料理】次回移動時に1マス分多く進める"
"1","52015","1","1","0","0","21","【料理】ダイスが2個に増える"
"1","52015","1","1","0","0","22","【料理】次回移動時に1マス分多く進める"
"1","52016","1","1","0","0","23","【料理】ダイスの目が必ず「6」になる"
"9","52017","1","1","0","0","24","【料理】移動系カテゴリーの料理が食べられなくなる"
"1","52018","1","1","0","0","25","【料理】ダイスの目が必ず「3」になる"
"1","52019","1","1","0","0","26","【料理】ダイスの目が必ず「8」になる"
"2","98011","3","2","0","0","27","【イベント】次のターン数のカウントをスキップする"
"2","98012","3","2","0","0","28","【イベント】次のターン数のカウントをスキップする"
"10","52020","2","1","0","0","29","【料理】移動時にマイルマスをスキップできる"
"1","52020","1","1","2","2","30","【料理】次回移動時に1マス分多く進める"
"10","52021","2","1","0","0","31","【料理】移動時にトレジャーマスをスキップできる"
"1","52022","1","1","0","0","32","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる"
"1","52023","1","1","0","0","33","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる"
"1","52024","1","1","0","0","34","【料理】次回移動時に3マス分多く進める"
"10","52025","2","1","0","0","35","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる"
"1","52027","1","1","0","0","36","【料理】ダイスの目が必ず「5」になる"
"1","52028","1","1","0","0","37","【料理】ダイスの目が\n「1・2」のみになる"
"1","52029","1","1","0","0","38","【料理】ダイスの目が必ず「2」になる"
"2","52029","3","1","0","0","39","【料理】次のターン数のカウントをスキップする"
"4","8","3","2","0","0","40","【イベント】マイルショップの全商品が20%以上割引される"
"11","52030","3","1","0","0","41","【料理】「マイルマス」を「トレジャーマス」に変化させる"
"1","52031","1","1","0","0","42","【料理】ダイスの目が\n「1・6・6・6・8・8」になる"
"10","52032","2","1","0","0","43","【料理】移動時に料理マスをスキップできる"
"8","52034","1","1","0","0","44","【料理】移動時にマイルマスをスキップできる"
"1","52036","1","1","0","0","45","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる"
"6","52037","2","1","0","0","46","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる"
"1","52038","1","1","0","0","47","【料理】ダイスが2個に増える"
"11","52039","3","1","0","0","48","【料理】「マイルマス」を「ショップマス」に変化させる"
"10","52040","2","1","0","0","49","【料理】移動時にトレジャーマスをスキップできる"
