e9926b976167e5b37dd9a21acfba8a2f98afea1d8834eea8c8606e3dc71dcf17,d9f825ddc835966cb17343db908bad4eb83104b6ec141d3af55e4365ee20603b,b707546d3f9b89c09d31ee0ca0b52603a03f3f182c93dfc76db197d4b12c9e4f,df6778c30cf53a9dbcf091d368d58b8f4865c30b665d1355a0e3c5d9f7360b94,adde25b112526fe16f9befe61485f6ebb9fcb801a202883659c6af02ceab26a8
"1000","32000101","320001011","2","25011"
"1000","32000101","320001012","2","25012"
"1000","32000102","320001021","2","25013"
"1000","32000102","320001022","2","25014"
"1000","32000103","320001031","8","91002"
"3000000","32000103","320001032","12","94002"
"1000","32000103","320001033","2","25015"
"1000","32000103","320001034","2","25021"
"1000","32000104","320001041","2","25013"
"1000","32000104","320001042","2","25014"
"1000","32000105","320001051","2","25012"
"1000","32000105","320001052","2","25015"
"1000","32000106","320001061","8","91002"
"3000000","32000106","320001062","12","94002"
"1000","32000106","320001063","2","25011"
"1000","32000106","320001064","2","25021"
"1000","32000107","320001071","2","25014"
"1000","32000107","320001072","2","25015"
"1000","32000108","320001081","2","25011"
"1000","32000108","320001082","2","25013"
"1000","32000109","320001091","8","91002"
"3000000","32000109","320001092","12","94002"
"1000","32000109","320001093","2","25012"
"1000","32000109","320001094","2","25021"
"3000","32000110","320001101","2","25011"
"3000","32000110","320001102","2","25012"
"3000","32000110","320001103","2","25013"
"3000","32000110","320001104","2","25014"
"3000","32000110","320001105","2","25015"
"3000","32000111","320001111","2","25011"
"3000","32000111","320001112","2","25012"
"3000","32000111","320001113","2","25013"
"3000","32000111","320001114","2","25014"
"3000","32000111","320001115","2","25015"
"3000","32000112","320001121","2","25011"
"3000","32000112","320001122","2","25012"
"3000","32000112","320001123","2","25013"
"3000","32000112","320001124","2","25014"
"3000","32000112","320001125","2","25015"
"1","32000113","320001131","2","21953"
"2000","32000113","320001132","2","25021"
