e47bce633d0a7139febf07c7d9fd1cfec6261f309675bad19ac3ba5f404140f5,4a26e84d31b13ba3203e7899277f7e6c11103534c55f42ac52d2cb847fd4e635,6feec14b628b798bc266bcc7f70eef1fdef07ffedd4c5f4740b42dd84fd7881a,2edf3f61e89030391fe936b6ad05ebb25b3198700d6c5d578cb4773b9e111f30,0a901bbc08b37396cb8ea0de2c95982861598eca1172301c8a8ac0bf5b504be7
"box_rank_1-3","99002","1","ランダムな装備が獲得できる。","ランダム装備BOX"
"eq_rank_3-6","99002","2","キャラのRANK1～4で必要となる装備アイテム","RANK3～6の装備アイテム"
"eq_rank_4-7","99002","3","キャラのRANK4～7で必要となる装備アイテム","RANK4～7の装備アイテム"
"1000120101","99002","4","","ハツネのメモリーピース"
"1000120102","99002","5","","シオリのメモリーピース"
"1000220101","99002","6","","ミソギのメモリーピース"
"1000220102","99002","7","","ミミのメモリーピース"
"1000320101","99002","8","","マホのメモリーピース"
"1000320102","99002","9","","カオリのメモリーピース"
"1000420101","99002","10","","コッコロ（サマー）のメモリーピース"
"1000420102","99002","11","","サレンのメモリーピース"
"eq_rank_5-8","99002","12","キャラのRANK5～8で必要となる装備アイテム","RANK5～8の装備アイテム"
"1000520101","99002","13","","ミフユ（サマー）のメモリーピース"
"1000520102","99002","14","","アキノのメモリーピース"
"1000620101","99002","15","","ジュンのメモリーピース"
"1000620102","99002","16","","ユカリのメモリーピース"
"1000720101","99002","17","","ミヤコ（ハロウィン）のメモリーピース"
"1000720102","99002","18","","ヨリのメモリーピース"
"1000820101","99002","19","","アンナのメモリーピース"
"1000820102","99002","20","","ミツキのメモリーピース"
"1000920101","99002","21","","クルミ（クリスマス）のメモリーピース"
"1000920102","99002","22","","ノゾミのメモリーピース"
"1001020101","99002","23","","レイ（ニューイヤー）のメモリーピース"
"1001020102","99002","24","","ユイのメモリーピース"
"1001120101","99002","25","","エリコ（バレンタイン）のメモリーピース"
"1001120102","99002","26","","リノのメモリーピース"
"1001220101","99002","27","","マコトのメモリーピース"
"1001220102","99002","28","","ユキのメモリーピース"
"1001320101","99002","29","","ルゥのメモリーピース"
"1001320102","99002","30","","イオのメモリーピース"
"1001420101","99002","31","","ハツネのメモリーピース"
"1001420102","99002","32","","シオリのメモリーピース"
"1001520101","99002","33","","マコトのメモリーピース"
"1001520102","99002","34","","ユキのメモリーピース"
"1001620101","99002","35","","ミソギのメモリーピース"
"1001620102","99002","36","","ミミのメモリーピース"
"box_rank_2-4","99002","37","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_2-5","99002","38","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_3-6","99002","39","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_4-5","99002","40","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_6-7","99002","41","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_7-8","99002","42","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_8-10","99002","43","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_8-11","99002","44","ランダムな装備が獲得できる。","ランダム装備BOX"
"box_rank_9-12","99002","45","ランダムな装備が獲得できる。","ランダム装備BOX"
"1001720101","99002","46","","ラムのメモリーピース"
"1001720102","99002","47","","スズメのメモリーピース"
"1001820101","99002","48","","マホのメモリーピース"
"1001820102","99002","49","","カオリのメモリーピース"
"1001920101","99002","50","","イオ（サマー）のメモリーピース"
"1001920102","99002","51","","ミサキのメモリーピース"
"1002020103","99002","52","","コッコロ（サマー）のメモリーピース"
"1002020104","99002","53","","サレンのメモリーピース"
"1002120103","99002","54","","カオリ（サマー）のメモリーピース"
"1002120104","99002","55","","カスミのメモリーピース"
