1e14eccb363280dfb959d742ea358ce313a4a2033964549f934a6adbb6a7f675,5e4a5680603a4672d8ff61f90238db208803e0ca9172ef4fde33087b65703cfd
"999999999","1"
"5","2"
"3","3"
"1","4"
"1","5"
"2","6"
"3","7"
"9","10"
"2","11"
"4","12"
"6","13"
"7","14"
"2","100"
"300","101"
"600","102"
"1200","103"
"2400","104"
"4800","105"
"9999","106"
"500","201"
"500","202"
"500","203"
"500","204"
"500","205"
"100","211"
"100","212"
"100","213"
"100","214"
"100","215"
"100","221"
"200","222"
"100","223"
"1000","224"
"1500","225"
