a32f47ffc4fecd186fe56533d1adadbf985057db026497dfab24c4a3dfa17a2d,dd1e2791485857f4867f7342c60cb041b0582786ffb4e40cb89463b72c2d1b34,2744ec19f35868b3458468a628c1ff6fe2a15b3a039bc45a73a1acc04ffbb7a6,fd4b1dcb63cb73aee548bfdac50860f11660396c98c98b614f7c303b5168804c,5bc5c40473b09b2f73e5a2f5d0ac13aaaa7cf7ae345185841ffc59c1caaa6d76,f5f1d521284e57c815065e09ea14d94a3c169b3e2758d8d2f9184f45828449ec,306848899c667b358579aafa1c8bf372aaf05d7c646e54c8f61689217f73464c,7751b66eaa75593ebbe49609fb03ef2e4b89e46696a46b4d6ac0e57036a1c82a,55916b51f00c8b1ea5937daad1344788d664930b0faa467d40e3cc0c3ae13d42,377b8dee6be11bbda12b171053bbffe97d1239a7f98ee1baefc34d8224cabed4
"3","10001","2","8","","2","-1","53003","15","22"
"3","10002","1","5","","1","14","53003","1","22"
"3","10003","0","2","ワカナの施し","0","0","52019","0","23"
"4","10004","2","8","","2","-1","53003","15","22"
"4","10005","1","5","","1","14","53003","1","22"
"4","10006","0","2","ワカナの施し","0","0","52019","0","23"
"5","10007","2","8","","2","-1","53003","15","22"
"5","10008","1","5","","1","14","53003","1","22"
"5","10009","0","2","ワカナの施し","0","0","52019","0","23"
"6","10010","2","8","","2","-1","53003","15","22"
"6","10011","1","5","","1","14","53003","1","22"
"6","10012","0","2","ワカナの施し","0","0","52019","0","23"
"7","10013","2","8","","2","-1","53003","15","22"
"7","10014","1","5","","1","14","53003","1","22"
"7","10015","0","2","ワカナの施し","0","0","52019","0","23"
"8","10016","2","8","","2","-1","53003","15","22"
"8","10017","1","5","","1","14","53003","1","22"
"8","10018","0","2","ワカナの施し","0","0","52019","0","23"
"9","10019","2","8","","2","-1","53003","15","22"
"9","10020","1","5","","1","14","53003","1","22"
"9","10021","0","2","ワカナの施し","0","0","52019","0","23"
"10","10022","2","8","","2","-1","53003","15","22"
"10","10023","1","5","","1","14","53003","1","22"
"10","10024","0","2","ワカナの施し","0","0","52019","0","23"
"11","10025","2","8","","2","-1","53003","15","22"
"11","10026","1","5","","1","14","53003","1","22"
"11","10027","0","2","ワカナの施し","0","0","52019","0","23"
