20c436a2e9fd78638a01fcdaa0f737e7af6aa493a134c3c2020a4cb728a586ed,713ccf764ddcbdccb8b1a52917833e9168aa10ed79f5f9b1b77086a6e3fff334,b65268491023f45917f4f36e7425ada2471f880bef07833fcd82654fffea014b,e6079e7378075b8cc32e4f5c87c13a7f40fbdbb01b6e9801ef87c8cc7140ca63,b773bc45442a18ffa2b6f86932d699c7f7b053eb156e52be4b5f8da67d527251,855bd1ac5a52160ea9f5a53443480028d8c5673027828b04f2d9061de124f124,914b178514286480c16ab2240bf54fd456b63c927c9000cfc7beed87437b1a54
"累計スコアを2500pt 獲得しよう","1","50000","5126700","2500","12","94002"
"累計スコアを5000pt 獲得しよう","1","50000","0","5000","12","94002"
"累計スコアを7500pt 獲得しよう","1","50000","0","7500","12","94002"
"累計スコアを10000pt 獲得しよう","1","1","5126701","10000","7","2839"
"累計スコアを12500pt 獲得しよう","1","80000","0","12500","12","94002"
"累計スコアを15000pt 獲得しよう","1","80000","0","15000","12","94002"
"累計スコアを17500pt 獲得しよう","1","80000","0","17500","12","94002"
"累計スコアを20000pt 獲得しよう","1","25","5126702","20000","8","91002"
"累計スコアを22500pt 獲得しよう","1","100000","0","22500","12","94002"
"累計スコアを25000pt 獲得しよう","1","100000","0","25000","12","94002"
"累計スコアを27500pt 獲得しよう","1","100","0","27500","8","91002"
"累計スコアを30000pt 獲得しよう","1","1","5126703","30000","15","11001262"
"累計スコアを2500pt 獲得しよう","2","50000","5126710","2500","12","94002"
"累計スコアを5000pt 獲得しよう","2","50000","0","5000","12","94002"
"累計スコアを7500pt 獲得しよう","2","50000","0","7500","12","94002"
"累計スコアを10000pt 獲得しよう","2","1","5126711","10000","7","2840"
"累計スコアを12500pt 獲得しよう","2","80000","0","12500","12","94002"
"累計スコアを15000pt 獲得しよう","2","80000","0","15000","12","94002"
"累計スコアを17500pt 獲得しよう","2","80000","0","17500","12","94002"
"累計スコアを20000pt 獲得しよう","2","25","5126712","20000","8","91002"
"累計スコアを22500pt 獲得しよう","2","100000","0","22500","12","94002"
"累計スコアを25000pt 獲得しよう","2","100000","0","25000","12","94002"
"累計スコアを27500pt 獲得しよう","2","100","0","27500","8","91002"
"累計スコアを30000pt 獲得しよう","2","1","5126713","30000","15","11001263"
