92d4020b469acd50803096dfe37d5d17adc3e3bb5071094641a82565abb9cb8e,3c33c395c1a9df4a2dc6bd61694a0308fcce70a28e85db1e8610439adb24ff7a,f5bafae0ff42dbe1d91a92d01a2eff0ae3b058e6c81832190e4c3c310a7d3373,9fbdd782c39bcebaeea94188c0d24e6a12816382cbdc93736a399fd2454841a2,7d2a464ed8383eef49e0f8075e22b1332b81401320074be0b403914e955dfec3,edcd8f0ab0705634ec8e53ebd9f2560f64cc965c7de9fa10bce36d37b1a7ece4,6806af250ceb286fc027ba510028732c815bd8cbc661c7eea2892bea9231771f,b2278c44714790351c122953760f35090480111cfa80878bac358bf6d7841d64,0c6b5c92123eb3fe2684092f4f2b3929e7156713f58a43802e0be5cf04e66f3f,0957d381e5b51f7bdd58771b8170e65756cb09482ad81a7471709fbef2edebf9,b3a64a0991427622e200bb69cfd7268500314b969818798af5f6abaf1c4fb71b
"1","118511","1","100","1.65","1","-194","1001","72","1","taq_karin_idle"
"","vo_minigame_1009_top_001","21","0","","vo_minigame_1009","","1002","0","1",""
"0","賞品も用意して\nいますので頑張って\nくださいね♪","11","8","0","118511","0","1003","0","1","0"
"","taq_karin_talk_normal","3","1","0.2","118511","","1004","","1",""
"","","91","","","1003","","1005","","1",""
"","taq_karin_idle","3","1","0.2","118511","","1006","","1",""
"1","118511","1","100","1.65","1","-194","2001","72","2","taq_karin_idle"
"","vo_minigame_1009_top_002","21","0","","vo_minigame_1009","","2002","0","2",""
"0","みなさんの知識が\n試されますよ","11","8","0","118511","0","2003","0","2","0"
"","taq_karin_talk_thinking","3","1","0.2","118511","","2004","","2",""
"","","91","","","2003","","2005","","2",""
"","taq_karin_idle","3","1","0.2","118511","","2006","","2",""
"1","118511","1","100","1.65","1","-194","3001","72","3","taq_karin_idle"
"","vo_minigame_1009_top_003","21","0","","vo_minigame_1009","","3002","0","3",""
"0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","11","8","0","118511","0","3003","0","3","0"
"","taq_karin_talk_surprise","3","1","0.2","118511","","3004","","3",""
"","","91","","","3003","","3005","","3",""
"","taq_karin_idle","3","1","0.2","118511","","3006","","3",""
"1","118511","1","100","1.65","1","-194","4001","72","4","taq_karin_idle"
"","vo_minigame_1009_top_004","21","0","","vo_minigame_1009","","4002","0","4",""
"0","わからないときは\n勘に頼ってみても\nいいと思います","11","8","0","118511","0","4003","0","4","0"
"","taq_karin_talk_normal2","3","1","0.2","118511","","4004","","4",""
"","","91","","","4003","","4005","","4",""
"","taq_karin_idle","3","1","0.2","118511","","4006","","4",""
"1","118511","1","100","1.65","1","-194","5001","72","5","taq_karin_idle"
"","vo_minigame_1009_top_005","21","0","","vo_minigame_1009","","5002","0","5",""
"0","仲よく協力して\n全問正解を\n目指してくださいね♪","11","7","0","118511","0","5003","0","5","0"
"","taq_karin_talk_joy3","3","1","0.2","118511","","5004","","5",""
"","","91","","","5003","","5005","","5",""
"","taq_karin_idle","3","1","0.2","118511","","5006","","5",""
