419b6fec6c89f1d096fcaf7d7072f3c54e0f4c8e130c367f0beedd06173cd6ab,2620b955ba454fbc5bd759fd89fba1f7569edaf199aa12a89de18cd8e5311a85,8df51ccb900335ccc3bf8a35e3f30411c7c410c8c5d28e232585bb78ecacd2a5,d42b8d92be732237a771d2616b47567116a29d28b8ba3e0eb0d01461d306ce13,abd099b2c68089755a2a58b3c20eed03aa03ca96ffa57e3fa3ef65d95de9cc4e,6a79b9e0dddc53c1cb0f7bf3892e191df3af6ff19057014f67f6bbdbcf0e01b5
"1110111","111011101","0","101001","1","1"
"1110211","111021101","0","101002","1","1"
"1330111","133011101","0","301","3","1"
"1330112","133011201","0","301","3","1"
"1330201","133020101","500","302","3","0"
"1330202","133020201","500","302","3","0"
"1330301","133030101","1","303","3","0"
"1330302","133030201","250","303","3","0"
"1330303","133030301","1","303","3","0"
"1330304","133030401","1","303","3","0"
"1330305","133030501","250","303","3","0"
"1330306","133030601","1","303","3","0"
"1330401","133040101","1000","304","3","0"
"1330402","133040201","1000","304","3","0"
"1330403","133040301","1000","304","3","0"
"1330404","133040401","1000","304","3","0"
"1330511","133051101","0","305","3","1"
"1330512","133051201","0","305","3","1"
"1340101","134010101","1","401","3","0"
"1340102","134010201","1","401","3","0"
"1340211","134021101","0","402","3","1"
"1340212","134021201","0","402","3","1"
"1400101","140010101","1","1","4","0"
"1400102","140010201","1","1","4","0"
"1400103","140010301","10","1","4","0"
"1400201","140020101","0","2","4","0"
"2100001","210000101","0","0","1","0"
"2110301","211030101","0","101003","1","0"
"2210101","221010101","0","100001","2","0"
"2210201","221020101","0","100002","2","0"
"2210301","221030101","0","100003","2","0"
"2210501","221050101","0","100005","2","0"
"2210701","221070101","0","100007","2","0"
"2210801","221080101","0","100008","2","0"
"2210901","221090101","0","100009","2","0"
"2211001","221100101","0","100010","2","0"
"2211101","221110101","0","100011","2","0"
"2211201","221120101","0","100012","2","0"
"2211301","221130101","0","100013","2","0"
"2211401","221140101","0","100014","2","0"
"2211601","221160101","0","100016","2","0"
"2211701","221170101","0","100017","2","0"
"2220201","222020101","0","201020","1","0"
"2220401","222040101","0","201040","1","0"
"2220501","222050101","0","201050","1","0"
"2220601","222060101","0","201060","1","0"
"2220701","222070101","0","201070","1","0"
"2220801","222080101","0","201080","1","0"
"2220901","222090101","0","201090","1","0"
"2221001","222100101","0","201100","1","0"
"2221101","222110101","0","201110","1","0"
"2221301","222130101","0","201130","1","0"
"2221401","222140101","0","201140","1","0"
"2221601","222160101","0","201160","1","0"
"2221801","222180101","0","201180","1","0"
"2221901","222190101","0","201190","1","0"
"2222001","222200101","0","201200","1","0"
"2222101","222210101","0","201210","1","0"
"2222201","222220101","0","201220","1","0"
"2222301","222230101","0","201230","1","0"
"2222401","222240101","0","201240","1","0"
"2222501","222250101","0","201250","1","0"
"2222701","222270101","0","201270","1","0"
"2222801","222280101","0","201280","1","0"
"2222901","222290101","0","201290","1","0"
"2223001","222300101","0","201300","1","0"
"2223201","222320101","0","201320","1","0"
"2223401","222340101","0","201340","1","0"
"2223501","222350101","0","201350","1","0"
"2223601","222360101","0","201360","1","0"
"2223701","222370101","0","201370","1","0"
"2223801","222380101","0","201380","1","0"
"2223901","222390101","0","201390","1","0"
"2224001","222400101","0","201400","1","0"
"2224101","222410101","0","201410","1","0"
"2224301","222430101","0","201430","1","0"
"2224401","222440101","0","201440","1","0"
"2224701","222470101","0","201470","1","0"
"2224801","222480101","0","201480","1","0"
"2224901","222490101","0","201490","1","0"
"2330101","233010101","1000","301","3","0"
"2330501","233050101","1000","305","3","0"
"2340201","234020101","0","402","3","0"
"2340301","234030101","0","403","3","0"
"2400101","240010101","0","1","4","0"
"3100001","310000101","0","0","1","0"
"3100002","310000102","0","0","1","0"
"3110101","311010101","0","101001","1","0"
"3110201","311020101","0","101002","1","0"
