e51039a181e623751f9a938f232ddeeeedefe4ad9cc8a17010eaf41486fbe944,8b6ce350a37a4fbe968588dc375b26cc890ebe0011e387c92558c2355c064f14,f9b5a6693fe7e47fd609409e666e8f5371b1c1006a1fd6ec3135999d9d0f9349,ce5f340e067a79547675581a423c971534c5a7b882d9830fee97fa3c88c93380,5909029aee0266db288211ff0b730d9171cd68e3adcad832ac80d55820b6afda,8f1d152dd5726ac7b6ec4213641bfea1c0f7fee22d7741410ddb0b241b6e49b0,ce5f882f78cd59de35b42da362e90c06937643350bab89bfe953b66254dcaa22,883787c39e4c8a916e2e0fb55045c757fb49ed49867f080393315041263887cb,b8c9fd4bbf23c4c77c33d23ffebbe0de3d0805d13e7026303565a6c2a70382d2,b209ba53efcdd7b00a28cf29a2d800dfddf60f693f06f6be5e18e6c85b31fe1e,8f92c4c2e0b1aff7debcd13642e53415bd77383a74387a7479a738a49c80e4b8,cb34158ccf40a4a872838488d16c87c287e50e3ce4c73c79148a6a002959e0ee,a7dbca13c1e2a775db22ffdefe56730763d2d8cc2711efcee866969992daef0f,b34e50555db8043805c0ba6a6d91d041a8f8ac029a52079296bf24dd859f1212,e978e30b2c47159604b00839c3a1b3795144b856c5714d22f61241134e998306,a049e7553848d9fb4a946ff6b0ddc5948d967a6acec4b788f464f174ae685bcf,b2f068d339ffe387123a8a61da113ed7fc28dd48f2c575f66978a76e5096585b,7823d6a708ca40ecbd68d16070e8ce9fa5ab526c1942f7bbd598e0d2942de026,2a8c853767860ee38481b9895a964becd71068219a94da706ce805c2f6851c2b,f3a6fd93424448e98dd49266c261f122b0052a373097d0cca237ef795db959a1,42313398eabcbe966744085bf673554567733f996718b0bb92cf63b71e35cef1
"1","1","0","0","91002","2","500","8","0","0","1001","2","1","0","31043","90006","5","0","0","1","500"
"2","2","0","0","91002","2","1000","8","0","0","1001","2","2","0","31043","90006","8","0","0","1","1000"
"3","3","0","0","91002","2","1500","8","0","0","1001","2","3","0","31043","90006","10","0","0","1","1500"
"4","4","0","0","91002","2","2000","8","0","0","1001","2","4","0","31043","90006","12","0","0","1","2000"
"5","5","0","0","91002","2","2500","8","0","0","1001","2","5","0","31043","90006","14","0","0","1","2500"
"6","6","0","0","91002","2","3000","8","0","0","1001","2","6","0","31043","90006","16","0","0","1","3000"
"7","7","0","0","91002","2","3500","8","0","0","1001","2","7","0","31043","90006","18","0","0","1","3500"
"8","8","0","0","91002","2","4000","8","0","0","1001","2","9","0","31043","90006","20","0","0","1","4000"
"9","10","0","0","91002","2","4500","8","0","0","1001","2","-1","0","31043","90006","25","0","0","1","4500"
"10","1","0","0","91002","2","500","8","0","0","1002","2","1","0","31022","90006","5","0","0","1","500"
"11","2","0","0","91002","2","1000","8","0","0","1002","2","2","0","31022","90006","8","0","0","1","1000"
"12","3","0","0","91002","2","1500","8","0","0","1002","2","3","0","31022","90006","10","0","0","1","1500"
"13","4","0","0","91002","2","2000","8","0","0","1002","2","4","0","31022","90006","12","0","0","1","2000"
"14","5","0","0","91002","2","2500","8","0","0","1002","2","5","0","31022","90006","14","0","0","1","2500"
"15","6","0","0","91002","2","3000","8","0","0","1002","2","6","0","31022","90006","16","0","0","1","3000"
"16","7","0","0","91002","2","3500","8","0","0","1002","2","7","0","31022","90006","18","0","0","1","3500"
"17","8","0","0","91002","2","4000","8","0","0","1002","2","8","0","31022","90006","20","0","0","1","4000"
"18","9","0","0","91002","2","4500","8","0","0","1002","2","9","0","31022","90006","25","0","0","1","4500"
"19","10","0","0","91002","2","5000","8","0","0","1002","2","-1","0","31022","90006","30","0","0","1","5000"
"20","1","0","0","91002","2","500","8","0","0","1003","2","1","0","31042","90006","5","0","0","1","500"
"21","2","0","0","91002","2","1000","8","0","0","1003","2","2","0","31042","90006","8","0","0","1","1000"
"22","3","0","0","91002","2","1500","8","0","0","1003","2","3","0","31042","90006","10","0","0","1","1500"
"23","4","0","0","91002","2","2000","8","0","0","1003","2","4","0","31042","90006","12","0","0","1","2000"
"24","5","0","0","91002","2","2500","8","0","0","1003","2","5","0","31042","90006","14","0","0","1","2500"
"25","6","0","0","91002","2","3000","8","0","0","1003","2","6","0","31042","90006","16","0","0","1","3000"
"26","7","0","0","91002","2","3500","8","0","0","1003","2","7","0","31042","90006","18","0","0","1","3500"
"27","8","0","0","91002","2","4000","8","0","0","1003","2","8","0","31042","90006","20","0","0","1","4000"
"28","9","0","0","91002","2","4500","8","0","0","1003","2","9","0","31042","90006","25","0","0","1","4500"
"29","10","0","0","91002","2","5000","8","0","0","1003","2","-1","0","31042","90006","30","0","0","1","5000"
"30","1","0","0","91002","2","500","8","0","0","1004","2","1","0","31018","90006","5","0","0","1","500"
"31","2","0","0","91002","2","1000","8","0","0","1004","2","2","0","31018","90006","8","0","0","1","1000"
"32","3","0","0","91002","2","1500","8","0","0","1004","2","3","0","31018","90006","10","0","0","1","1500"
"33","4","0","0","91002","2","2000","8","0","0","1004","2","4","0","31018","90006","12","0","0","1","2000"
"34","5","0","0","91002","2","2500","8","0","0","1004","2","5","0","31018","90006","14","0","0","1","2500"
"35","6","0","0","91002","2","3000","8","0","0","1004","2","6","0","31018","90006","16","0","0","1","3000"
"36","7","0","0","91002","2","3500","8","0","0","1004","2","7","0","31018","90006","18","0","0","1","3500"
"37","8","0","0","91002","2","4000","8","0","0","1004","2","8","0","31018","90006","20","0","0","1","4000"
"38","9","0","0","91002","2","4500","8","0","0","1004","2","9","0","31018","90006","25","0","0","1","4500"
"39","10","0","0","91002","2","5000","8","0","0","1004","2","-1","0","31018","90006","30","0","0","1","5000"
"40","1","0","0","91002","2","500","8","0","0","1005","2","1","0","31025","90006","5","0","0","1","500"
