26ac75324cb18268acc2652f9e01d2f25690b472cebd6176a1d75d9be8b3e37e,377357417f385d651bf2b215f5fac86eb3ae0e850357f547b070325d614a4113,fff39b4ccb527d65ae4a3bef41c1dfab5da1fb13fab3916f698814bfb4924e0f,962855693a9879381d5f940f887005d3c62e31247b585c198c392e586f633536,5e19b38826f8d1693a4ee8c252d8fa03798bc4dbbb7065cbc168f6f166d066ff,cc7168e0b9a2ccd51bd3e486c4e2f047d0e34e748f56cc4971b854da2a2e51c7,49c7421b7d77d112b7483c395a90ad6bb0246712ce529f1db7cbbba66b688621,ac2b1467e2c5fbffc02e880325cbd90e7d52f79ce1d38c37532d74ddaead0160,2e3f9e51d90cd56cabc4772d6294689b38769041824f750a52690f21489a8042
"全プレイヤーでバンディ・シスターズを合計500,000回倒そう","32000101","7008","1","1002","500000","1","1010","32000101"
"全プレイヤーでバンディ・シスターズを合計750,000回倒そう","32000102","7008","1","1002","750000","2","1010","32000102"
"全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","32000103","7008","1","1002","1000000","3","1010","32000103"
"全プレイヤーでフレイヤを合計500,000回倒そう","32000104","7008","1","1003","500000","4","1010","32000104"
"全プレイヤーでフレイヤを合計750,000回倒そう","32000105","7008","1","1003","750000","5","1010","32000105"
"全プレイヤーでフレイヤを合計1,000,000回倒そう","32000106","7008","1","1003","1000000","6","1010","32000106"
"全プレイヤーでアラクネを合計1,000,000回倒そう","32000107","7008","0","1004","1000000","7","1010","32000107"
"全プレイヤーでアラクネを合計1,500,000回倒そう","32000108","7008","0","1004","1500000","8","1010","32000108"
"全プレイヤーでアラクネを合計2,000,000回倒そう","32000109","7008","0","1004","2000000","9","1010","32000109"
"宝石蜘蛛の群れに1回挑戦しよう","32000110","7007","1","1001","1","10","1009","32000110"
"バンディ・シスターズを1回倒そう","32000111","7007","1","1002","1","11","1009","32000111"
"フレイヤを1回倒そう","32000112","7007","1","1003","1","12","1009","32000112"
"アラクネを1回倒そう","32000113","7007","0","1004","1","13","1009","32000113"
