8ca4bb46dbf93cfc2b3eae7d0a1c2514cda61aeec3149b7868b54aadbb9f66e9,36c58ed7a52ed5f7e95c7d3d0b069098b40f0eabf2a0cf4cd435dbda0765b146,1474affbcc3b53d1b5d24b1be62571e31a6016e8f9bf4cdacfe42f1ad5f0001a,3906e1f59febf6347c5bdeaac7217ea542ee2a3dc718110c8acddf9e53d39138,890716b05ec6463a3f288d8a5d5674eb9e314707023d2ef04e623190df885933,2e14aa7161b194113f26d8af18bbe929bbe6dce29f6843577589fc5c90b52a55,aeccd3a1ac505c2ea3d075df8defd10acfdf9ca69369fc4d3233ecf8d9e5c3d8,9175cae4df5d04a5c36cf687151b2060d1f4e9e49da8f03c83e69fb41c9f3411,46fcdc68596841555955c1111569a5e40fce74e57ec4e7a1446506708a6c0a28,e0ca9e69e36904c2100d03b75311e72f5c9a0cea1b34a62308efc11834a79c92,b64701f7602b26c75a79a9d7be2335c9cf876c926ccb8316a37ee005da122556,86bd2a0d4d349e5e93f76e1cfd1da66a719ff8b2618752a38f2162df9ad6abf2
"5201321","5.5","0","5201322","0","10201201","70","5","1","0","610201102","1"
"0","1.5","600","5201323","3","10201201","0","5","2","15","610201103","3"
"0","1.5","0","0","0","10201201","0","5","3","0","610201104","1"
"0","5.5","0","0","0","10201501","70","5","1","0","610201105","1"
"0","1.5","600","0","3","10201501","0","5","2","15","610201106","3"
"0","1.5","0","0","0","10201501","0","5","3","0","610201107","1"
"5201331","5.5","600","5201332","3","10201251","0","5","1","0","610201152","2"
"0","1.5","0","5201333","0","10201251","65","5","2","0","610201153","1"
"0","1.5","0","0","0","10201251","0","5","3","0","610201154","1"
"0","5.5","600","0","3","10201551","0","5","1","0","610201155","2"
"0","1.5","0","0","0","10201551","65","5","2","0","610201156","1"
"0","1.5","0","0","0","10201551","0","5","3","0","610201157","1"
"5202321","5.5","600","5202322","3","10202201","0","5","1","0","610202102","2"
"0","1.5","0","5202323","0","10202201","70","5","2","0","610202103","1"
"0","1.5","0","0","0","10202201","0","5","3","0","610202104","1"
"0","5.5","600","0","3","10202501","0","5","1","0","610202105","2"
"0","1.5","0","0","0","10202501","70","5","2","0","610202106","1"
"0","1.5","0","0","0","10202501","0","5","3","0","610202107","1"
"5203321","5.5","600","5203322","3","10203201","0","5","1","0","610203102","2"
"0","1.5","0","5203323","0","10203201","66","5","2","0","610203103","1"
"0","1.5","0","0","0","10203201","0","5","3","0","610203104","1"
"0","5.5","600","0","3","10203501","0","5","1","0","610203105","2"
"0","1.5","0","0","0","10203501","66","5","2","0","610203106","1"
"0","1.5","0","0","0","10203501","0","5","3","0","610203107","1"
"5204321","5.5","600","5204322","3","10204201","0","5","1","0","610204102","2"
"0","1.5","0","5204323","0","10204201","60","5","2","0","610204103","1"
"0","1.5","0","0","0","10204201","0","5","3","0","610204104","1"
"0","5.5","600","0","3","10204501","0","5","1","0","610204105","2"
"0","1.5","0","0","0","10204501","80","5","2","0","610204106","1"
"0","1.5","0","0","0","10204501","0","5","3","0","610204107","1"
"5205321","5.5","600","5205322","3","10205201","0","5","1","0","610205102","2"
"0","1.5","0","5205323","0","10205201","65","5","2","0","610205103","1"
"0","1.5","0","0","0","10205201","0","5","3","0","610205104","1"
"0","5.5","600","0","3","10205501","0","5","1","0","610205105","2"
"0","1.5","0","0","0","10205501","66","5","2","0","610205106","1"
"0","1.5","0","0","0","10205501","0","5","3","0","610205107","1"
"5206321","5.5","600","5206322","3","10206201","0","5","1","0","610206102","2"
"0","1.5","600","5206323","3","10206201","0","5","2","0","610206103","2"
"0","1.5","0","0","0","10206201","0","5","3","0","610206104","1"
"0","5.5","600","0","3","10206501","0","5","1","0","610206105","2"
"0","1.5","600","0","3","10206501","0","5","2","0","610206106","2"
"0","1.5","0","0","0","10206501","0","5","3","0","610206107","1"
"5207321","5.5","600","5207322","3","10207201","0","5","1","0","610207102","2"
"0","1.5","0","5207323","0","10207201","66","5","2","0","610207103","1"
"0","1.5","0","0","0","10207201","0","5","3","0","610207104","1"
