23e4215bdc7b0c73832318f1811837a3b9d01ded414e8565424cb992acd65787,031428a8ee717a8648ef41b0a223a3aab733ec7a6d7e4aaaa0d156dbe13133f6,4eebd82d804c807359e456ed5c457eefbe798660b587785754eb3962f1afb29f,f4f330dbe90418b45fcb0e8af63a0d33f8f80095a97efce28aada5f19515b099,613706de8d698565e1b8d36c2c1e427982b4baeee8b1b0b646342a71013e3a56,62084262ad5493514151f38f8deb860e14f7e209173391446a553454ba6a11f0,22bd1d0edaa995ece0d1a205c0994ab0dd23c7edf8ab72442cffef2f84058484,c496a6b11be2ef400a08a42be13fea5060a322bbdb621f4345d0d8bfbb25a67f,84e0722bce60a56b988dda6f9bf3b576664283ff002bfd01dd648884b9ad58f4,8494bd5d229b72fe709817669f03502e2936ca84946844ee65eced56daf6a96a
"0","12000","10","90043","1","90001","0","10000","30000","1"
"0","24000","20","90047","2","90002","0","10000","30000","2"
"0","24000","20","90047","3","90002","0","10000","30000","3"
"0","24000","20","90047","4","90002","0","10000","30000","4"
"0","24000","20","90047","5","90002","0","10000","30000","5"
"0","24000","20","90047","6","90002","0","10000","30000","6"
"0","24000","20","90047","7","90002","0","10000","30000","7"
"0","24000","20","90047","8","90002","0","10000","30000","8"
"0","24000","20","90047","9","90002","0","10000","30000","9"
"1","24000","20","90047","10","90002","0","10000","30000","10"
"2","48000","40","90051","11","90003","90011","10000","30000","11"
"3","48000","40","90051","12","90003","90011","10000","30000","12"
"4","48000","40","90051","13","90003","90011","10000","30000","13"
"5","48000","40","90051","14","90003","90011","10000","30000","14"
"6","48000","40","90051","15","90003","90011","10000","30000","15"
"7","48000","40","90051","16","90003","90011","10000","30000","16"
"8","48000","40","90051","17","90003","90011","10000","30000","17"
"9","48000","40","90051","18","90003","90011","10000","30000","18"
"10","48000","40","90051","19","90003","90011","10000","30000","19"
"11","48000","40","90051","20","90003","90011","10000","30000","20"
"12","72000","60","90055","21","90004","90015","10000","30000","21"
"13","72000","60","90055","22","90004","90015","10000","30000","22"
"14","72000","60","90055","23","90004","90015","10000","30000","23"
"15","72000","60","90055","24","90004","90015","10000","30000","24"
"16","72000","60","90055","25","90004","90015","10000","30000","25"
"17","72000","60","90055","26","90004","90015","10000","30000","26"
"18","72000","60","90055","27","90004","90015","10000","30000","27"
"19","72000","60","90055","28","90004","90015","10000","30000","28"
"20","72000","60","90055","29","90004","90015","10000","30000","29"
"21","72000","60","90055","30","90004","90015","10000","30000","30"
"22","96000","80","90059","31","90005","90015","10000","30000","31"
"23","96000","80","90059","32","90005","90015","10000","30000","32"
"24","96000","80","90059","33","90005","90015","10000","30000","33"
"25","96000","80","90059","34","90005","90015","10000","30000","34"
"26","96000","80","90059","35","90005","90015","10000","30000","35"
"27","96000","80","90059","36","90005","90015","10000","30000","36"
"28","96000","80","90059","37","90005","90015","10000","30000","37"
"29","96000","80","90059","38","90005","90015","10000","30000","38"
"30","96000","80","90059","39","90005","90015","10000","30000","39"
"31","96000","80","90059","40","90005","90015","10000","30000","40"
"33","144000","120","90063","41","90005","90017","10000","30000","41"
"35","144000","120","90063","42","90005","90017","10000","30000","42"
"37","144000","120","90063","43","90005","90017","10000","30000","43"
"39","144000","120","90063","44","90005","90017","10000","30000","44"
"41","144000","120","90063","45","90005","90017","10000","30000","45"
"43","144000","120","90063","46","90005","90017","10000","30000","46"
"45","144000","120","90063","47","90005","90017","10000","30000","47"
"47","144000","120","90063","48","90005","90017","10000","30000","48"
"49","144000","120","90063","49","90005","90017","10000","30000","49"
"51","144000","120","90063","50","90005","90017","10000","30000","50"
"53","180000","150","90067","51","90006","90019","10000","30000","51"
"55","180000","150","90067","52","90006","90019","10000","30000","52"
"57","180000","150","90067","53","90006","90019","10000","30000","53"
"59","180000","150","90067","54","90006","90019","10000","30000","54"
"61","180000","150","90067","55","90006","90019","10000","30000","55"
"63","180000","150","90067","56","90006","90019","10000","30000","56"
"65","180000","150","90067","57","90006","90019","10000","30000","57"
"67","180000","150","90067","58","90006","90019","10000","30000","58"
"69","180000","150","90067","59","90006","90019","10000","30000","59"
"71","180000","150","90067","60","90006","90019","10000","30000","60"
"74","216000","180","90071","61","90007","90021","10000","30000","61"
"77","216000","180","90071","62","90007","90021","10000","30000","62"
"80","216000","180","90071","63","90007","90021","10000","30000","63"
"83","216000","180","90071","64","90007","90021","10000","30000","64"
"86","216000","180","90071","65","90007","90021","10000","30000","65"
"89","216000","180","90071","66","90007","90021","10000","30000","66"
"92","216000","180","90071","67","90007","90021","10000","30000","67"
"95","216000","180","90071","68","90007","90021","10000","30000","68"
"98","216000","180","90071","69","90007","90021","10000","30000","69"
"101","216000","180","90071","70","90007","90021","10000","30000","70"
