d9bc81a88ec4ac8e98c2d460edd098fbb9fc1799b55b54efc9f424286b2352a3,ba936bbed17b66a05bbe97e0447cfc8f192c888fd6ae93d480964dc04bde874d,c5873bea161a3355f92902e2c520670d576b17706dec91f4d46061551a35bd2c,7deb9ed35422dfc10f1daca329163f8514651c544a84c1a688d8fbd07f438d61,38e84b9e2569431a3c55e7fff29e9aa1eeaa5e6642e126f92bd211751630ebba,b6bf0ee7a560ba7045d2f8167d435568c3cb08ddcf62fa7aa12b9eeae1b0a7f7,31015e1cae37b9d77624789341c396ad9eb2df5bb7ea07afce7d1a4d85650460,47226e5096d2a1a86ffeb928d96ddbc9711600151492c42011949de9f6d8875c,2aa25635d8e20d08d4c88728385f37128ce8b4542e7860cca625c988a9afbb75,afcfda499049132375a8091e0c4ed41c08858035011e0434902f2061ddbf58cb,61de18668ea6423accd133eb2439f36a087b6b5f4ebf49c81a30426a23886e1e,258953deb15ab52ebbe393011d4255654b1d2b91784e4532e43dcd9704ae0e62,7b89298125389a7c96407301e5a20c8b87d199d18a5593a18abb08df25d94c62,f51e63d0371f68d287b19bcea51c2c88568267022f7276fc90208a956e23cce8,d765e7366abbb95e4ef07faa744c3115b6fa6577ebd45f4720b077565880824b,43bf7e16c31c2689d3cbd74639909e8fe8433ceefe3d74a6121c508ebab07c65,7c3cc823c82d4791ae28492d3e088f8e89e754c7b4525711b773d1d5765e1b9b,d95f06a8a5ad2e0d7d71c301ec2d0e349cdf174741c0ac027e6edade6eae1dc4,f53cc239b10028f1cfa316e9346b35a532ef7fc0f58c639114145c4c997a4b63,8697c7a6f41703a4bd159303bcdd45f2c4aaf0050ccd85ba41f193ff89069c9c,1d4576f4ec96a6a202721f0ef779899e42607aa76f93c6c4bc7a82f28f386eb3
"901000105","51200001","0","100182","0","2000001","0","0","0","0","90","0","0","512000011","901000106","0","ラストバトル","901000103","0","0","901000102"
"901000104","51200002","bgm_M06","100021","512000022","2000002","bgm_M06","0","100022","0","90","0","bgm_M06","512000021","0","0","チュートリアルバトル","901000202","bgm_M06","0","901000201"
"901000104","51200006","bgm_M06","100021","512000022","2000006","bgm_M06","0","100022","0","90","0","bgm_M06","512000021","0","0","チュートリアルバトル","901000202","bgm_M06","0","901000201"
"901000303","52003005","bgm_M17","100671","0","2003005","bgm_M17_03_and_M29","0","0","0","90","0","0","520030051","0","0","ADVバトル","901000302","0","0","901000301"
"901000403","52004002","bgm_M06","100011","0","2004002","bgm_M06","0","0","0","90","0","0","520040021","0","0","ADVバトル","901000402","0","0","901000401"
"0","55001004","bgm_M47","81000111","0","5001004","bgm_M47","0","0","0","90","0","0","550010041","0","0","ジズバトル","0","0","0","901000501"
"901000502","55001006","bgm_M47","81000106","0","5001006","bgm_M47","0","0","0","90","0","0","550010041","0","0","ジズバトル","901000501","0","0","901000401"
"901000603","55002005","bgm_M102","81000205","0","5002005","bgm_M102","0","0","0","90","0","0","550020051","0","0","アルマバトル","901000602","0","0","901000601"
"901000603","55002006","bgm_M102","81000206","0","5002006","bgm_M102","0","0","0","90","0","0","550020052","0","0","アルマバトル","901000602","0","0","901000601"
"901000702","55003006","bgm_M109","81000305","0","5003006","bgm_M109","0","0","0","90","0","0","550030061","901000703","0","ガルグバトル","901000701","0","0","901000601"
"901000802","55004005","bgm_M116","100931","0","5004005","bgm_M116","0","0","0","90","0","0","550040051","901000803","0","水着バトル","901000801","0","0","901000601"
"901000902","55005006","bgm_M124","81000505","0","5005006","bgm_M124","0","0","0","90","0","0","550050061","901000903","901000904","島クジラバトル","901000901","0","0","901000906"
"901001002","55011005","bgm_M192","81001105","0","5011005","bgm_M192","0","0","0","90","0","0","550110051","901001003","0","バレンタインボスバトル","901001001","0","0","901000906"
"901001003","55011006","0","81001106","0","5011006","0","0","0","0","90","0","0","550110051","0","0","バレンタインボスバトル","901001002","0","0","901001001"
