e2f2a2803090bed7efea80adebed2f67d6531b7455890eeb7751a668b6c7e61c,deaa7c5fcde51763128181cfc280c792342d33b43d68f379628c49a2ef927ae8,4ab229fc2363733da65cd9a935f0720dbab3f07d7604887f5fd3f6dd5b7816e2,c9a0f7e4aafa3eb8f42af09019220a2560627b9ea080864dc5738a1c67bc5e08,58d0f9e788d63195c01164e60c92b3d0a31d108017fe4f3260f88948a84e901e,b44a3e3d690c42c8d16449edd5316a263f88a7e246e768dd3fb2588a959d9f89,b46cb04cc8c704265c12d2d16859e147e2c2b7f66fde829a94933a21e8bce0b6,a61fa5f152ab0d7ab353eebffb85b7cb99bae604de2378c6355cfb641689fa41
"111","104","200","4","2","1","5","3"
"211","14","2","4","2","1","5","3"
"311","103","2","4","2","1","5","3"
"411","102","2","4","2","1","5","3"
"511","104","200","4","2","1","5","3"
"611","1","250","4","2","1","5","3"
"711","101","3","4","2","1","5","3"
"811","100","3","4","2","1","5","3"
"911","104","200","4","2","1","5","3"
"1011","1","250","4","2","1","5","3"
"1111","3","250","4","2","1","5","3"
"1112","5","250","4","2","1","5","3"
"1211","6","150","4","2","1","5","3"
"1212","7","150","4","2","1","5","3"
"1311","104","200","4","2","1","5","3"
"1411","103","2","4","2","1","5","3"
"1511","102","2","4","2","1","5","3"
"1611","1","250","4","2","1","5","3"
"1711","104","200","4","2","1","5","3"
"1811","2","500","4","2","1","5","3"
"1812","4","500","4","2","1","5","3"
"1911","101","3","4","2","1","5","3"
"2011","100","3","4","2","1","5","3"
"2111","104","200","4","2","1","5","3"
"2211","1","250","4","2","1","5","3"
"2311","100","3","4","2","1","5","3"
"2411","101","3","4","2","1","5","3"
"2511","104","200","4","2","1","5","3"
"2611","2","500","4","2","1","5","3"
"2612","4","500","4","2","1","5","3"
"2711","6","150","4","2","1","5","3"
"2712","7","150","4","2","1","5","3"
"2811","2","500","4","2","1","5","3"
"2812","4","500","4","2","1","5","3"
"2911","104","200","4","2","1","5","3"
"3011","3","250","4","2","1","5","3"
"3012","5","250","4","2","1","5","3"
"3111","100","3","4","2","1","5","3"
"3211","101","3","4","2","1","5","3"
"3311","104","200","4","2","1","5","3"
"3411","100","2","4","2","1","5","3"
"3511","104","200","4","2","1","5","3"
"3611","103","1","4","2","1","5","3"
"3711","102","1","4","2","1","5","3"
"3811","2","250","4","2","1","5","3"
"3812","4","250","4","2","1","5","3"
"3911","102","1","4","2","1","5","3"
"4011","104","200","4","2","1","5","3"
"4111","100","2","4","2","1","5","3"
"4211","6","150","4","2","1","5","3"
"4212","7","150","4","2","1","5","3"
"4311","104","200","4","2","1","5","3"
"4411","103","1","4","2","1","5","3"
"4511","104","200","4","2","1","5","3"
"4611","101","2","4","2","1","5","3"
"4711","102","1","4","2","1","5","3"
"4811","104","200","4","2","1","5","3"
"4911","103","1","4","2","1","5","3"
"5011","104","200","4","2","1","5","3"
"5111","101","2","4","2","1","5","3"
"5211","102","1","4","2","1","5","3"
"5311","104","200","4","2","1","5","3"
"5411","6","150","4","2","1","5","3"
"5412","7","150","4","2","1","5","3"
"5511","103","1","4","2","1","5","3"
"5611","104","200","4","2","1","5","3"
"5711","100","2","4","2","1","5","3"
"5811","101","2","4","2","1","5","3"
"5911","103","1","4","2","1","5","3"
"6011","104","200","4","2","1","5","3"
"6111","102","1","4","2","1","5","3"
"6211","2","250","4","2","1","5","3"
"6212","4","250","4","2","1","5","3"
"6311","104","200","4","2","1","5","3"
"6411","103","1","4","2","1","5","3"
"6511","102","1","4","2","1","5","3"
"6611","104","200","4","2","1","5","3"
"6711","6","150","4","2","1","5","3"
"6712","7","150","4","2","1","5","3"
"6811","102","1","4","2","1","5","3"
"6911","104","200","4","2","1","5","3"
"7011","103","1","4","2","1","5","3"
"7111","101","2","4","2","1","5","3"
"7211","100","2","4","2","1","5","3"
"7311","104","200","4","2","1","5","3"
"7411","103","1","4","2","1","5","3"
"7511","102","1","4","2","1","5","3"
"7611","2","250","4","2","1","5","3"
"7612","4","250","4","2","1","5","3"
"7711","104","200","4","2","1","5","3"
"7811","101","2","4","2","1","5","3"
"7911","100","2","4","2","1","5","3"
"8011","104","200","4","2","1","5","3"
"8111","6","150","4","2","1","5","3"
"8112","7","150","4","2","1","5","3"
"8211","101","2","4","2","1","5","3"
"8311","2","250","4","2","1","5","3"
"8312","4","250","4","2","1","5","3"
"8411","103","1","4","2","1","5","3"
"8511","104","200","4","2","1","5","3"
"8611","100","2","4","2","1","5","3"
"8711","102","1","4","2","1","5","3"
"8811","103","1","4","2","1","5","3"
"8911","104","200","4","2","1","5","3"
"9011","102","1","4","2","1","5","3"
"9111","104","200","4","2","1","5","3"
"9211","2","250","4","2","1","5","3"
"9212","4","250","4","2","1","5","3"
"9311","104","200","4","2","1","5","3"
"9411","102","1","4","2","1","5","3"
"9511","103","1","4","2","1","5","3"
"9611","104","200","4","2","1","5","3"
"9711","104","200","4","2","1","5","3"
"9811","101","2","4","2","1","5","3"
"9911","104","200","4","2","1","5","3"
"10011","102","1","4","2","1","5","3"
"10111","103","1","4","2","1","5","3"
"10211","104","200","4","2","1","5","3"
"10311","2","250","4","2","1","5","3"
"10312","4","250","4","2","1","5","3"
"10411","100","2","4","2","1","5","3"
"10511","104","200","4","2","1","5","3"
"10611","103","1","4","2","1","5","3"
"10711","104","200","4","2","1","5","3"
"10811","103","1","4","2","1","5","3"
"10911","100","2","4","2","1","5","3"
"11011","104","200","4","2","1","5","3"
"11111","101","2","4","2","1","5","3"
"11211","104","200","4","2","1","5","3"
"11311","102","1","4","2","1","5","3"
"11411","104","200","4","2","1","5","3"
"11511","103","1","4","2","1","5","3"
"11611","104","200","4","2","1","5","3"
"11711","102","1","4","2","1","5","3"
"11811","104","200","4","2","1","5","3"
"11911","6","150","4","2","1","5","3"
"11912","7","150","4","2","1","5","3"
"12011","104","200","4","2","1","5","3"
"12111","102","1","4","2","1","5","3"
"12211","103","1","4","2","1","5","3"
"12311","100","2","4","2","1","5","3"
"12411","102","1","4","2","1","5","3"
"12511","104","200","4","2","1","5","3"
"12611","101","2","4","2","1","5","3"
"12711","100","1","4","2","1","5","3"
"12811","2","250","4","2","1","5","3"
"12812","4","250","4","2","1","5","3"
"12911","104","200","4","2","1","5","3"
"13011","101","1","4","2","1","5","3"
"13111","103","1","4","2","1","5","3"
"13211","104","200","4","2","1","5","3"
"13311","102","1","4","2","1","5","3"
"13411","100","1","4","2","1","5","3"
"13511","104","200","4","2","1","5","3"
"13611","104","200","4","2","1","5","3"
"13711","101","1","4","2","1","5","3"
"13811","100","1","4","2","1","5","3"
"13911","104","200","4","2","1","5","3"
"14011","101","1","4","2","1","5","3"
"14111","104","200","4","2","1","5","3"
"14211","6","150","4","2","1","5","3"
"14212","7","150","4","2","1","5","3"
"14311","100","1","4","2","1","5","3"
"14411","103","1","4","2","1","5","3"
"14511","104","200","4","2","1","5","3"
"14611","104","200","4","2","1","5","3"
"14711","102","1","4","2","1","5","3"
"14811","103","1","4","2","1","5","3"
"14911","104","200","4","2","1","5","3"
"15011","102","1","4","2","1","5","3"
"15111","103","1","4","2","1","5","3"
"15211","104","200","4","2","1","5","3"
"15311","102","1","4","2","1","5","3"
"15411","104","200","4","2","1","5","3"
"15511","101","1","4","2","1","5","3"
"15611","104","200","4","2","1","5","3"
