23076f1a114be535bd92a25b6fd95c3b931e58d1914409ecf8aa1e1bb71f9f51,78e9398ad6b7ad22be485c67165e2498099688a2545be2dd6750ebb05aaf2f92,02a770a012c4f79aa0732f738248f24d21b95a3d346dfefadf9fa0233f5a1db2,ea34a71b88432771a62cef8ef1cbca158e3afb8c39a3894b3532ed4025485cfe,8dee70edf104e138fe2f226382133293bd5274f111d0e15b298fd9e9660e3da1,f4c19f98dfb1f1446ed1e493c530d1f526b1cf8bc88f575f6828a15d425a6cb5,0a003687f0c31ddb6cf79c73effbd33c15b16c8fa15bdf76668de33c03cf1fe4,120526009373fffda6a0283ae299618e88db7f82004ce8f0a84302474c85f215,7f1d46eba7a43050d244c584a6ad3ba12670072de436048540c948f5e9b7e394,9fd8e38f60f75f8f50b402cb2d347709ba39d220fc21af12e9538424d971d8a0,bd9451ae664647f6d570a92366d68911558a505c0742257086a030db7b21227d
"1","1","100","01_uek_cmn_idol_def_N","-157","0","105831","1010001","1","1.3","-496"
"1","1","110","01_uek_cmn_idol_def_N","-178","0","105931","1010002","1","1.3","-355"
"1","1","100","01_uek_cmn_idol_def_N","-124","1","112631","1010003","1","1.3","410"
"1","1","110","01_uek_cmn_idol_def_N","-258","1","112531","1010004","1","1.3","389"
"1","1","120","01_uek_cmn_idol_def_N","-234","0","106031","1010005","1","1.3","-415"
"1","1","120","01_uek_cmn_idol_def_N","-235","1","112431","1010006","1","1.3","262"
"1","105831","0","","1","0.2","01_uek_01_peko","1010007","3","0","01_uek_cmn_pose03"
"1","105931","0","","1","0.2","01_uek_01_kokkoro","1010008","3","0","01_uek_talk_normal"
"1","106031","0","","1","0.2","01_uek_01_kyaru","1010009","3","0","01_uek_cmn_pose02"
"1","112631","0","","1","0.2","01_uek_01_mio","1010010","3","0","01_uek_cmn_pose03"
"1","112531","0","","1","0.2","01_uek_01_rin","1010011","3","0","01_uek_cmn_pose02"
"1","112431","0","","1","0.2","01_uek_01_uduki","1010012","3","0","01_uek_cmn_pose01"
"1","3","","","","","","1010013","93","",""
"1","112631","1","","0","","01_uek_cmn_pose03","1010014","3","0.2",""
"1","112431","1","","0","","01_uek_cmn_pose01","1010015","3","0.2",""
"1","105831","1","","0","","01_uek_cmn_pose03","1010016","3","0.2",""
"1","105931","0","","1","0.1","01_uek_talk_normal","1010017","3","0.2","01_uek_cmn_idol_def_N"
"1","106031","0","","1","0.1","01_uek_cmn_pose02","1010018","3","0.2","01_uek_cmn_idol_def_N"
"1","112531","0","","1","0.1","01_uek_cmn_pose02","1010019","3","0.2","01_uek_cmn_idol_def_N"
"1","105831","10","","","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","1010020","11","",""
"1","0","","","","","","1010021","91","",""
"1","105931","10","","","","うえきちゃんが\nどこまで続くのか\n分からないほどです","1010022","11","",""
"1","0","","","","","","1010023","91","",""
"1","112631","10","","","","こういうのってさ\n上がどうなってるか\n見てみたいよね！","1010024","11","",""
"1","0","","","","","","1010025","91","",""
"1","112531","10","","","","確かにね…それに\nこうなった理由も\n分かるかも","1010026","11","",""
"1","0","","","","","","1010027","91","",""
"1","106031","10","","","","ま、興味はあるし\n付き合ってあげるわ","1010028","11","",""
"1","0","","","","","","1010029","91","",""
"1","112431","10","","","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","1010030","11","",""
"1","0","","","","","","1010031","91","",""
"2","1","100","02_uek_cmn_idol_def_N","0","0","104431","1020001","1","1.3","0"
"2","104431","0","","0","","02_uek_02_ilya","1020002","3","","02_uek_02_ilya_loop"
"2","104431","10","","","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","1020003","11","","0"
"2","0","","","0","","","1020004","91","",""
"3","1","100","01_uek_cmn_idol_def_N","-10","0","105831","1030001","1","1.3","-140"
"3","1","100","01_uek_cmn_idol_def_N","10","1","105931","1030002","1","1.3","120"
"3","1","100","01_uek_cmn_idol_def_N","0","1","106031","1030003","1","1.3","0"
"3","105831","0","","0","","01_uek_03_peko","1030004","3","","01_uek_03_peko_loop"
"3","106031","0","","0","","01_uek_03_kyaru","1030005","3","","01_uek_03_kyaru_loop"
"3","105831","10","","","","キャルちゃん！\n見てください\nいい景色ですよ☆","1030006","11","","0"
"3","0","","","","","","1030007","91","",""
"3","106031","10","","","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","1030008","11","","0"
"3","0","","","","","","1030009","91","",""
"3","105931","0","","1","","01_uek_03_kokkoro","1030010","3","","01_uek_cmn_idol_def_N"
"3","105931","10","","","","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","1030011","11","","0"
"4","1","100","02_uek_cmn_idol_def_N","-30","0","101131","1040001","1","1.3","-120"
"4","1","100","02_uek_cmn_idol_def_N","-5","1","104931","1040002","1","1.3","20"
"4","101131","1","","","","02_uek_talk_joy2","1040003","3","",""
"4","101131","10","","","","マスターセンリも\n一発からです！\n頑張りますよ！","1040004","11","","0"
"4","0","","","","","","1040005","91","",""
"4","101131","1","","","","02_uek_cmn_idol_def_N","1040006","3","0.2",""
"4","104931","1","","","","02_uek_04_shizuru","1040007","3","0.2",""
"4","104931","10","","","","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","1040008","11","","0"
"4","0","","","","","","1040009","91","",""
"4","104931","1","","","","02_uek_cmn_idol_def_N","1040010","3","0.2",""
"5","1","100","02_uek_cmn_idol_def_N","0","0","105031","1050001","1","1.3","-70"
"5","1","100","02_uek_cmn_idol_def_N","1","1","101631","1050002","1","1.3","70"
"5","105031","0","","-15","","02_uek_05_misaki","1050003","3","","02_uek_05_misaki_loop"
"5","101631","0","","0","","02_uek_05_suzuna","1050004","3","","02_uek_05_suzuna_loop"
"5","105031","10","","","","大人の階段を\n登るわよー！","1050005","11","","0"
"5","0","","","0","","","1050006","91","",""
"5","101631","10","","","","うちもモデルの\nてっぺん目指すし！","1050007","11","","0"
"6","1","100","02_uek_cmn_idol_def_N","25","1","100531","1060001","1","1.3","120"
"6","1","100","02_uek_cmn_idol_def_N","5","0","103731","1060002","1","1.3","-20"
"6","100531","1","","","","02_uek_cmn_pose04","1060003","3","",""
"6","100531","10","","","","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","1060004","11","","0"
"6","0","","","","","","1060005","91","",""
"6","103731","1","","","","02_uek_talk_normal","1060006","3","0.2",""
"6","103731","10","","","","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","1060007","11","","0"
"6","0","","","","","","1060008","91","",""
"6","103731","1","","","","02_uek_cmn_idol_def_N","1060009","3","0.2",""
"7","1","100","02_uek_cmn_idol_def_N","-20","0","103831","1070001","1","1.3","-60"
"7","103831","1","","","","02_uek_07_shiori","1070002","3","0.2",""
"7","103831","10","","","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","1070003","11","",""
"8","1","100","02_uek_08_kuka_loop","40","0","104531","1080001","1","1.3","90"
"8","2","90","","1","","2","1080002","31","1","60"
"8","104531","10","","0","","あ、足に絡みつく\nツタの感触が\nたまりません～～！","1080003","11","","0"
"8","0","","","","","","1080004","91","",""
"9","2","100","05_idle","-35","0","105831","1090001","1","0.9","-195"
"9","2","1000","302102_idle","-30","0","302102","1090002","1","1.2","150"
"9","102","150","","1","","15","1090003","31","1","50"
"9","103","150","","1","","16","1090004","31","1","400"
"10","1","100","01_uek_cmn_idol_def_N","-25","0","112531","1100001","1","1.3","-160"
"10","1","100","01_uek_cmn_idol_def_N","-5","1","112431","1100002","1","1.3","-40"
"10","1","100","01_uek_cmn_idol_def_N","20","1","112631","1100003","1","1.3","125"
"10","112631","1","","0","","01_uek_talk_surprise2","1100004","3","",""
"10","112631","10","","0","","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","1100005","11","","0"
"10","0","","","","","","1100006","91","",""
"10","112631","1","","0","","01_uek_cmn_idol_def_N","1100007","3","0.2",""
"10","112431","1","","","","01_uek_talk_joy1","1100008","3","",""
"10","112431","10","","0","","なんだか不思議な\n感触してますね～\nふわふわですよ♪","1100009","11","","0"
"10","0","","","","","","1100010","91","",""
"10","112431","1","","","","01_uek_cmn_idol_def_N","1100011","3","0.2",""
"10","112531","1","","","","01_uek_talk_normal","1100012","3","",""
"10","112531","10","","0","","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","1100013","11","","0"
"10","0","","","","","","1100014","91","",""
"10","112531","1","","","","01_uek_cmn_idol_def_N","1100015","3","0.2",""
"10","0","","","","","","1100016","91","",""
"11","1","100","03_uek_cmn_idol_def_N","-20","0","104731","1110001","1","1.3","-135"
"11","1","100","03_uek_cmn_idol_def_N","5","1","107131","1110002","1","1.3","100"
"11","104731","0","","1","","03_uek_11_jun","1110003","3","0","03_uek_11_jun_loop"
"11","107131","0","","1","0.2","03_uek_11_chris","1110004","3","0","03_uek_cmn_idol_def_N"
"11","104731","10","","0","","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","1110005","11","",""
"11","0","","","","","","1110006","91","",""
"11","107131","10","","0","","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","1110007","11","","0"
"11","1.5","","","","","","1110008","93","",""
"11","104731","0","","1","","-135","1110009","2","","1.5"
"11","1110007","","","","","","1110010","91","",""
"12","1","100","03_uek_cmn_idol_def_N","-20","0","101031","1120001","1","1.3","-120"
"12","1","100","03_uek_cmn_idol_def_N","-5","1","101431","1120002","1","1.3","10"
"12","101031","1","","0","","03_uek_talk_joy1","1120003","3","",""
"12","101031","10","","0","","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","1120004","11","","0"
"12","0","","","","","","1120005","91","",""
"12","101031","1","","0","","03_uek_cmn_idol_def_N","1120006","3","0.2",""
"12","101431","1","","0","","03_uek_talk_normal","1120007","3","",""
"12","101431","10","","0","","いくらなんでも\nそれは難しいんじゃ\nないかな…？","1120008","11","","0"
"12","0","","","","","","1120009","91","",""
"12","101431","1","","0","","03_uek_cmn_idol_def_N","1120010","3","0.2",""
"13","1","100","01_uek_cmn_idol_def_N","-45","0","105831","1130001","1","1.3","-165"
"13","1","100","01_uek_cmn_idol_def_N","-20","0","105931","1130002","1","1.3","-45"
"13","1","100","01_uek_cmn_idol_def_N","-5","1","106031","1130003","1","1.3","120"
"13","105931","1","","1","","01_uek_talk_normal","1130004","3","",""
"13","105931","10","","0","","かなり高くまで\n登ってまいりました\nですが…","1130005","11","","0"
"13","0","","","","","","1130006","91","",""
"13","105931","0","","1","","01_uek_13_kokkoro","1130007","3","0.2","01_uek_cmn_idol_def_N"
"13","106031","0","","1","","01_uek_13_kyaru","1130008","3","","01_uek_13_kyaru_loop"
"13","106031","10","","0","","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","1130009","11","","0"
"13","0","","","","","","1130010","91","",""
"13","105831","1","","0","","01_uek_13_peco_loop","1130011","3","",""
"13","105831","10","","0","","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","1130012","11","","0"
"13","0","","","","","","1130013","91","",""
