208439518dbaf3a0f0290ef367bb5f4932b62532708ca45c77f26c33b02d4d87,11214384859e6f06e71d7ed81a9510b5ec0311b89da4918927137cdc7f41ad2f,5886570aab6c9f0a598d308fb5a7351560b29c31264299c232f7558bdf757030,a5e2b8bb56cd8d50f76c78d00ce5b2f48f1e1ba661addd186c34eb6417f4c9af,5b89932d0abfc95f3617e93e55dffec39091ef8bbe292f49b71c2402b25d08a2
"4101101","18","11001001","750000","1"
"4101201","18","11001001","120000","2"
"4101202","18","11001001","120000","3"
"4101203","18","11001001","120000","4"
"4101251","18","11001001","120000","5"
"4101301","18","11001001","66374","6"
"4101302","18","11001001","66374","7"
"4101303","18","11001001","66374","8"
"4101351","18","11001001","66374","9"
"4101401","18","11001001","4500","10"
"4104101","18","11001001","750000","11"
"4104201","18","11001001","120000","12"
"4104202","18","11001001","120000","13"
"4104203","18","11001001","120000","14"
"4104251","18","11001001","120000","15"
"4104301","18","11001001","66374","16"
"4104302","18","11001001","66374","17"
"4104303","18","11001001","66374","18"
"4104351","18","11001001","66374","19"
"4104401","18","11001001","4500","20"
"4201101","18","11001001","333334","21"
"4201201","18","11001001","80000","22"
"4201202","18","11001001","80000","23"
"4201203","18","11001001","80000","24"
"4201301","18","11001001","44250","25"
"4201302","18","11001001","44250","26"
"4201303","18","11001001","44250","27"
"4201401","18","11001001","2000","28"
"4202101","18","11001001","333334","29"
"4202201","18","11001001","80000","30"
"4202202","18","11001001","80000","31"
"4202203","18","11001001","80000","32"
"4202301","18","11001001","44250","33"
"4202302","18","11001001","44250","34"
"4202303","18","11001001","44250","35"
"4202401","18","11001001","2000","36"
"4301101","18","11001001","333332","37"
"4301201","18","11001001","80000","38"
"4301202","18","11001001","80000","39"
"4301301","18","11001001","44250","40"
"4301302","18","11001001","44250","41"
"4301401","18","11001001","2000","42"
"99006","2","11001001","0","43"
"94002","12","11001001","0","44"
"90008","2","11001001","0","45"
"26201","2","11001001","0","46"
"23002","2","11001001","0","47"
"4106101","18","11001002","750000","48"
"4106201","18","11001002","120000","49"
"4106202","18","11001002","120000","50"
"4106203","18","11001002","120000","51"
"4106251","18","11001002","120000","52"
"4106301","18","11001002","66374","53"
"4106302","18","11001002","66374","54"
"4106303","18","11001002","66374","55"
"4106351","18","11001002","66374","56"
"4106401","18","11001002","4500","57"
"4110101","18","11001002","750000","58"
"4110201","18","11001002","120000","59"
"4110202","18","11001002","120000","60"
"4110203","18","11001002","120000","61"
"4110251","18","11001002","120000","62"
"4110301","18","11001002","66374","63"
"4110302","18","11001002","66374","64"
"4110303","18","11001002","66374","65"
"4110351","18","11001002","66374","66"
"4110401","18","11001002","4500","67"
"4203101","18","11001002","333334","68"
"4203201","18","11001002","80000","69"
"4203202","18","11001002","80000","70"
"4203203","18","11001002","80000","71"
"4203301","18","11001002","44250","72"
"4203302","18","11001002","44250","73"
"4203303","18","11001002","44250","74"
"4203401","18","11001002","2000","75"
"4204101","18","11001002","333334","76"
"4204201","18","11001002","80000","77"
"4204202","18","11001002","80000","78"
"4204203","18","11001002","80000","79"
"4204301","18","11001002","44250","80"
"4204302","18","11001002","44250","81"
"4204303","18","11001002","44250","82"
"4204401","18","11001002","2000","83"
"4305101","18","11001002","333332","84"
"4305201","18","11001002","80000","85"
"4305202","18","11001002","80000","86"
"4305301","18","11001002","44250","87"
"4305302","18","11001002","44250","88"
"4305401","18","11001002","2000","89"
"99006","2","11001002","0","90"
"94002","12","11001002","0","91"
"90008","2","11001002","0","92"
"26201","2","11001002","0","93"
"23002","2","11001002","0","94"
"4102101","18","11001003","750000","95"
"4102201","18","11001003","120000","96"
"4102202","18","11001003","120000","97"
"4102203","18","11001003","120000","98"
"4102251","18","11001003","120000","99"
"4102301","18","11001003","66374","100"
"4102302","18","11001003","66374","101"
"4102303","18","11001003","66374","102"
"4102351","18","11001003","66374","103"
"4102401","18","11001003","4500","104"
"4105101","18","11001003","750000","105"
"4105201","18","11001003","120000","106"
"4105202","18","11001003","120000","107"
"4105203","18","11001003","120000","108"
"4105251","18","11001003","120000","109"
"4105301","18","11001003","66374","110"
"4105302","18","11001003","66374","111"
"4105303","18","11001003","66374","112"
"4105351","18","11001003","66374","113"
"4105401","18","11001003","4500","114"
"4201101","18","11001003","333334","115"
"4201201","18","11001003","80000","116"
"4201202","18","11001003","80000","117"
"4201203","18","11001003","80000","118"
"4201301","18","11001003","44250","119"
"4201302","18","11001003","44250","120"
"4201303","18","11001003","44250","121"
"4201401","18","11001003","2000","122"
"4202101","18","11001003","333334","123"
"4202201","18","11001003","80000","124"
"4202202","18","11001003","80000","125"
"4202203","18","11001003","80000","126"
"4202301","18","11001003","44250","127"
"4202302","18","11001003","44250","128"
"4202303","18","11001003","44250","129"
"4202401","18","11001003","2000","130"
"4302101","18","11001003","333332","131"
"4302201","18","11001003","80000","132"
"4302202","18","11001003","80000","133"
"4302301","18","11001003","44250","134"
"4302302","18","11001003","44250","135"
"4302401","18","11001003","2000","136"
"99006","2","11001003","0","137"
"94002","12","11001003","0","138"
"90008","2","11001003","0","139"
"26201","2","11001003","0","140"
"23002","2","11001003","0","141"
"4108101","18","11001004","750000","142"
"4108201","18","11001004","120000","143"
"4108202","18","11001004","120000","144"
"4108203","18","11001004","120000","145"
"4108251","18","11001004","120000","146"
"4108301","18","11001004","66374","147"
"4108302","18","11001004","66374","148"
"4108303","18","11001004","66374","149"
"4108351","18","11001004","66374","150"
"4108401","18","11001004","4500","151"
"4109101","18","11001004","750000","152"
"4109201","18","11001004","120000","153"
"4109202","18","11001004","120000","154"
"4109203","18","11001004","120000","155"
"4109251","18","11001004","120000","156"
"4109301","18","11001004","66374","157"
"4109302","18","11001004","66374","158"
"4109303","18","11001004","66374","159"
"4109351","18","11001004","66374","160"
"4109401","18","11001004","4500","161"
"4203101","18","11001004","333334","162"
"4203201","18","11001004","80000","163"
"4203202","18","11001004","80000","164"
"4203203","18","11001004","80000","165"
"4203301","18","11001004","44250","166"
"4203302","18","11001004","44250","167"
"4203303","18","11001004","44250","168"
"4203401","18","11001004","2000","169"
"4204101","18","11001004","333334","170"
"4204201","18","11001004","80000","171"
"4204202","18","11001004","80000","172"
"4204203","18","11001004","80000","173"
"4204301","18","11001004","44250","174"
"4204302","18","11001004","44250","175"
"4204303","18","11001004","44250","176"
"4204401","18","11001004","2000","177"
"4304101","18","11001004","333332","178"
