f4bed9f0a5fd4d51d075b0946383e4ce1ea44e6830288cf20f6ba4c7787d1ced,0e344bc82f694e0056cefaef7d5dddc0bab8f4971b8f098d842952283987866c,6b10bff559acd9bb49e7ecda091debbe2e4d945636c9a9aa547e0fa4d235ae77,a9c02fcb96145ca331e2042638a4254ae61b96ddd973f6a0e0311608be33020a,caef29b5e066f47442eb218c5d5c35afc7a285f6ce2487ee95bfd97568c5fb3d,f55cf4769ae249ff2684475909d41302c73539a1db9a4d92d088eff6f14a1d86,4fd4875076cd5531c004c124a757d29dd192a5b3add2f55c848237c24538be2f,34c142fb92bf1ec3e1e3eb07c77a5a7bf9528f4e6f798115f2c83939cf2686d4,b0e7b8ee2beab0b71cbd5bd1d91bd51eff0eb3010ed447d3d9bb4994e6cd45b5,62682df846f09a8cba10611a2652de4bc8d86c62aa1a21a5535499f3237e4da3,13ce4c2a0e0ff997e584ed152f16a00a04a4b13a2763fa4e09e4a9f7a7f99cf4,4352f2f1372bc2c15fe19376f33dce23fbd66c42f2cb28b0f7b9b746964ed5c5,5be0c84868048e86bd63a87ceac11e4604ecc2310f01142158ef2995b1ca37c9,2ce18397354524afcc6ad2c795593cd72b956eb459daf472eb780b5a6d284ef6,3bac65c3bbf62f31a7921bd49a837cbde82e2b82cc2ab395e0eb6e72a5bc6d9e,031a1953685228fdfc7c6603c7885b90c6cf0a4fb9c59e5a543f37bdb64a0213,c38cf3cb468d803754c423817988272046f42c80d0acd3eb7891c4584da137d8,01690e21708cd4d54933209364b52ba6d19cfc564b690286e11c188056f1380d
"1","10000","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"2","10000","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"3","10000","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"4","10000","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"5","10001","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"6","10001","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"7","10001","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"8","10001","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"9","10002","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"10","10002","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"11","10002","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"12","10002","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"13","10003","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"14","10003","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"15","10003","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"16","10003","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"17","10004","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"18","10004","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"19","10004","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"20","10004","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"21","10005","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"22","10005","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"23","10005","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"24","10005","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"25","10006","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"26","10006","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"27","10006","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"28","10006","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"29","10007","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"30","10007","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"31","10007","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"32","10007","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"33","10008","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"34","10008","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"35","10008","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"36","10008","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"37","10009","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"38","10009","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"39","10009","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"40","10009","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
"41","10010","0","0","0","0","0","0","0","0","500","0","1","91002","8","0","0","0"
"42","10010","0","0","0","0","0","0","0","0","400","0","2","91002","8","0","0","0"
"43","10010","0","0","0","0","0","0","0","0","300","0","3","91002","8","0","0","0"
"44","10010","0","0","0","0","0","0","0","0","250","0","4","91002","8","0","0","0"
