0ff48471b289ec7ed6e7ddcb7cf73bc76c56a1eb4dc9ff78ad63a12d2e0918ee,949391fe3ee601b84d16a8d9868a63aea967cd904102cb172dda4b6ba1ad1975,920ac6657fa7b4cbea8df910ef5fba385010ab015cb12af788e747258cd6d85e,ac9daffac774c2ae59138ddf4c38b3802422fe853d9dcdae9ab350731fa6c410,4f0db3dc3666a4c8a33814087778fc65cd3f6749d537796d32421b463f26aabb,be80a88d65038cb1e91baadcbd3e71998b1a5f6158a072f72861337784e82db9,3cdf19d706a1005f7b9227b1a1e8d44248cb39994ecca7841200c824575ba427,a7c3a9f54a01019c84249291c199eaf418dd08062570633a82d52cf8ceb00c45,4cc122b9658c31fe0d771cedd34264455ec341d6e7aa0853de3a7288b2e0fa42,f1d1a22b0f9c41a9dbec116240545f1baf8cbc96da4f3ffff1c936d2b5ab4290,4f0c60abf2e606147bad7cd026214256e2a96044bcaa6ae249657f38897be8bb,28eb20766e2f9df659c28d2084dd3168fea9ea83c013df6bd93b2bd429236932,27e728cc71c3bf1254ae3cea58249b1d6ca680ed32d23f9fb6911d1deb36ae1f,a6cfd76393e13a58f2d75529a0fdc8493b2127ba51a4c1428cba565130cb9a74
"1","10001","クローチェ","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","0","2023/09/22 14:59:59","1","-470","2002","2","126401","1.47","2023/06/30 12:00:00","1"
"2","10002","クローチェ","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","0","2023/09/22 14:59:59","2","-470","2002","1","126401","2.15","2023/06/30 12:00:00","1"
"1","10003","ライラエル","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","0","2023/09/22 14:59:59","2","-470","2002","2","126501","0","2023/06/30 12:00:00","1"
"2","10004","ライラエル","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","0","2023/09/22 14:59:59","1","-470","2002","1","126501","0","2023/06/30 12:00:00","1"
"1","10005","リンド","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","0","2023/12/22 14:59:59","2","-470","2002","2","127702","0","2023/09/15 15:00:00","2"
"2","10006","リンド","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","0","2023/12/22 14:59:59","2","-470","2002","2","127702","0","2023/09/15 15:00:00","2"
"1","10007","ヴルム","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","0","2023/12/22 14:59:59","1","-470","2002","1","127802","0","2023/09/15 15:00:00","2"
"2","10008","ヴルム","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","0","2023/12/22 14:59:59","2","-470","2002","1","127802","6.5","2023/09/15 15:00:00","2"
"1","10009","アネモネ","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","0","2024/03/22 14:59:59","2","-470","2002","1","129602","0","2023/12/15 15:00:00","3"
"2","10010","アネモネ","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","0","2024/03/22 14:59:59","2","-470","2002","1","129602","0","2023/12/15 15:00:00","3"
"1","10011","ネフィ=ネラ","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","0","2024/03/22 14:59:59","1","-470","2002","1","129701","0","2023/12/15 15:00:00","3"
"2","10012","ネフィ=ネラ","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","0","2024/03/22 14:59:59","2","-470","2002","1","129701","6.2","2023/12/15 15:00:00","3"
"1","10013","カノン","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","0","2024/06/22 14:59:59","3","-470","2002","5","130301","3.1","2024/03/15 15:00:00","4"
"2","10014","カノン","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","0","2024/06/22 14:59:59","3","-470","2002","2","130301","6.15","2024/03/15 15:00:00","4"
"1","10015","ナーナ","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","0","2024/06/22 14:59:59","2","-470","2002","2","130401","0","2024/03/15 15:00:00","4"
"2","10016","ナーナ","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","0","2024/06/22 14:59:59","2","-470","2002","1","130401","3.35","2024/03/15 15:00:00","4"
