f5ff55b9a22dcb907a9a79f6efd066f8e5c90e29c5240908876eaf9d2c92844f,47fcfac7a4f9a7c90185725897547d52a2e73685bc21a4a587bb08164f1c8273,5f3587b7fd52c3bc9ff9245e2ec802a07a526f6d73c68e27290974d2788bcd07,537b10d6b0c092d64af380b79c506018c28cad5db8b16087d08277788798d40b,c12ee24170502e88dcdbde9295e11df83f1a904aaa71e601603a2d4dbdcfa6be,c9bdb255e219558455041347cb273838cb82381db0c933813891f42ec901aa0e,291a11d8c541311a94826478b509682b99b8dae230e8b6d368f64b7b41b5ae7b,0e160843466302b355a10f4dd2e04cc5159a756ff19b7191f60ca700b28a03be,78ef4fdda0f40e89f6ebf1f6ec3f083dd619299d46596452aaf18f32c925744f
"20000","0","50","0","30000","0","0","5000","100111"
"20000","0","50","0","30000","0","0","5000","100112"
"20000","0","50","0","30000","0","0","5000","100113"
"30000","0","125","0","45000","0","0","12500","100121"
"30000","0","125","0","45000","0","0","12500","100122"
"30000","0","125","0","45000","0","0","12500","100123"
"40000","0","200","0","60000","0","0","20000","100131"
"40000","0","200","0","60000","0","0","20000","100132"
"40000","0","200","0","60000","0","0","20000","100133"
"20000","0","50","0","30000","0","0","5000","100211"
"20000","0","50","0","30000","0","0","5000","100212"
"20000","0","50","0","30000","0","0","5000","100213"
"30000","0","125","0","45000","0","0","12500","100221"
"30000","0","125","0","45000","0","0","12500","100222"
"30000","0","125","0","45000","0","0","12500","100223"
"40000","0","200","0","60000","0","0","20000","100231"
"40000","0","200","0","60000","0","0","20000","100232"
"40000","0","200","0","60000","0","0","20000","100233"
"20000","0","50","0","30000","0","0","5000","100311"
"20000","0","50","0","30000","0","0","5000","100312"
"20000","0","50","0","30000","0","0","5000","100313"
"30000","0","125","0","45000","0","0","12500","100321"
"30000","0","125","0","45000","0","0","12500","100322"
"30000","0","125","0","45000","0","0","12500","100323"
"40000","0","200","0","60000","0","0","20000","100331"
"40000","0","200","0","60000","0","0","20000","100332"
"40000","0","200","0","60000","0","0","20000","100333"
"20000","0","50","0","30000","0","0","5000","100411"
"20000","0","50","0","30000","0","0","5000","100412"
"20000","0","50","0","30000","0","0","5000","100413"
"30000","0","125","0","45000","0","0","12500","100421"
"30000","0","125","0","45000","0","0","12500","100422"
"30000","0","125","0","45000","0","0","12500","100423"
"40000","0","200","0","60000","0","0","20000","100431"
"40000","0","200","0","60000","0","0","20000","100432"
"40000","0","200","0","60000","0","0","20000","100433"
"20000","0","50","0","30000","0","0","5000","100511"
"20000","0","50","0","30000","0","0","5000","100512"
"20000","0","50","0","30000","0","0","5000","100513"
"30000","0","125","0","45000","0","0","12500","100521"
"30000","0","125","0","45000","0","0","12500","100522"
"30000","0","125","0","45000","0","0","12500","100523"
"40000","0","200","0","60000","0","0","20000","100531"
"40000","0","200","0","60000","0","0","20000","100532"
"40000","0","200","0","60000","0","0","20000","100533"
"20000","0","50","0","30000","0","0","5000","100611"
"20000","0","50","0","30000","0","0","5000","100612"
"20000","0","50","0","30000","0","0","5000","100613"
"30000","0","125","0","45000","0","0","12500","100621"
"30000","0","125","0","45000","0","0","12500","100622"
"30000","0","125","0","45000","0","0","12500","100623"
"40000","0","200","0","60000","0","0","20000","100631"
"40000","0","200","0","60000","0","0","20000","100632"
"40000","0","200","0","60000","0","0","20000","100633"
"20000","0","50","0","30000","0","0","5000","100711"
"20000","0","50","0","30000","0","0","5000","100712"
"20000","0","50","0","30000","0","0","5000","100713"
"30000","0","125","0","45000","0","0","12500","100721"
"30000","0","125","0","45000","0","0","12500","100722"
"30000","0","125","0","45000","0","0","12500","100723"
"40000","0","200","0","60000","0","0","20000","100731"
"40000","0","200","0","60000","0","0","20000","100732"
"40000","0","200","0","60000","0","0","20000","100733"
"20000","0","50","0","30000","0","0","5000","100811"
"20000","0","50","0","30000","0","0","5000","100812"
"20000","0","50","0","30000","0","0","5000","100813"
"30000","0","125","0","45000","0","0","12500","100821"
"30000","0","125","0","45000","0","0","12500","100822"
"30000","0","125","0","45000","0","0","12500","100823"
"40000","0","200","0","60000","0","0","20000","100831"
"40000","0","200","0","60000","0","0","20000","100832"
"40000","0","200","0","60000","0","0","20000","100833"
"20000","0","50","0","30000","0","0","5000","100911"
"20000","0","50","0","30000","0","0","5000","100912"
"20000","0","50","0","30000","0","0","5000","100913"
"30000","0","125","0","45000","0","0","12500","100921"
"30000","0","125","0","45000","0","0","12500","100922"
"30000","0","125","0","45000","0","0","12500","100923"
"40000","0","200","0","60000","0","0","20000","100931"
"40000","0","200","0","60000","0","0","20000","100932"
"40000","0","200","0","60000","0","0","20000","100933"
