7f249e1e58c0e91fb0e66999826c6d5fbcda066ca847a57e181d5b97d6a68943,a2bcc3eccafd002ddec81378664597f18b9a1fef80ac6fd7cb36cd37036fdd27,13c48c36c8541d55e5084643949388eff29e055380265788c73b9de1b2118281,58e356458a75cc472fd4545526ebe1783a5b5db42905f02e3fb22b435c9f7681,f353bf4818b58b6d68cc7deb0a88777d86eb2cc0fda1d67881702a42504a8314,133bc5e23447d4306727cfba4ae28d405fcd8360b80ca12ca265989a8a1e0446,5beb1992ed92c5b07e1cae17dbf6575661c8b58ba4c4b361931f403378430153,bdd45603da51cebdc8eca5009bab9285baa5f049d9d88d06ce9a1d1d9414b8cd,330cd683456bcd6ae5b6a35b3c9ec79c1066c76c1efec9857698471ef05f4d7d,8e6670f571c7a21061235d723ae6b7a13d04accec7cec744b2c155e2172fe757,c6bbeadf93e275f1bb9ec7fe0ad394090eb8cc7752501001caf00d3673c0cc7d
"283001001","25013","2","31","91002","25021","10","1","8","8","2"
"283001002","25013","2","31","91002","25021","10","2","8","8","2"
"283001003","25013","2","32","91002","25021","10","3","8","8","2"
"283001004","25013","2","32","91002","25021","10","4","8","8","2"
"283001005","25013","2","33","91002","25021","10","5","8","8","2"
"283001006","25013","2","33","91002","25021","10","6","9","8","2"
"283001007","25013","2","34","91002","25021","10","7","9","8","2"
"283001008","25013","2","35","91002","25021","10","8","9","8","2"
"283001009","25013","2","35","91002","25021","10","9","9","8","2"
"283001010","25013","2","37","91002","25021","30","10","10","8","2"
"283001011","25013","2","41","91002","25021","10","11","10","8","2"
"283001012","25013","2","43","91002","25021","10","12","11","8","2"
"283001013","25013","2","46","91002","25021","10","13","11","8","2"
"283001014","25013","2","48","91002","25021","10","14","12","8","2"
"283001015","25013","2","50","91002","25021","10","15","12","8","2"
"283001016","25013","2","53","91002","25021","10","16","13","8","2"
"283001017","25013","2","55","91002","25021","10","17","14","8","2"
"283001018","25013","2","58","91002","25021","10","18","14","8","2"
"283001019","25013","2","60","91002","25021","10","19","15","8","2"
"283001020","25013","2","62","91002","25021","30","20","15","8","2"
"283001021","25013","2","68","91002","25021","10","21","16","8","2"
"283001022","25013","2","70","91002","25021","10","22","16","8","2"
"283001023","25013","2","72","91002","25021","10","23","16","8","2"
"283001024","25013","2","75","91002","25021","10","24","17","8","2"
"283001025","25013","2","77","91002","25021","10","25","18","8","2"
"283001026","25013","2","79","91002","25021","10","26","18","8","2"
"283001027","25013","2","82","91002","25021","10","27","19","8","2"
"283001028","25013","2","84","91002","25021","10","28","19","8","2"
"283001029","25013","2","86","91002","25021","10","29","19","8","2"
"283001030","25013","2","89","91002","25021","30","30","20","8","2"
"283001031","25013","2","94","91002","25021","10","31","20","8","2"
"283001032","25013","2","96","91002","25021","10","32","21","8","2"
"283001033","25013","2","99","91002","25021","10","33","21","8","2"
"283001034","25013","2","101","91002","25021","10","34","22","8","2"
"283001035","25013","2","103","91002","25021","10","35","22","8","2"
"283001036","25013","2","106","91002","25021","10","36","23","8","2"
"283001037","25013","2","108","91002","25021","10","37","23","8","2"
"283001038","25013","2","111","91002","25021","10","38","24","8","2"
"283001039","25013","2","113","91002","25021","10","39","25","8","2"
"283001040","25013","2","115","91002","25021","30","40","25","8","2"
"283001041","25013","2","121","91002","25021","10","41","26","8","2"
"283001042","25013","2","123","91002","25021","10","42","27","8","2"
"283001043","25013","2","125","91002","25021","10","43","28","8","2"
"283001044","25013","2","128","91002","25021","10","44","28","8","2"
"283001045","25013","2","130","91002","25021","10","45","29","8","2"
"283001046","25013","2","132","91002","25021","10","46","30","8","2"
"283001047","25013","2","135","91002","25021","10","47","30","8","2"
"283001048","25013","2","137","91002","25021","10","48","31","8","2"
"283001049","25013","2","139","91002","25021","10","49","31","8","2"
"283001050","25013","2","142","91002","25021","30","50","31","8","2"
